serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:35:45.179290,5952a5175071bb0001ce96c7,,,Login,,,,
2,2022-12-20 14:46:19.768600,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:47:19.901519,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:47:27.925930,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:47:49.143252,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:48:20.758961,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
7,2022-12-20 14:48:40.187301,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
8,2022-12-20 14:48:52.952952,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:48:52.957054,5952a5175071bb0001ce96c7,106647,None,select_reject_application,unfair,"[{'attribute': '106647_Income type', 'value': '0.057'}, {'attribute': '106647_Gender', 'value': '0.032'}, {'attribute': '106647_Number of times social circle defaulted on loan for 60 days', 'value': '0.051'}]",0,0
10,2022-12-20 14:49:01.062001,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
11,2022-12-20 14:49:17.282731,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
12,2022-12-20 14:49:20.890326,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
13,2022-12-20 14:49:23.077231,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
14,2022-12-20 14:49:28.298269,5952a5175071bb0001ce96c7,106647,None,select_applications,None,106647,None,None
15,2022-12-20 14:49:52.725573,5952a5175071bb0001ce96c7,106401,None,select_applications,None,106401,None,None
16,2022-12-20 14:49:58.044438,5952a5175071bb0001ce96c7,106401,None,select_applications,None,106401,None,None
17,2022-12-20 14:50:04.171845,5952a5175071bb0001ce96c7,106401,None,select_applications,None,106401,None,None
18,2022-12-20 14:50:08.562410,5952a5175071bb0001ce96c7,106401,None,select_applications,None,106401,None,None
19,2022-12-20 14:50:19.661603,5952a5175071bb0001ce96c7,106401,None,select_applications,None,106401,None,None
20,2022-12-20 14:50:27.503302,5952a5175071bb0001ce96c7,106401,None,select_applications,None,106401,None,None
21,2022-12-20 14:50:36.502099,5952a5175071bb0001ce96c7,106401,None,select_applications,None,106401,None,None
22,2022-12-20 14:50:39.832892,5952a5175071bb0001ce96c7,106401,None,select_applications,None,106401,None,None
23,2022-12-20 14:50:39.835105,5952a5175071bb0001ce96c7,106401,None,select_reject_application,unfair,"[{'attribute': '106401_Highest education level', 'value': '0.005'}, {'attribute': '106401_Income type', 'value': '0.066'}, {'attribute': '106401_Gender', 'value': '0.011'}, {'attribute': '106401_Owns Car', 'value': '0.01'}, {'attribute': '106647_Gender', 'value': '0.032'}, {'attribute': '106647_Owns Car', 'value': '0.012'}, {'attribute': '106647_Income type', 'value': '0.066'}, {'attribute': '106647_Highest education level', 'value': '0.02'}, {'attribute': '106647_Number of times social circle defaulted on loan for 60 days', 'value': '0.051'}]",0,0
24,2022-12-20 14:50:49.481577,5952a5175071bb0001ce96c7,106401,None,select_applications,None,106401,None,None
25,2022-12-20 14:51:03.148019,5952a5175071bb0001ce96c7,0,None,apply_refine_search,Family status,,,
26,2022-12-20 14:51:04.232733,5952a5175071bb0001ce96c7,0,None,apply_refine_search,,,,
27,2022-12-20 14:51:19.121286,5952a5175071bb0001ce96c7,0,None,apply_refine_search,,,,
28,2022-12-20 14:51:20.044434,5952a5175071bb0001ce96c7,0,None,apply_refine_search,,,,
29,2022-12-20 14:51:31.955881,5952a5175071bb0001ce96c7,106488,None,select_applications,None,106488,None,None
30,2022-12-20 14:51:37.831847,5952a5175071bb0001ce96c7,106488,None,select_applications,None,106488,None,None
31,2022-12-20 14:51:38.932588,5952a5175071bb0001ce96c7,106488,None,select_applications,None,106488,None,None
32,2022-12-20 14:51:42.408258,5952a5175071bb0001ce96c7,106488,None,select_applications,None,106488,None,None
33,2022-12-20 14:51:52.637112,5952a5175071bb0001ce96c7,106488,None,select_applications,None,106488,None,None
34,2022-12-20 14:51:55.746772,5952a5175071bb0001ce96c7,106488,None,select_applications,None,106488,None,None
35,2022-12-20 14:52:31.347129,5952a5175071bb0001ce96c7,106488,None,select_applications,None,106488,None,None
36,2022-12-20 14:52:49.857302,5952a5175071bb0001ce96c7,106488,None,select_applications,None,106488,None,None
37,2022-12-20 14:52:50.019233,5952a5175071bb0001ce96c7,106488,None,select_reject_application,unfair,"[{'attribute': '106401_Highest education level', 'value': '0.005'}, {'attribute': '106401_Gender', 'value': '0.011'}, {'attribute': '106488_Highest education level', 'value': '0.012'}, {'attribute': '106488_Income', 'value': '0.047'}, {'attribute': '106488_Gender', 'value': '0.007'}, {'attribute': '106647_Owns Car', 'value': '0.012'}, {'attribute': '106488_Owns Car', 'value': '0.016'}, {'attribute': '106488_Age', 'value': '0.045'}, {'attribute': '106647_Highest education level', 'value': '0.02'}, {'attribute': '106647_Number of times social circle defaulted on loan for 60 days', 'value': '0.051'}, {'attribute': '106401_Income type', 'value': '0.066'}, {'attribute': '106401_Owns Car', 'value': '0.01'}, {'attribute': '106647_Gender', 'value': '0.032'}, {'attribute': '106488_Income type', 'value': '0.047'}, {'attribute': '106647_Income type', 'value': '0.066'}]",0,0
38,2022-12-20 14:52:53.479053,5952a5175071bb0001ce96c7,106488,None,select_applications,None,106488,None,None
39,2022-12-20 14:53:31.329284,5952a5175071bb0001ce96c7,0,None,apply_refine_search,Family status,Single / not married,,
40,2022-12-20 14:53:40.473548,5952a5175071bb0001ce96c7,101367,None,select_applications,None,101367,None,None
41,2022-12-20 14:53:44.067268,5952a5175071bb0001ce96c7,101367,None,select_applications,None,101367,None,None
42,2022-12-20 14:53:46.617847,5952a5175071bb0001ce96c7,101367,None,select_applications,None,101367,None,None
43,2022-12-20 14:53:49.300050,5952a5175071bb0001ce96c7,101367,None,select_applications,None,101367,None,None
44,2022-12-20 14:54:00.683760,5952a5175071bb0001ce96c7,101367,None,select_applications,None,101367,None,None
45,2022-12-20 14:54:19.853546,5952a5175071bb0001ce96c7,101367,None,select_applications,None,101367,None,None
46,2022-12-20 14:54:42.056759,5952a5175071bb0001ce96c7,101367,None,select_applications,None,101367,None,None
