serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:42:45.469069,59cbe23a916c4d0001094710,,,Login,,,,
2,2022-12-20 14:58:22.749962,59cbe23a916c4d0001094710,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:58:36.047672,59cbe23a916c4d0001094710,106647,None,select_reject_application,unfair,[],0,0
4,2022-12-20 14:58:36.048259,59cbe23a916c4d0001094710,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:58:37.143008,59cbe23a916c4d0001094710,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:58:48.133219,59cbe23a916c4d0001094710,106401,None,select_applications,None,106401,None,None
7,2022-12-20 14:59:02.079524,59cbe23a916c4d0001094710,106401,None,select_applications,None,106401,None,None
8,2022-12-20 14:59:02.080260,59cbe23a916c4d0001094710,106401,None,select_applications,None,106401,None,None
9,2022-12-20 14:59:02.135920,59cbe23a916c4d0001094710,106401,None,select_reject_application,fair,[],0,0
10,2022-12-20 14:59:05.841155,59cbe23a916c4d0001094710,106401,None,select_applications,None,106401,None,None
11,2022-12-20 14:59:21.852630,59cbe23a916c4d0001094710,106488,None,select_applications,None,106488,None,None
12,2022-12-20 14:59:25.714616,59cbe23a916c4d0001094710,106488,None,select_applications,None,106488,None,None
13,2022-12-20 14:59:25.716486,59cbe23a916c4d0001094710,106488,None,select_reject_application,fair,[],0,0
14,2022-12-20 14:59:26.748880,59cbe23a916c4d0001094710,106488,None,select_applications,None,106488,None,None
15,2022-12-20 14:59:30.148508,59cbe23a916c4d0001094710,101367,None,select_applications,None,101367,None,None
16,2022-12-20 14:59:34.462871,59cbe23a916c4d0001094710,101367,None,select_applications,None,101367,None,None
17,2022-12-20 14:59:34.464550,59cbe23a916c4d0001094710,101367,None,select_applications,None,101367,None,None
18,2022-12-20 14:59:34.468750,59cbe23a916c4d0001094710,101367,None,select_reject_application,fair,[],0,0
19,2022-12-20 14:59:35.368153,59cbe23a916c4d0001094710,101367,None,select_applications,None,101367,None,None
20,2022-12-20 15:00:03.955673,59cbe23a916c4d0001094710,0,None,Applications_Prediction_Confidence,None,ascend,,
21,2022-12-20 15:00:05.978937,59cbe23a916c4d0001094710,0,None,Applications_Prediction_Confidence,None,ascend,,
22,2022-12-20 15:00:25.951358,59cbe23a916c4d0001094710,100001,None,select_applications,None,100001,None,None
23,2022-12-20 15:00:29.533120,59cbe23a916c4d0001094710,100001,None,select_applications,None,100001,None,None
24,2022-12-20 15:00:29.535881,59cbe23a916c4d0001094710,100001,None,select_reject_application,fair,[],0,0
25,2022-12-20 15:00:30.855752,59cbe23a916c4d0001094710,100001,None,select_applications,None,100001,None,None
26,2022-12-20 15:00:51.531989,59cbe23a916c4d0001094710,100005,None,select_applications,None,100005,None,None
27,2022-12-20 15:00:53.707978,59cbe23a916c4d0001094710,100005,None,select_applications,None,100005,None,None
28,2022-12-20 15:00:53.710748,59cbe23a916c4d0001094710,100005,None,select_applications,None,100005,None,None
29,2022-12-20 15:00:53.768961,59cbe23a916c4d0001094710,100005,None,select_reject_application,fair,[],0,0
30,2022-12-20 15:00:54.732286,59cbe23a916c4d0001094710,100005,None,select_applications,None,100005,None,None
31,2022-12-20 15:01:01.643872,59cbe23a916c4d0001094710,100028,None,select_applications,None,100028,None,None
32,2022-12-20 15:01:05.066241,59cbe23a916c4d0001094710,100028,None,select_applications,None,100028,None,None
33,2022-12-20 15:01:05.069904,59cbe23a916c4d0001094710,100028,None,select_applications,None,100028,None,None
34,2022-12-20 15:01:05.074598,59cbe23a916c4d0001094710,100028,None,select_reject_application,fair,[],0,0
35,2022-12-20 15:01:06.084276,59cbe23a916c4d0001094710,100028,None,select_applications,None,100028,None,None
36,2022-12-20 15:01:24.555904,59cbe23a916c4d0001094710,100013,None,select_applications,None,100013,None,None
37,2022-12-20 15:01:27.859825,59cbe23a916c4d0001094710,100013,None,select_applications,None,100013,None,None
38,2022-12-20 15:01:29.034190,59cbe23a916c4d0001094710,100013,None,select_applications,None,100013,None,None
39,2022-12-20 15:01:29.036410,59cbe23a916c4d0001094710,100013,None,select_applications,None,100013,None,None
40,2022-12-20 15:01:29.040993,59cbe23a916c4d0001094710,100013,None,select_reject_application,unfair,[],0,0
41,2022-12-20 15:01:30.612709,59cbe23a916c4d0001094710,100013,None,select_applications,None,100013,None,None
42,2022-12-20 15:01:44.539555,59cbe23a916c4d0001094710,100028,None,select_applications,None,100028,None,None
43,2022-12-20 15:01:46.657525,59cbe23a916c4d0001094710,100028,None,select_applications,None,100028,None,None
44,2022-12-20 15:01:47.683600,59cbe23a916c4d0001094710,100028,None,select_reject_application,unfair,[],0,0
45,2022-12-20 15:01:47.685878,59cbe23a916c4d0001094710,100028,None,select_applications,None,100028,None,None
46,2022-12-20 15:01:48.787683,59cbe23a916c4d0001094710,100028,None,select_applications,None,100028,None,None
47,2022-12-20 15:01:54.475197,59cbe23a916c4d0001094710,100038,None,select_applications,None,100038,None,None
48,2022-12-20 15:01:56.417265,59cbe23a916c4d0001094710,100038,None,select_applications,None,100038,None,None
49,2022-12-20 15:01:56.420491,59cbe23a916c4d0001094710,100038,None,select_applications,None,100038,None,None
50,2022-12-20 15:01:56.422127,59cbe23a916c4d0001094710,100038,None,select_reject_application,fair,[],0,0
51,2022-12-20 15:01:57.601885,59cbe23a916c4d0001094710,100038,None,select_applications,None,100038,None,None
52,2022-12-20 15:02:08.043809,59cbe23a916c4d0001094710,100042,None,select_applications,None,100042,None,None
53,2022-12-20 15:02:11.204457,59cbe23a916c4d0001094710,100042,None,select_applications,None,100042,None,None
54,2022-12-20 15:02:11.209381,59cbe23a916c4d0001094710,100042,None,select_reject_application,unfair,[],0,0
55,2022-12-20 15:02:12.546954,59cbe23a916c4d0001094710,100042,None,select_applications,None,100042,None,None
56,2022-12-20 15:02:21.706943,59cbe23a916c4d0001094710,100091,None,select_applications,None,100091,None,None
57,2022-12-20 15:02:27.008856,59cbe23a916c4d0001094710,100091,None,select_applications,None,100091,None,None
58,2022-12-20 15:02:27.800921,59cbe23a916c4d0001094710,100091,None,select_reject_application,unfair,[],0,0
59,2022-12-20 15:02:27.801845,59cbe23a916c4d0001094710,100091,None,select_applications,None,100091,None,None
60,2022-12-20 15:02:28.894582,59cbe23a916c4d0001094710,100091,None,select_applications,None,100091,None,None
