serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 15:03:36.124253,5c48be0496d59b000183e68d,,,Login,,,,
2,2022-12-20 15:12:55.100766,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
3,2022-12-20 15:13:12.754044,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
4,2022-12-20 15:13:30.157170,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
5,2022-12-20 15:13:42.317248,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
6,2022-12-20 15:13:53.599957,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
7,2022-12-20 15:13:57.297555,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
8,2022-12-20 15:14:17.460832,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
9,2022-12-20 15:15:02.329424,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
10,2022-12-20 15:15:29.623433,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
11,2022-12-20 15:15:51.264310,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
12,2022-12-20 15:15:51.280650,5c48be0496d59b000183e68d,106647,None,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.018'}, {'attribute': '106647_Housing situation', 'value': '0.028'}, {'attribute': '106647_Gender', 'value': '0.039'}, {'attribute': '106647_Owns Car', 'value': '0.04'}, {'attribute': '106647_Years in current employment', 'value': '0.037'}, {'attribute': '106647_Number of times social circle were at risk to default on loan for 60 days', 'value': '0.027'}, {'attribute': '106647_Income type', 'value': '0.035'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.044'}]",0,0
13,2022-12-20 15:15:56.387374,5c48be0496d59b000183e68d,106647,None,select_applications,None,106647,None,None
14,2022-12-20 15:17:52.604073,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
15,2022-12-20 15:18:01.671841,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
16,2022-12-20 15:18:22.657510,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
17,2022-12-20 15:18:25.117819,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
18,2022-12-20 15:18:36.256165,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
19,2022-12-20 15:18:53.165463,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
20,2022-12-20 15:19:10.971490,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
21,2022-12-20 15:19:32.427187,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
22,2022-12-20 15:19:39.845871,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
23,2022-12-20 15:19:43.133293,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
24,2022-12-20 15:19:51.513389,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
25,2022-12-20 15:20:03.984506,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
26,2022-12-20 15:20:07.334171,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
27,2022-12-20 15:20:09.353470,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
28,2022-12-20 15:20:14.085754,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
29,2022-12-20 15:20:39.563222,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
30,2022-12-20 15:21:11.431376,5c48be0496d59b000183e68d,104132,None,select_applications,None,104132,None,None
