serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:35:53.438043,5c83f171fff8430001e997b4,,,Login,,,,
2,2022-12-20 14:40:27.000412,5c83f171fff8430001e997b4,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:41:45.644896,5c83f171fff8430001e997b4,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:41:52.546190,5c83f171fff8430001e997b4,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:41:52.604943,5c83f171fff8430001e997b4,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:41:52.671554,5c83f171fff8430001e997b4,106647,None,select_reject_application,fair,[],0,0
7,2022-12-20 14:41:55.533482,5c83f171fff8430001e997b4,106647,None,select_applications,None,106647,None,None
8,2022-12-20 14:41:58.734261,5c83f171fff8430001e997b4,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:42:06.592396,5c83f171fff8430001e997b4,106647,None,select_applications,None,106647,None,None
10,2022-12-20 14:42:19.702610,5c83f171fff8430001e997b4,106647,None,select_applications,None,106647,None,None
11,2022-12-20 14:42:49.160836,5c83f171fff8430001e997b4,0,None,apply_refine_search,Age,,,
12,2022-12-20 14:42:53.416661,5c83f171fff8430001e997b4,0,None,apply_refine_search,,,,
13,2022-12-20 14:42:54.524279,5c83f171fff8430001e997b4,106647,None,select_applications,None,106647,None,None
14,2022-12-20 14:43:14.024246,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
15,2022-12-20 14:43:15.011314,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
16,2022-12-20 14:43:16.138548,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
17,2022-12-20 14:43:17.217889,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
18,2022-12-20 14:43:52.220191,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
19,2022-12-20 14:43:56.292628,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
20,2022-12-20 14:44:00.172922,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
21,2022-12-20 14:44:01.620989,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
22,2022-12-20 14:44:08.813009,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
23,2022-12-20 14:44:39.709034,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
24,2022-12-20 14:44:46.088301,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
25,2022-12-20 14:44:51.553761,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
26,2022-12-20 14:44:53.838095,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
27,2022-12-20 14:44:54.814187,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
28,2022-12-20 14:44:54.819304,5c83f171fff8430001e997b4,106401,None,select_reject_application,unfair,"[{'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106401_Age', 'value': '0.049'}]",0,0
29,2022-12-20 14:44:58.530735,5c83f171fff8430001e997b4,106401,None,select_applications,None,106401,None,None
30,2022-12-20 14:45:11.170107,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
31,2022-12-20 14:45:14.910206,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
32,2022-12-20 14:45:23.100306,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
33,2022-12-20 14:45:23.776521,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
34,2022-12-20 14:45:38.897196,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
35,2022-12-20 14:45:44.908070,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
36,2022-12-20 14:45:45.302013,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
37,2022-12-20 14:45:46.469187,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
38,2022-12-20 14:45:55.960660,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
39,2022-12-20 14:46:05.192741,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
40,2022-12-20 14:46:24.204802,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
41,2022-12-20 14:46:24.364559,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
42,2022-12-20 14:46:25.291065,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
43,2022-12-20 14:46:27.964522,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
44,2022-12-20 14:46:27.968706,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
45,2022-12-20 14:46:35.966709,5c83f171fff8430001e997b4,106488,None,select_reject_application,unfair,"[{'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '106401_Age', 'value': '0.049'}]",0,0
46,2022-12-20 14:46:35.996524,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
47,2022-12-20 14:46:36.817333,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
48,2022-12-20 14:46:46.460658,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
49,2022-12-20 14:46:46.732353,5c83f171fff8430001e997b4,106488,None,select_applications,None,106488,None,None
50,2022-12-20 14:47:07.746651,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
51,2022-12-20 14:47:21.961963,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
52,2022-12-20 14:47:26.144823,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
53,2022-12-20 14:47:28.042345,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
54,2022-12-20 14:47:46.768737,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
55,2022-12-20 14:47:50.650981,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
56,2022-12-20 14:47:53.111059,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
57,2022-12-20 14:47:55.053108,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
58,2022-12-20 14:47:59.591863,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
59,2022-12-20 14:47:59.595039,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
60,2022-12-20 14:47:59.649995,5c83f171fff8430001e997b4,101367,None,select_reject_application,fair,"[{'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '101367_Number of children', 'value': '0.031'}]",0,0
61,2022-12-20 14:48:00.957413,5c83f171fff8430001e997b4,101367,None,select_applications,None,101367,None,None
62,2022-12-20 14:48:26.971518,5c83f171fff8430001e997b4,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
63,2022-12-20 14:48:31.530002,5c83f171fff8430001e997b4,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '90', 'risk_rate': '47'}",None,None
64,2022-12-20 14:48:40.180709,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
65,2022-12-20 14:48:53.908509,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
66,2022-12-20 14:48:59.305416,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
67,2022-12-20 14:49:02.779875,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
68,2022-12-20 14:49:09.723278,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
69,2022-12-20 14:49:11.044324,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
70,2022-12-20 14:49:12.092061,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
71,2022-12-20 14:49:24.690258,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
72,2022-12-20 14:49:33.586372,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
73,2022-12-20 14:49:33.591567,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
74,2022-12-20 14:49:33.599011,5c83f171fff8430001e997b4,100241,None,select_reject_application,fair,"[{'attribute': '100241_Age', 'value': '0.049'}, {'attribute': '106401_Gender', 'value': '0.043'}, {'attribute': '101367_Owns Property', 'value': '0.019'}, {'attribute': '106488_Income', 'value': '0.042'}, {'attribute': '101367_Years in current employment', 'value': '0.03'}, {'attribute': '106647_Owns Car', 'value': '0.065'}, {'attribute': '100241_Gender', 'value': '0.038'}, {'attribute': '100241_Income', 'value': '0.033'}, {'attribute': '106488_Owns Car', 'value': '0.045'}, {'attribute': '106488_Age', 'value': '0.044'}, {'attribute': '106488_Number of children', 'value': '0.023'}, {'attribute': '100241_Years in current employment', 'value': '0.034'}, {'attribute': '106401_Age', 'value': '0.049'}, {'attribute': '101367_Income', 'value': '0.036'}, {'attribute': '106401_Owns Car', 'value': '0.054'}, {'attribute': '106401_Income', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0.045'}, {'attribute': '101367_Number of children', 'value': '0.031'}]",0,0
75,2022-12-20 14:49:35.123537,5c83f171fff8430001e997b4,100241,None,select_applications,None,100241,None,None
76,2022-12-20 14:49:48.045904,5c83f171fff8430001e997b4,106802,None,select_applications,None,106802,None,None
77,2022-12-20 14:49:58.082539,5c83f171fff8430001e997b4,106802,None,select_applications,None,106802,None,None
78,2022-12-20 14:50:01.040824,5c83f171fff8430001e997b4,106802,None,select_applications,None,106802,None,None
79,2022-12-20 14:50:05.545628,5c83f171fff8430001e997b4,106802,None,select_applications,None,106802,None,None
80,2022-12-20 14:50:12.205009,5c83f171fff8430001e997b4,106802,None,select_applications,None,106802,None,None
81,2022-12-20 14:50:32.476198,5c83f171fff8430001e997b4,106802,None,select_applications,None,106802,None,None
82,2022-12-20 14:50:42.537882,5c83f171fff8430001e997b4,106802,None,select_applications,None,106802,None,None
83,2022-12-20 14:50:42.564623,5c83f171fff8430001e997b4,106802,None,select_applications,None,106802,None,None
84,2022-12-20 14:50:43.324545,5c83f171fff8430001e997b4,106802,None,select_applications,None,106802,None,None
