serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:38:43.125783,5d1f440b3aac9200019067f1,,,Login,,,,
2,2022-12-20 14:41:05.403340,5d1f440b3aac9200019067f1,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:41:18.544655,5d1f440b3aac9200019067f1,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:41:19.672868,5d1f440b3aac9200019067f1,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:41:22.220365,5d1f440b3aac9200019067f1,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:41:46.226417,5d1f440b3aac9200019067f1,106401,None,select_applications,None,106401,None,None
7,2022-12-20 14:41:49.217739,5d1f440b3aac9200019067f1,106401,None,select_applications,None,106401,None,None
8,2022-12-20 14:41:49.258122,5d1f440b3aac9200019067f1,106401,None,select_reject_application,fair,[],0,0
9,2022-12-20 14:41:57.017146,5d1f440b3aac9200019067f1,106401,None,select_applications,None,106401,None,None
10,2022-12-20 14:42:17.096614,5d1f440b3aac9200019067f1,106314,None,select_applications,None,106314,None,None
11,2022-12-20 14:42:19.784715,5d1f440b3aac9200019067f1,106314,None,select_applications,None,106314,None,None
12,2022-12-20 14:42:19.790808,5d1f440b3aac9200019067f1,106314,None,select_reject_application,fair,[],0,0
13,2022-12-20 14:42:23.797450,5d1f440b3aac9200019067f1,106314,None,select_applications,None,106314,None,None
14,2022-12-20 14:42:36.580606,5d1f440b3aac9200019067f1,101427,None,select_applications,None,101427,None,None
15,2022-12-20 14:42:43.658662,5d1f440b3aac9200019067f1,101427,None,select_applications,None,101427,None,None
16,2022-12-20 14:43:08.779739,5d1f440b3aac9200019067f1,101427,None,select_applications,None,101427,None,None
17,2022-12-20 14:43:08.786023,5d1f440b3aac9200019067f1,101427,None,select_reject_application,unfair,[],0,0
18,2022-12-20 14:43:15.612581,5d1f440b3aac9200019067f1,101427,None,select_applications,None,101427,None,None
19,2022-12-20 14:43:17.803790,5d1f440b3aac9200019067f1,101427,None,select_applications,None,101427,None,None
20,2022-12-20 14:43:19.045449,5d1f440b3aac9200019067f1,101427,None,select_applications,None,101427,None,None
21,2022-12-20 14:43:23.015514,5d1f440b3aac9200019067f1,100740,None,select_applications,None,100740,None,None
22,2022-12-20 14:43:39.451045,5d1f440b3aac9200019067f1,100740,None,select_applications,None,100740,None,None
23,2022-12-20 14:43:39.487146,5d1f440b3aac9200019067f1,100740,None,select_reject_application,unfair,"[{'attribute': '101427_Owns Car', 'value': '0.041'}, {'attribute': '101427_Highest education level', 'value': '0.054'}]",0,0
24,2022-12-20 14:43:42.998209,5d1f440b3aac9200019067f1,100740,None,select_applications,None,100740,None,None
25,2022-12-20 14:43:47.508846,5d1f440b3aac9200019067f1,100740,None,select_applications,None,100740,None,None
26,2022-12-20 14:43:52.147997,5d1f440b3aac9200019067f1,100740,None,select_applications,None,100740,None,None
27,2022-12-20 14:43:55.116845,5d1f440b3aac9200019067f1,100740,None,select_applications,None,100740,None,None
28,2022-12-20 14:43:58.458112,5d1f440b3aac9200019067f1,100740,None,select_applications,None,100740,None,None
29,2022-12-20 14:44:00.874399,5d1f440b3aac9200019067f1,100740,None,select_applications,None,100740,None,None
30,2022-12-20 14:44:00.880584,5d1f440b3aac9200019067f1,100740,None,select_reject_application,fair,"[{'attribute': '101427_Owns Car', 'value': '0.041'}, {'attribute': '101427_Highest education level', 'value': '0.054'}]",0,0
31,2022-12-20 14:44:06.038902,5d1f440b3aac9200019067f1,100740,None,select_applications,None,100740,None,None
32,2022-12-20 14:44:12.660792,5d1f440b3aac9200019067f1,106647,None,select_applications,None,106647,None,None
33,2022-12-20 14:44:15.194584,5d1f440b3aac9200019067f1,106647,None,select_applications,None,106647,None,None
34,2022-12-20 14:44:15.226312,5d1f440b3aac9200019067f1,106647,None,select_reject_application,fair,"[{'attribute': '101427_Owns Car', 'value': '0.041'}, {'attribute': '101427_Highest education level', 'value': '0.054'}]",0,0
35,2022-12-20 14:44:22.664621,5d1f440b3aac9200019067f1,106647,None,select_applications,None,106647,None,None
36,2022-12-20 14:44:37.575076,5d1f440b3aac9200019067f1,106488,None,select_applications,None,106488,None,None
37,2022-12-20 14:44:39.731718,5d1f440b3aac9200019067f1,106488,None,select_applications,None,106488,None,None
