serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:35:44.629487,5d66a40c141c9800016a08a2,,,Login,,,,
2,2022-12-20 14:38:09.711163,5d66a40c141c9800016a08a2,0,None,apply_refine_search,Gender,,,
3,2022-12-20 14:38:47.263598,5d66a40c141c9800016a08a2,0,None,Applications_Prediction_Confidence,None,ascend,,
4,2022-12-20 14:39:36.990112,5d66a40c141c9800016a08a2,0,None,apply_refine_search,Goods Price,,,
5,2022-12-20 14:39:58.568509,5d66a40c141c9800016a08a2,0,None,apply_refine_search,,,,
6,2022-12-20 14:40:02.352856,5d66a40c141c9800016a08a2,106488,None,select_applications,None,106488,None,None
7,2022-12-20 14:40:05.068491,5d66a40c141c9800016a08a2,106488,None,select_applications,None,106488,None,None
8,2022-12-20 14:40:07.143660,5d66a40c141c9800016a08a2,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:40:08.885654,5d66a40c141c9800016a08a2,106647,None,select_applications,None,106647,None,None
10,2022-12-20 14:40:10.198061,5d66a40c141c9800016a08a2,106647,None,select_applications,None,106647,None,None
11,2022-12-20 14:40:10.207042,5d66a40c141c9800016a08a2,106647,None,select_reject_application,fair,[],0,0
12,2022-12-20 14:40:10.840179,5d66a40c141c9800016a08a2,106647,None,select_applications,None,106647,None,None
13,2022-12-20 14:40:27.482634,5d66a40c141c9800016a08a2,106217,None,select_applications,None,106217,None,None
14,2022-12-20 14:40:30.547585,5d66a40c141c9800016a08a2,106217,None,select_applications,None,106217,None,None
15,2022-12-20 14:40:30.559916,5d66a40c141c9800016a08a2,106217,None,select_reject_application,fair,[],0,0
16,2022-12-20 14:40:31.018208,5d66a40c141c9800016a08a2,106217,None,select_applications,None,106217,None,None
17,2022-12-20 14:40:34.040818,5d66a40c141c9800016a08a2,100005,None,select_applications,None,100005,None,None
18,2022-12-20 14:40:35.587279,5d66a40c141c9800016a08a2,100005,None,select_applications,None,100005,None,None
19,2022-12-20 14:40:37.311374,5d66a40c141c9800016a08a2,100005,None,select_applications,None,100005,None,None
20,2022-12-20 14:40:37.309761,5d66a40c141c9800016a08a2,100005,None,select_applications,None,100005,None,None
21,2022-12-20 14:40:37.519835,5d66a40c141c9800016a08a2,100005,None,select_reject_application,unfair,[],0,0
22,2022-12-20 14:40:38.319328,5d66a40c141c9800016a08a2,100005,None,select_applications,None,100005,None,None
23,2022-12-20 14:40:41.607923,5d66a40c141c9800016a08a2,100013,None,select_applications,None,100013,None,None
24,2022-12-20 14:40:43.711842,5d66a40c141c9800016a08a2,100013,None,select_reject_application,unfair,[],0,0
25,2022-12-20 14:40:43.713479,5d66a40c141c9800016a08a2,100013,None,select_applications,None,100013,None,None
26,2022-12-20 14:40:44.785815,5d66a40c141c9800016a08a2,100013,None,select_applications,None,100013,None,None
27,2022-12-20 14:40:48.222959,5d66a40c141c9800016a08a2,100028,None,select_applications,None,100028,None,None
28,2022-12-20 14:40:50.259754,5d66a40c141c9800016a08a2,100028,None,select_applications,None,100028,None,None
29,2022-12-20 14:40:50.606472,5d66a40c141c9800016a08a2,100028,None,select_applications,None,100028,None,None
30,2022-12-20 14:40:51.374501,5d66a40c141c9800016a08a2,100028,None,select_applications,None,100028,None,None
31,2022-12-20 14:40:51.775208,5d66a40c141c9800016a08a2,100028,None,select_reject_application,fair,"[{'attribute': '100028_Owns Car', 'value': '0.02'}, {'attribute': '100028_Highest education level', 'value': '0.04'}]",0,0
32,2022-12-20 14:40:52.247328,5d66a40c141c9800016a08a2,100028,None,select_applications,None,100028,None,None
33,2022-12-20 14:41:12.813618,5d66a40c141c9800016a08a2,101354,None,select_applications,None,101354,None,None
34,2022-12-20 14:41:13.017971,5d66a40c141c9800016a08a2,101354,None,select_applications,None,101354,None,None
35,2022-12-20 14:41:15.998031,5d66a40c141c9800016a08a2,101354,None,select_reject_application,fair,"[{'attribute': '100028_Owns Car', 'value': '0.02'}, {'attribute': '100028_Highest education level', 'value': '0.04'}]",0,0
36,2022-12-20 14:41:15.996768,5d66a40c141c9800016a08a2,101354,None,select_applications,None,101354,None,None
37,2022-12-20 14:41:16.987473,5d66a40c141c9800016a08a2,101354,None,select_applications,None,101354,None,None
38,2022-12-20 14:41:20.745317,5d66a40c141c9800016a08a2,100038,None,select_applications,None,100038,None,None
39,2022-12-20 14:41:21.806871,5d66a40c141c9800016a08a2,100038,None,select_applications,None,100038,None,None
40,2022-12-20 14:41:21.809202,5d66a40c141c9800016a08a2,100038,None,select_reject_application,fair,"[{'attribute': '100028_Owns Car', 'value': '0.02'}, {'attribute': '100028_Highest education level', 'value': '0.04'}]",0,0
41,2022-12-20 14:41:22.685016,5d66a40c141c9800016a08a2,100038,None,select_applications,None,100038,None,None
42,2022-12-20 14:41:26.112505,5d66a40c141c9800016a08a2,100042,None,select_applications,None,100042,None,None
