serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 16:25:21.063173,5d66f23706e589000157e7ec,,,Login,,,,
2,2022-12-20 16:39:05.063895,5d66f23706e589000157e7ec,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
3,2022-12-20 16:39:07.370517,5d66f23706e589000157e7ec,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
4,2022-12-20 16:39:17.881816,5d66f23706e589000157e7ec,0,None,Clicked-on-Causal-Graph-Node,Node Value,Contact address located in work region,None,None
5,2022-12-20 16:39:39.946171,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
6,2022-12-20 16:40:15.433652,5d66f23706e589000157e7ec,0,None,apply_refine_search,Age,,,
7,2022-12-20 16:40:19.886626,5d66f23706e589000157e7ec,0,None,apply_refine_search,sdf,,,
8,2022-12-20 16:40:43.118929,5d66f23706e589000157e7ec,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
9,2022-12-20 16:40:59.261488,5d66f23706e589000157e7ec,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '100'}",None,None
10,2022-12-20 16:41:06.916627,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
11,2022-12-20 16:41:18.491643,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
12,2022-12-20 16:41:31.841641,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
13,2022-12-20 16:42:06.093238,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
14,2022-12-20 16:42:15.222614,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
15,2022-12-20 16:42:15.979238,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
16,2022-12-20 16:42:28.479658,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
17,2022-12-20 16:42:32.655337,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
18,2022-12-20 16:42:50.897626,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
19,2022-12-20 16:42:56.001645,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
20,2022-12-20 16:42:59.442491,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
21,2022-12-20 16:43:23.775700,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
22,2022-12-20 16:43:23.782839,5d66f23706e589000157e7ec,106647,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0.027'}, {'attribute': '106647_Years since changing  identity document', 'value': '0'}, {'attribute': '106647_Gender', 'value': '0.005'}, {'attribute': '106647_Number of times social circle at default risk for 30 days', 'value': '0'}, {'attribute': '106647_Years since changing phone', 'value': '0'}]",0,0
23,2022-12-20 16:43:25.188883,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
24,2022-12-20 16:43:30.400763,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
25,2022-12-20 16:43:39.481822,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
26,2022-12-20 16:43:49.920530,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
27,2022-12-20 16:43:53.079819,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
28,2022-12-20 16:44:08.097508,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
29,2022-12-20 16:44:09.088755,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
30,2022-12-20 16:44:13.090119,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
31,2022-12-20 16:44:16.279806,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
32,2022-12-20 16:44:18.442164,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
33,2022-12-20 16:44:29.417009,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
34,2022-12-20 16:44:32.932969,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
35,2022-12-20 16:44:44.509986,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
36,2022-12-20 16:44:47.693920,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
37,2022-12-20 16:44:55.545701,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
38,2022-12-20 16:44:56.494028,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
39,2022-12-20 16:45:09.124654,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
40,2022-12-20 16:45:16.671202,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
41,2022-12-20 16:45:21.286019,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
42,2022-12-20 16:45:22.823640,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
43,2022-12-20 16:45:33.290141,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
44,2022-12-20 16:45:34.407011,5d66f23706e589000157e7ec,106647,None,select_applications,None,106647,None,None
45,2022-12-20 16:45:37.584977,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
46,2022-12-20 16:45:39.525027,5d66f23706e589000157e7ec,106401,None,select_applications,None,106401,None,None
47,2022-12-20 16:45:39.529456,5d66f23706e589000157e7ec,106401,None,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.027'}, {'attribute': '106401_Gender', 'value': '0'}, {'attribute': '106401_Years since changing  identity document', 'value': '0'}, {'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '106401_Application Hour', 'value': '0'}, {'attribute': '106401_Application Day', 'value': '0'}, {'attribute': '106647_Number of times social circle at default risk for 30 days', 'value': '0'}, {'attribute': '106401_Age', 'value': '0.038'}, {'attribute': '106401_Accompanied while applying', 'value': '0'}, {'attribute': '106401_Income', 'value': '0.058'}, {'attribute': '106647_Gender', 'value': '0.005'}, {'attribute': '106647_Years since changing phone', 'value': '0'}, {'attribute': '106401_Number of times social circle were at risk to default on loan for 60 days', 'value': '0'}, {'attribute': '106647_Years since changing  identity document', 'value': '0'}, {'attribute': '106647_Goods Price', 'value': '0.043'}, {'attribute': '106401_Number of times social circle defaulted on loan for 60 days', 'value': '0'}]",0,0
