serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:37:28.024816,5e465ab4c07877130185c306,,,Login,,,,
2,2022-12-20 14:41:27.365024,5e465ab4c07877130185c306,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:41:32.679522,5e465ab4c07877130185c306,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:42:18.713225,5e465ab4c07877130185c306,0,None,apply_refine_search,Application Day,,,
5,2022-12-20 14:42:22.933819,5e465ab4c07877130185c306,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:42:29.184366,5e465ab4c07877130185c306,106647,None,select_applications,None,106647,None,None
7,2022-12-20 14:42:29.666843,5e465ab4c07877130185c306,106647,None,select_applications,None,106647,None,None
8,2022-12-20 14:42:49.759301,5e465ab4c07877130185c306,0,None,apply_refine_search,Accompanied while applying,Family,,
9,2022-12-20 14:42:50.317198,5e465ab4c07877130185c306,0,None,apply_refine_search,Accompanied while applying,Family,,
10,2022-12-20 14:43:12.794968,5e465ab4c07877130185c306,106401,None,select_applications,None,106401,None,None
11,2022-12-20 14:43:15.687508,5e465ab4c07877130185c306,106401,None,select_applications,None,106401,None,None
12,2022-12-20 14:43:23.337156,5e465ab4c07877130185c306,0,None,apply_refine_search,Owns Car,,,
13,2022-12-20 14:43:25.337180,5e465ab4c07877130185c306,106647,None,select_applications,None,106647,None,None
14,2022-12-20 14:43:37.701203,5e465ab4c07877130185c306,106647,None,select_applications,None,106647,None,None
15,2022-12-20 14:43:37.705167,5e465ab4c07877130185c306,106647,None,select_applications,None,106647,None,None
16,2022-12-20 14:43:37.757428,5e465ab4c07877130185c306,106647,None,select_reject_application,unfair,[],0,0
17,2022-12-20 14:43:38.967136,5e465ab4c07877130185c306,106647,None,select_applications,None,106647,None,None
18,2022-12-20 14:43:48.852025,5e465ab4c07877130185c306,0,None,apply_refine_search,Age,26-40,,
19,2022-12-20 14:43:53.257934,5e465ab4c07877130185c306,106488,None,select_applications,None,106488,None,None
20,2022-12-20 14:44:06.957977,5e465ab4c07877130185c306,106488,None,select_applications,None,106488,None,None
21,2022-12-20 14:44:06.961982,5e465ab4c07877130185c306,106488,None,select_applications,None,106488,None,None
22,2022-12-20 14:44:06.966622,5e465ab4c07877130185c306,106488,None,select_reject_application,fair,[],0,0
23,2022-12-20 14:44:08.131233,5e465ab4c07877130185c306,106488,None,select_applications,None,106488,None,None
24,2022-12-20 14:44:24.573322,5e465ab4c07877130185c306,0,None,apply_refine_search,Accompanied while applying,Group of people,,
25,2022-12-20 14:44:32.047970,5e465ab4c07877130185c306,100466,None,select_applications,None,100466,None,None
26,2022-12-20 14:44:33.635073,5e465ab4c07877130185c306,100466,None,select_applications,None,100466,None,None
27,2022-12-20 14:44:33.638209,5e465ab4c07877130185c306,100466,None,select_reject_application,fair,[],0,0
28,2022-12-20 14:44:35.919198,5e465ab4c07877130185c306,100466,None,select_applications,None,100466,None,None
29,2022-12-20 14:44:45.350046,5e465ab4c07877130185c306,0,None,apply_refine_search,Application Day,MONDAY,,
30,2022-12-20 14:44:48.160764,5e465ab4c07877130185c306,105035,None,select_applications,None,105035,None,None
31,2022-12-20 14:44:51.835403,5e465ab4c07877130185c306,105035,None,select_applications,None,105035,None,None
32,2022-12-20 14:44:55.806024,5e465ab4c07877130185c306,0,None,apply_refine_search,Application Day,,,
33,2022-12-20 14:45:09.126476,5e465ab4c07877130185c306,0,None,apply_refine_search,Contact address located in Registration region,MONDAY,,
34,2022-12-20 14:45:13.132049,5e465ab4c07877130185c306,106401,None,select_applications,None,106401,None,None
35,2022-12-20 14:45:16.277690,5e465ab4c07877130185c306,106401,None,select_applications,None,106401,None,None
36,2022-12-20 14:45:16.281822,5e465ab4c07877130185c306,106401,None,select_reject_application,fair,[],0,0
37,2022-12-20 14:45:17.479042,5e465ab4c07877130185c306,106401,None,select_applications,None,106401,None,None
38,2022-12-20 14:45:43.376482,5e465ab4c07877130185c306,0,None,apply_refine_search,Highest education level,Lower secondary,,
39,2022-12-20 14:45:49.322071,5e465ab4c07877130185c306,104408,None,select_applications,None,104408,None,None
40,2022-12-20 14:45:52.319499,5e465ab4c07877130185c306,104408,None,select_applications,None,104408,None,None
41,2022-12-20 14:45:52.973200,5e465ab4c07877130185c306,104408,None,select_applications,None,104408,None,None
42,2022-12-20 14:45:52.977387,5e465ab4c07877130185c306,104408,None,select_applications,None,104408,None,None
43,2022-12-20 14:45:53.022779,5e465ab4c07877130185c306,104408,None,select_reject_application,fair,[],0,0
44,2022-12-20 14:45:56.426906,5e465ab4c07877130185c306,104408,None,select_applications,None,104408,None,None
45,2022-12-20 14:46:12.960645,5e465ab4c07877130185c306,0,None,apply_refine_search,Gender,,,
46,2022-12-20 14:46:24.981491,5e465ab4c07877130185c306,101367,None,select_applications,None,101367,None,None
47,2022-12-20 14:46:27.936576,5e465ab4c07877130185c306,101367,None,select_applications,None,101367,None,None
48,2022-12-20 14:46:27.950230,5e465ab4c07877130185c306,101367,None,select_applications,None,101367,None,None
49,2022-12-20 14:46:35.978732,5e465ab4c07877130185c306,101367,None,select_reject_application,unfair,[],0,0
50,2022-12-20 14:46:35.993505,5e465ab4c07877130185c306,101367,None,select_applications,None,101367,None,None
51,2022-12-20 14:46:57.024987,5e465ab4c07877130185c306,100241,None,select_applications,None,100241,None,None
52,2022-12-20 14:46:59.343431,5e465ab4c07877130185c306,100241,None,select_applications,None,100241,None,None
53,2022-12-20 14:47:00.175969,5e465ab4c07877130185c306,100241,None,select_applications,None,100241,None,None
54,2022-12-20 14:47:00.183519,5e465ab4c07877130185c306,100241,None,select_reject_application,unfair,[],0,0
55,2022-12-20 14:47:01.387044,5e465ab4c07877130185c306,100241,None,select_applications,None,100241,None,None
56,2022-12-20 14:47:09.209915,5e465ab4c07877130185c306,0,None,apply_refine_search,Gender,,,
57,2022-12-20 14:47:14.852510,5e465ab4c07877130185c306,106802,None,select_applications,None,106802,None,None
58,2022-12-20 14:47:17.593077,5e465ab4c07877130185c306,106802,None,select_applications,None,106802,None,None
59,2022-12-20 14:47:17.597087,5e465ab4c07877130185c306,106802,None,select_reject_application,unfair,[],0,0
60,2022-12-20 14:47:17.598332,5e465ab4c07877130185c306,106802,None,select_applications,None,106802,None,None
61,2022-12-20 14:47:18.817593,5e465ab4c07877130185c306,106802,None,select_applications,None,106802,None,None
62,2022-12-20 14:47:34.246315,5e465ab4c07877130185c306,0,None,apply_refine_search,Housing situation,House/apartment,,
63,2022-12-20 14:47:36.893766,5e465ab4c07877130185c306,0,None,apply_refine_search,Housing situation,House/apartment,,
64,2022-12-20 14:47:43.015613,5e465ab4c07877130185c306,105035,None,select_applications,None,105035,None,None
65,2022-12-20 14:47:45.344879,5e465ab4c07877130185c306,105035,None,select_applications,None,105035,None,None
66,2022-12-20 14:47:45.347228,5e465ab4c07877130185c306,105035,None,select_applications,None,105035,None,None
67,2022-12-20 14:47:45.353582,5e465ab4c07877130185c306,105035,None,select_reject_application,unfair,[],0,0
68,2022-12-20 14:47:46.767026,5e465ab4c07877130185c306,105035,None,select_applications,None,105035,None,None
69,2022-12-20 14:47:57.770131,5e465ab4c07877130185c306,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
70,2022-12-20 14:48:09.588365,5e465ab4c07877130185c306,0,None,apply_refine_search,Number of family members,>=5,,
71,2022-12-20 14:48:14.470987,5e465ab4c07877130185c306,0,None,apply_refine_search,Number of family members,>=5,,
72,2022-12-20 14:48:18.807169,5e465ab4c07877130185c306,104860,None,select_applications,None,104860,None,None
73,2022-12-20 14:48:19.974736,5e465ab4c07877130185c306,104860,None,select_applications,None,104860,None,None
74,2022-12-20 14:48:20.879479,5e465ab4c07877130185c306,104860,None,select_applications,None,104860,None,None
75,2022-12-20 14:48:22.116357,5e465ab4c07877130185c306,104860,None,select_applications,None,104860,None,None
76,2022-12-20 14:48:22.789863,5e465ab4c07877130185c306,104860,None,select_applications,None,104860,None,None
77,2022-12-20 14:48:22.792997,5e465ab4c07877130185c306,104860,None,select_applications,None,104860,None,None
78,2022-12-20 14:48:22.797990,5e465ab4c07877130185c306,104860,None,select_reject_application,unfair,[],0,0
79,2022-12-20 14:48:24.299813,5e465ab4c07877130185c306,104860,None,select_applications,None,104860,None,None
80,2022-12-20 14:48:33.102965,5e465ab4c07877130185c306,0,None,apply_refine_search,Loan annuity,,,
81,2022-12-20 14:48:39.020622,5e465ab4c07877130185c306,103570,None,select_applications,None,103570,None,None
82,2022-12-20 14:48:40.282082,5e465ab4c07877130185c306,103570,None,select_applications,None,103570,None,None
83,2022-12-20 14:48:40.286283,5e465ab4c07877130185c306,103570,None,select_applications,None,103570,None,None
84,2022-12-20 14:48:40.291422,5e465ab4c07877130185c306,103570,None,select_reject_application,unfair,[],0,0
85,2022-12-20 14:48:41.495818,5e465ab4c07877130185c306,103570,None,select_applications,None,103570,None,None
