serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:37:04.953380,5e8a39059d97d006d0bd8439,,,Login,,,,
2,2022-12-20 15:10:32.897111,5e8a39059d97d006d0bd8439,0,None,apply_refine_search,Income,,,
3,2022-12-20 15:10:38.417240,5e8a39059d97d006d0bd8439,0,None,apply_refine_search,,,,
4,2022-12-20 15:10:56.518619,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
5,2022-12-20 15:10:59.620247,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
6,2022-12-20 15:11:53.051918,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
7,2022-12-20 15:12:03.096548,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
8,2022-12-20 15:12:04.040184,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
9,2022-12-20 15:12:08.496405,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
10,2022-12-20 15:12:09.198418,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
11,2022-12-20 15:12:21.143559,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
12,2022-12-20 15:12:28.298794,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
13,2022-12-20 15:12:28.400228,5e8a39059d97d006d0bd8439,106647,None,select_reject_application,fair,"[{'attribute': '106647_Gender', 'value': '0'}]",0,0
14,2022-12-20 15:12:31.217746,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
15,2022-12-20 15:12:33.412717,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
16,2022-12-20 15:12:41.935426,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
17,2022-12-20 15:12:42.407855,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
18,2022-12-20 15:12:45.695408,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
19,2022-12-20 15:12:47.639026,5e8a39059d97d006d0bd8439,106401,None,select_applications,None,106401,None,None
20,2022-12-20 15:12:56.330022,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
21,2022-12-20 15:12:57.247017,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
22,2022-12-20 15:12:58.347605,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
23,2022-12-20 15:12:59.031103,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
24,2022-12-20 15:12:59.045738,5e8a39059d97d006d0bd8439,106647,None,select_reject_application,unfair,"[{'attribute': '106647_Gender', 'value': '0'}]",0,0
25,2022-12-20 15:13:05.471791,5e8a39059d97d006d0bd8439,106647,None,select_applications,None,106647,None,None
26,2022-12-20 15:13:09.025719,5e8a39059d97d006d0bd8439,106401,None,select_applications,None,106401,None,None
27,2022-12-20 15:13:33.106832,5e8a39059d97d006d0bd8439,106401,None,select_applications,None,106401,None,None
28,2022-12-20 15:13:34.705264,5e8a39059d97d006d0bd8439,106401,None,select_reject_application,unfair,"[{'attribute': '106647_Gender', 'value': '0'}]",0,0
29,2022-12-20 15:13:34.708957,5e8a39059d97d006d0bd8439,106401,None,select_applications,None,106401,None,None
30,2022-12-20 15:13:36.943442,5e8a39059d97d006d0bd8439,106401,None,select_applications,None,106401,None,None
31,2022-12-20 15:13:37.740116,5e8a39059d97d006d0bd8439,106401,None,select_applications,None,106401,None,None
32,2022-12-20 15:13:41.223351,5e8a39059d97d006d0bd8439,106488,None,select_applications,None,106488,None,None
33,2022-12-20 15:14:49.162985,5e8a39059d97d006d0bd8439,106488,None,select_applications,None,106488,None,None
34,2022-12-20 15:14:50.840330,5e8a39059d97d006d0bd8439,106488,None,select_applications,None,106488,None,None
35,2022-12-20 15:14:50.842898,5e8a39059d97d006d0bd8439,106488,None,select_reject_application,unfair,"[{'attribute': '106401_Owns Car', 'value': '0'}, {'attribute': '106647_Gender', 'value': '0'}]",0,0
36,2022-12-20 15:14:51.817481,5e8a39059d97d006d0bd8439,106488,None,select_applications,None,106488,None,None
37,2022-12-20 15:14:55.474184,5e8a39059d97d006d0bd8439,101367,None,select_applications,None,101367,None,None
38,2022-12-20 15:16:12.875096,5e8a39059d97d006d0bd8439,101367,None,select_applications,None,101367,None,None
39,2022-12-20 15:16:15.033410,5e8a39059d97d006d0bd8439,101367,None,select_applications,None,101367,None,None
40,2022-12-20 15:16:15.111443,5e8a39059d97d006d0bd8439,101367,None,select_reject_application,unfair,"[{'attribute': '106401_Owns Car', 'value': '0'}, {'attribute': '106647_Gender', 'value': '0'}]",0,0
41,2022-12-20 15:16:17.899720,5e8a39059d97d006d0bd8439,101367,None,select_applications,None,101367,None,None
42,2022-12-20 15:16:33.212675,5e8a39059d97d006d0bd8439,0,None,apply_refine_search,Owns Car,,,
43,2022-12-20 15:16:44.731141,5e8a39059d97d006d0bd8439,0,None,apply_refine_search,Gender,,,
44,2022-12-20 15:16:52.113003,5e8a39059d97d006d0bd8439,100001,None,select_applications,None,100001,None,None
45,2022-12-20 15:16:53.378166,5e8a39059d97d006d0bd8439,100001,None,select_applications,None,100001,None,None
46,2022-12-20 15:16:53.961632,5e8a39059d97d006d0bd8439,100005,None,select_applications,None,100005,None,None
47,2022-12-20 15:16:54.603934,5e8a39059d97d006d0bd8439,100001,None,select_applications,None,100001,None,None
48,2022-12-20 15:16:56.025937,5e8a39059d97d006d0bd8439,100001,None,select_applications,None,100001,None,None
49,2022-12-20 15:18:34.194710,5e8a39059d97d006d0bd8439,100001,None,select_applications,None,100001,None,None
50,2022-12-20 15:18:35.992855,5e8a39059d97d006d0bd8439,100001,None,select_applications,None,100001,None,None
51,2022-12-20 15:18:35.998212,5e8a39059d97d006d0bd8439,100001,None,select_applications,None,100001,None,None
52,2022-12-20 15:18:36.048169,5e8a39059d97d006d0bd8439,100001,None,select_reject_application,fair,"[{'attribute': '106401_Owns Car', 'value': '0'}, {'attribute': '106647_Gender', 'value': '0'}]",0,0
