serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:36:53.712804,5ea96851a879f0059741c4cb,,,Login,,,,
2,2022-12-20 14:38:48.850393,5ea96851a879f0059741c4cb,0,None,apply_refine_search,Accompanied while applying,,,
3,2022-12-20 14:38:55.016418,5ea96851a879f0059741c4cb,0,None,apply_refine_search,Has Mobile,,,
4,2022-12-20 14:38:59.661415,5ea96851a879f0059741c4cb,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:39:03.197474,5ea96851a879f0059741c4cb,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:39:03.198773,5ea96851a879f0059741c4cb,106647,None,select_reject_application,fair,[],0,0
7,2022-12-20 14:39:09.509245,5ea96851a879f0059741c4cb,106647,None,select_applications,None,106647,None,None
8,2022-12-20 14:39:49.113217,5ea96851a879f0059741c4cb,106401,None,select_applications,None,106401,None,None
9,2022-12-20 14:40:02.012682,5ea96851a879f0059741c4cb,0,None,apply_refine_search,Has Work Phone,,,
10,2022-12-20 14:40:17.144324,5ea96851a879f0059741c4cb,106401,None,select_applications,None,106401,None,None
11,2022-12-20 14:40:19.467331,5ea96851a879f0059741c4cb,106401,None,select_applications,None,106401,None,None
12,2022-12-20 14:40:19.472636,5ea96851a879f0059741c4cb,106401,None,select_applications,None,106401,None,None
13,2022-12-20 14:40:19.788267,5ea96851a879f0059741c4cb,106401,None,select_reject_application,fair,[],0,0
14,2022-12-20 14:40:23.903206,5ea96851a879f0059741c4cb,106401,None,select_applications,None,106401,None,None
15,2022-12-20 14:40:29.947079,5ea96851a879f0059741c4cb,106401,None,select_applications,None,106401,None,None
16,2022-12-20 14:41:09.859605,5ea96851a879f0059741c4cb,106488,None,select_applications,None,106488,None,None
17,2022-12-20 14:41:15.437062,5ea96851a879f0059741c4cb,103971,None,select_applications,None,103971,None,None
18,2022-12-20 14:41:23.327034,5ea96851a879f0059741c4cb,103971,None,select_applications,None,103971,None,None
19,2022-12-20 14:41:33.880622,5ea96851a879f0059741c4cb,103971,None,select_applications,None,103971,None,None
20,2022-12-20 14:41:33.884013,5ea96851a879f0059741c4cb,103971,None,select_reject_application,unfair,"[{'attribute': '106401_Region & City Rating', 'value': '0.055'}]",0,0
