serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:39:39.064672,5ebed23204aa470f9e1299bb,,,Login,,,,
2,2022-12-20 14:42:09.276203,5ebed23204aa470f9e1299bb,0,None,Applications_Prediction_Confidence,None,ascend,,
3,2022-12-20 14:42:26.595106,5ebed23204aa470f9e1299bb,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:42:48.304342,5ebed23204aa470f9e1299bb,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:42:48.307936,5ebed23204aa470f9e1299bb,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:42:48.468738,5ebed23204aa470f9e1299bb,106647,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0'}]",0,0
7,2022-12-20 14:42:52.496401,5ebed23204aa470f9e1299bb,106647,None,select_applications,None,106647,None,None
8,2022-12-20 14:42:52.500479,5ebed23204aa470f9e1299bb,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:42:52.507507,5ebed23204aa470f9e1299bb,106647,None,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0'}]",0,0
10,2022-12-20 14:43:16.435174,5ebed23204aa470f9e1299bb,106647,None,select_applications,None,106647,None,None
11,2022-12-20 14:43:28.048268,5ebed23204aa470f9e1299bb,106401,None,select_applications,None,106401,None,None
12,2022-12-20 14:43:50.327832,5ebed23204aa470f9e1299bb,106401,None,select_applications,None,106401,None,None
13,2022-12-20 14:44:00.676554,5ebed23204aa470f9e1299bb,106401,None,select_applications,None,106401,None,None
14,2022-12-20 14:44:14.127929,5ebed23204aa470f9e1299bb,106401,None,select_applications,None,106401,None,None
15,2022-12-20 14:44:14.664844,5ebed23204aa470f9e1299bb,106401,None,select_applications,None,106401,None,None
16,2022-12-20 14:44:31.967930,5ebed23204aa470f9e1299bb,106647,None,select_applications,None,106647,None,None
17,2022-12-20 14:44:35.329631,5ebed23204aa470f9e1299bb,106647,None,select_applications,None,106647,None,None
18,2022-12-20 14:44:44.895666,5ebed23204aa470f9e1299bb,105672,None,select_applications,None,105672,None,None
19,2022-12-20 14:44:47.735871,5ebed23204aa470f9e1299bb,105672,None,select_applications,None,105672,None,None
20,2022-12-20 14:44:47.746206,5ebed23204aa470f9e1299bb,105672,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0'}, {'attribute': '106401_Owns Car', 'value': '0.022'}, {'attribute': '106647_Gender', 'value': '0'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.015'}]",0,0
21,2022-12-20 14:44:52.899430,5ebed23204aa470f9e1299bb,105672,None,select_applications,None,105672,None,None
22,2022-12-20 14:44:53.332248,5ebed23204aa470f9e1299bb,105672,None,select_applications,None,105672,None,None
23,2022-12-20 14:45:12.313232,5ebed23204aa470f9e1299bb,100770,None,select_applications,None,100770,None,None
24,2022-12-20 14:45:28.104573,5ebed23204aa470f9e1299bb,100770,None,select_applications,None,100770,None,None
25,2022-12-20 14:45:40.555992,5ebed23204aa470f9e1299bb,100001,None,similar_application,,104943,,
26,2022-12-20 14:45:46.975731,5ebed23204aa470f9e1299bb,100001,None,similar_application,,105345,,
27,2022-12-20 14:46:01.905831,5ebed23204aa470f9e1299bb,100001,None,similar_application,,103762,,
28,2022-12-20 14:46:24.349557,5ebed23204aa470f9e1299bb,102763,None,select_applications,None,102763,None,None
29,2022-12-20 14:47:13.616520,5ebed23204aa470f9e1299bb,102763,None,select_applications,None,102763,None,None
30,2022-12-20 14:47:13.620503,5ebed23204aa470f9e1299bb,102763,None,select_applications,None,102763,None,None
