serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:39:18.903361,5eee30178ad8d20a8354fbac,,,Login,,,,
2,2022-12-20 14:50:50.811088,5eee30178ad8d20a8354fbac,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:51:27.557250,5eee30178ad8d20a8354fbac,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:52:39.107591,5eee30178ad8d20a8354fbac,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:53:10.974136,5eee30178ad8d20a8354fbac,0,None,Applications_Prediction_Confidence,None,ascend,,
6,2022-12-20 14:53:44.450452,5eee30178ad8d20a8354fbac,0,None,Applications_Prediction_Confidence,None,ascend,,
7,2022-12-20 14:54:39.932033,5eee30178ad8d20a8354fbac,103828,None,select_applications,None,103828,None,None
8,2022-12-20 14:54:55.629988,5eee30178ad8d20a8354fbac,103851,None,select_applications,None,103851,None,None
9,2022-12-20 14:55:06.967512,5eee30178ad8d20a8354fbac,0,None,Applications_Prediction_Confidence,None,ascend,,
10,2022-12-20 14:56:08.719205,5eee30178ad8d20a8354fbac,105532,None,select_applications,None,105532,None,None
11,2022-12-20 14:56:12.259411,5eee30178ad8d20a8354fbac,105532,None,select_applications,None,105532,None,None
12,2022-12-20 14:56:12.508715,5eee30178ad8d20a8354fbac,105532,None,select_reject_application,fair,[],0,0
13,2022-12-20 14:56:22.768702,5eee30178ad8d20a8354fbac,105532,None,select_applications,None,105532,None,None
14,2022-12-20 14:56:24.065730,5eee30178ad8d20a8354fbac,105532,None,select_applications,None,105532,None,None
15,2022-12-20 14:57:25.489042,5eee30178ad8d20a8354fbac,100005,None,select_applications,None,100005,None,None
16,2022-12-20 14:57:28.550031,5eee30178ad8d20a8354fbac,100005,None,select_applications,None,100005,None,None
17,2022-12-20 14:57:28.552422,5eee30178ad8d20a8354fbac,100005,None,select_applications,None,100005,None,None
18,2022-12-20 14:57:28.884244,5eee30178ad8d20a8354fbac,100005,None,select_reject_application,fair,"[{'attribute': '105532_Application Day', 'value': '0.043'}]",0,0
19,2022-12-20 14:57:32.288965,5eee30178ad8d20a8354fbac,100005,None,select_applications,None,100005,None,None
20,2022-12-20 14:58:08.640415,5eee30178ad8d20a8354fbac,100005,None,select_applications,None,100005,None,None
21,2022-12-20 14:58:24.089987,5eee30178ad8d20a8354fbac,100013,None,select_applications,None,100013,None,None
22,2022-12-20 14:58:27.470693,5eee30178ad8d20a8354fbac,100013,None,select_reject_application,unfair,"[{'attribute': '105532_Application Day', 'value': '0.043'}, {'attribute': '100005_Owns Car', 'value': '0.04'}]",0,0
23,2022-12-20 14:58:27.473435,5eee30178ad8d20a8354fbac,100013,None,select_applications,None,100013,None,None
24,2022-12-20 14:58:38.490625,5eee30178ad8d20a8354fbac,100013,None,select_applications,None,100013,None,None
25,2022-12-20 14:58:52.034393,5eee30178ad8d20a8354fbac,100042,None,select_applications,None,100042,None,None
26,2022-12-20 14:58:54.602887,5eee30178ad8d20a8354fbac,100042,None,select_applications,None,100042,None,None
27,2022-12-20 14:58:55.553553,5eee30178ad8d20a8354fbac,100042,None,select_reject_application,unfair,"[{'attribute': '105532_Application Day', 'value': '0.043'}, {'attribute': '100005_Owns Car', 'value': '0.04'}]",0,0
28,2022-12-20 14:59:01.676777,5eee30178ad8d20a8354fbac,100042,None,select_applications,None,100042,None,None
29,2022-12-20 14:59:28.170325,5eee30178ad8d20a8354fbac,100763,None,select_applications,None,100763,None,None
30,2022-12-20 14:59:32.228882,5eee30178ad8d20a8354fbac,100763,None,select_applications,None,100763,None,None
31,2022-12-20 14:59:35.114866,5eee30178ad8d20a8354fbac,100763,None,select_applications,None,100763,None,None
32,2022-12-20 14:59:35.391843,5eee30178ad8d20a8354fbac,100763,None,select_applications,None,100763,None,None
33,2022-12-20 14:59:35.618242,5eee30178ad8d20a8354fbac,100763,None,select_reject_application,fair,"[{'attribute': '105532_Application Day', 'value': '0.043'}, {'attribute': '100005_Owns Car', 'value': '0.04'}]",0,0
34,2022-12-20 14:59:42.358538,5eee30178ad8d20a8354fbac,100763,None,select_applications,None,100763,None,None
35,2022-12-20 15:00:19.559138,5eee30178ad8d20a8354fbac,100038,None,select_applications,None,100038,None,None
36,2022-12-20 15:00:24.861296,5eee30178ad8d20a8354fbac,100038,None,select_applications,None,100038,None,None
37,2022-12-20 15:00:24.874498,5eee30178ad8d20a8354fbac,100038,None,select_applications,None,100038,None,None
38,2022-12-20 15:00:25.118679,5eee30178ad8d20a8354fbac,100038,None,select_reject_application,fair,"[{'attribute': '105532_Application Day', 'value': '0.043'}, {'attribute': '100005_Owns Car', 'value': '0.04'}]",0,0
39,2022-12-20 15:00:31.659420,5eee30178ad8d20a8354fbac,100038,None,select_applications,None,100038,None,None
40,2022-12-20 15:00:57.906529,5eee30178ad8d20a8354fbac,106258,None,select_applications,None,106258,None,None
41,2022-12-20 15:01:00.913217,5eee30178ad8d20a8354fbac,106258,None,select_applications,None,106258,None,None
42,2022-12-20 15:01:01.476511,5eee30178ad8d20a8354fbac,106258,None,select_applications,None,106258,None,None
43,2022-12-20 15:01:02.019261,5eee30178ad8d20a8354fbac,106258,None,select_reject_application,fair,"[{'attribute': '105532_Application Day', 'value': '0.043'}, {'attribute': '100005_Owns Car', 'value': '0.04'}]",0,0
44,2022-12-20 15:01:03.481315,5eee30178ad8d20a8354fbac,106258,None,select_applications,None,106258,None,None
45,2022-12-20 15:01:12.988201,5eee30178ad8d20a8354fbac,100001,None,select_applications,None,100001,None,None
46,2022-12-20 15:01:15.641230,5eee30178ad8d20a8354fbac,100001,None,select_applications,None,100001,None,None
47,2022-12-20 15:01:16.156715,5eee30178ad8d20a8354fbac,100001,None,select_reject_application,unfair,"[{'attribute': '105532_Application Day', 'value': '0.043'}, {'attribute': '100005_Owns Car', 'value': '0.04'}]",0,0
48,2022-12-20 15:01:41.515190,5eee30178ad8d20a8354fbac,100028,None,select_applications,None,100028,None,None
49,2022-12-20 15:01:45.895042,5eee30178ad8d20a8354fbac,100028,None,select_applications,None,100028,None,None
50,2022-12-20 15:01:47.782686,5eee30178ad8d20a8354fbac,100028,None,select_applications,None,100028,None,None
51,2022-12-20 15:01:47.783889,5eee30178ad8d20a8354fbac,100028,None,select_applications,None,100028,None,None
52,2022-12-20 15:01:48.055170,5eee30178ad8d20a8354fbac,100028,None,select_reject_application,fair,"[{'attribute': '105532_Application Day', 'value': '0.043'}, {'attribute': '100005_Owns Car', 'value': '0.04'}]",0,0
53,2022-12-20 15:01:53.659654,5eee30178ad8d20a8354fbac,100028,None,select_applications,None,100028,None,None
54,2022-12-20 15:02:11.922898,5eee30178ad8d20a8354fbac,100791,None,select_applications,None,100791,None,None
55,2022-12-20 15:02:14.819013,5eee30178ad8d20a8354fbac,100791,None,select_applications,None,100791,None,None
