serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:38:00.231763,5f02fbee212873485f6ce5b8,,,Login,,,,
2,2022-12-20 14:39:14.512431,5f02fbee212873485f6ce5b8,0,None,apply_refine_search,Application Day,MONDAY,,
3,2022-12-20 14:39:18.454174,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
4,2022-12-20 14:39:21.756461,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
5,2022-12-20 14:39:23.386331,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
6,2022-12-20 14:39:24.664764,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
7,2022-12-20 14:39:26.364903,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
8,2022-12-20 14:39:28.049693,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
9,2022-12-20 14:39:30.062743,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
10,2022-12-20 14:39:31.567496,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
11,2022-12-20 14:39:32.720050,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
12,2022-12-20 14:39:33.929976,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
13,2022-12-20 14:39:35.499957,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
14,2022-12-20 14:39:36.537659,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
15,2022-12-20 14:39:38.236922,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
16,2022-12-20 14:39:40.042567,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
17,2022-12-20 14:39:41.459654,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
18,2022-12-20 14:39:42.665312,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
19,2022-12-20 14:39:43.995524,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
20,2022-12-20 14:39:45.092418,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
21,2022-12-20 14:39:45.893579,5f02fbee212873485f6ce5b8,105035,None,select_applications,None,105035,None,None
22,2022-12-20 14:40:10.208731,5f02fbee212873485f6ce5b8,0,None,apply_refine_search,Has email,No,,
23,2022-12-20 14:40:15.756698,5f02fbee212873485f6ce5b8,106647,None,select_applications,None,106647,None,None
24,2022-12-20 14:40:18.542693,5f02fbee212873485f6ce5b8,106647,None,select_applications,None,106647,None,None
25,2022-12-20 14:40:18.549826,5f02fbee212873485f6ce5b8,106647,None,select_applications,None,106647,None,None
