serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:35:39.044130,5f256074297aac1d8ef7382d,,,Login,,,,
2,2022-12-20 14:39:15.315313,5f256074297aac1d8ef7382d,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
3,2022-12-20 14:39:20.208560,5f256074297aac1d8ef7382d,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '13', 'risk_rate': '85'}",None,None
4,2022-12-20 14:39:42.207057,5f256074297aac1d8ef7382d,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:39:47.564588,5f256074297aac1d8ef7382d,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:39:54.489513,5f256074297aac1d8ef7382d,106647,None,select_applications,None,106647,None,None
7,2022-12-20 14:40:17.454529,5f256074297aac1d8ef7382d,0,None,apply_refine_search,Years in current employment,,,
8,2022-12-20 14:40:22.992574,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
9,2022-12-20 14:40:51.514997,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
10,2022-12-20 14:40:54.519046,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
11,2022-12-20 14:40:55.862306,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
12,2022-12-20 14:40:58.510244,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
13,2022-12-20 14:41:04.520904,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
14,2022-12-20 14:41:12.623570,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
15,2022-12-20 14:41:13.405116,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
16,2022-12-20 14:41:14.496844,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
17,2022-12-20 14:41:24.369856,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
18,2022-12-20 14:41:24.422959,5f256074297aac1d8ef7382d,100001,None,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.014'}, {'attribute': '100001_Years in current employment', 'value': '0.046'}, {'attribute': '100001_Number of family members', 'value': '0.021'}, {'attribute': '100001_Housing situation', 'value': '0.035'}, {'attribute': '100001_Income type', 'value': '0.057'}, {'attribute': '100001_Years since changing phone', 'value': '0.007'}, {'attribute': '100001_Owns Property', 'value': '0.051'}]",0,0
19,2022-12-20 14:41:25.538420,5f256074297aac1d8ef7382d,100001,None,select_applications,None,100001,None,None
20,2022-12-20 14:41:31.315786,5f256074297aac1d8ef7382d,100005,None,select_applications,None,100005,None,None
