serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:52:30.221468,5f28221bb87bb70bb9731f2c,,,Login,,,,
2,2022-12-20 14:56:12.251494,5f28221bb87bb70bb9731f2c,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:56:29.351616,5f28221bb87bb70bb9731f2c,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:56:32.135366,5f28221bb87bb70bb9731f2c,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:56:36.929683,5f28221bb87bb70bb9731f2c,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:56:36.934496,5f28221bb87bb70bb9731f2c,106647,None,select_applications,None,106647,None,None
7,2022-12-20 14:56:36.995862,5f28221bb87bb70bb9731f2c,106647,None,select_reject_application,fair,[],0,0
8,2022-12-20 14:56:41.323535,5f28221bb87bb70bb9731f2c,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:56:43.711719,5f28221bb87bb70bb9731f2c,106647,None,select_applications,None,106647,None,None
10,2022-12-20 14:56:48.171492,5f28221bb87bb70bb9731f2c,106647,None,select_applications,None,106647,None,None
11,2022-12-20 14:57:10.581756,5f28221bb87bb70bb9731f2c,106647,None,select_applications,None,106647,None,None
12,2022-12-20 14:57:45.960764,5f28221bb87bb70bb9731f2c,106647,None,select_applications,None,106647,None,None
13,2022-12-20 14:58:10.393365,5f28221bb87bb70bb9731f2c,106401,None,select_applications,None,106401,None,None
14,2022-12-20 14:58:14.761530,5f28221bb87bb70bb9731f2c,106401,None,select_applications,None,106401,None,None
15,2022-12-20 14:58:15.028473,5f28221bb87bb70bb9731f2c,106401,None,select_applications,None,106401,None,None
16,2022-12-20 14:58:16.071814,5f28221bb87bb70bb9731f2c,106401,None,select_applications,None,106401,None,None
17,2022-12-20 14:58:16.506568,5f28221bb87bb70bb9731f2c,106401,None,select_applications,None,106401,None,None
18,2022-12-20 14:58:17.351710,5f28221bb87bb70bb9731f2c,106401,None,select_applications,None,106401,None,None
19,2022-12-20 14:58:39.475158,5f28221bb87bb70bb9731f2c,106401,None,select_applications,None,106401,None,None
