serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:51:15.251722,5f315855cb8aea6276244c19,,,Login,,,,
2,2022-12-20 14:59:36.048893,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:59:55.564648,5f315855cb8aea6276244c19,0,None,apply_refine_search,Income type,Working,,
4,2022-12-20 15:00:37.580642,5f315855cb8aea6276244c19,0,None,apply_refine_search,Income,Working,,
5,2022-12-20 15:00:56.533872,5f315855cb8aea6276244c19,0,None,Applications_Prediction_Confidence,None,ascend,,
6,2022-12-20 15:01:05.488840,5f315855cb8aea6276244c19,105625,None,select_applications,None,105625,None,None
7,2022-12-20 15:01:12.359521,5f315855cb8aea6276244c19,105625,None,select_applications,None,105625,None,None
8,2022-12-20 15:01:12.607935,5f315855cb8aea6276244c19,105625,None,select_reject_application,fair,[],0,0
9,2022-12-20 15:01:14.521938,5f315855cb8aea6276244c19,105625,None,select_applications,None,105625,None,None
10,2022-12-20 15:01:27.982963,5f315855cb8aea6276244c19,105625,None,select_applications,None,105625,None,None
11,2022-12-20 15:01:30.424281,5f315855cb8aea6276244c19,105625,None,select_applications,None,105625,None,None
12,2022-12-20 15:01:44.645694,5f315855cb8aea6276244c19,105625,None,select_applications,None,105625,None,None
13,2022-12-20 15:01:56.858908,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
14,2022-12-20 15:02:17.977614,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
15,2022-12-20 15:02:18.369479,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
16,2022-12-20 15:02:18.372233,5f315855cb8aea6276244c19,106647,None,select_reject_application,fair,"[{'attribute': '105625_Age', 'value': '0.025'}]",0,0
17,2022-12-20 15:02:23.009380,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
18,2022-12-20 15:02:24.219253,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
19,2022-12-20 15:02:26.359846,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
20,2022-12-20 15:02:30.706311,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
21,2022-12-20 15:02:37.523869,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
22,2022-12-20 15:02:38.998132,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
23,2022-12-20 15:02:44.979458,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
24,2022-12-20 15:02:52.346824,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
25,2022-12-20 15:02:57.909153,5f315855cb8aea6276244c19,106647,None,select_applications,None,106647,None,None
26,2022-12-20 15:03:21.536788,5f315855cb8aea6276244c19,0,None,Clicked-on-Causal-Graph-Node,Node Value,Number of family members,None,None
27,2022-12-20 15:03:44.629034,5f315855cb8aea6276244c19,0,None,apply_refine_search,Income,200K-250K,,
28,2022-12-20 15:03:45.700791,5f315855cb8aea6276244c19,0,None,apply_refine_search,Income,200K-250K,,
29,2022-12-20 15:03:46.333145,5f315855cb8aea6276244c19,0,None,apply_refine_search,Income,200K-250K,,
30,2022-12-20 15:03:54.348635,5f315855cb8aea6276244c19,100001,None,similar_application,,104529,,
31,2022-12-20 15:04:28.330039,5f315855cb8aea6276244c19,106720,None,select_applications,None,106720,None,None
32,2022-12-20 15:05:00.549279,5f315855cb8aea6276244c19,106720,None,select_reject_application,unfair,"[{'attribute': '105625_Age', 'value': '0.025'}, {'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '106647_Housing situation', 'value': '0.047'}, {'attribute': '106647_Occupation Type', 'value': '0.053'}, {'attribute': '106647_Installments', 'value': '0.063'}, {'attribute': '106647_Years in current employment', 'value': '0.062'}, {'attribute': '106647_Income type', 'value': '0.061'}]",0,0
33,2022-12-20 15:05:00.553588,5f315855cb8aea6276244c19,106720,None,select_applications,None,106720,None,None
34,2022-12-20 15:05:05.512499,5f315855cb8aea6276244c19,106720,None,select_applications,None,106720,None,None
35,2022-12-20 15:05:42.008548,5f315855cb8aea6276244c19,0,None,apply_refine_search,Occupation Type,Waiters/barmen staff,,
36,2022-12-20 15:05:48.655379,5f315855cb8aea6276244c19,101961,None,select_applications,None,101961,None,None
37,2022-12-20 15:05:56.264282,5f315855cb8aea6276244c19,101961,None,select_applications,None,101961,None,None
38,2022-12-20 15:06:06.082978,5f315855cb8aea6276244c19,101961,None,select_applications,None,101961,None,None
39,2022-12-20 15:06:17.788373,5f315855cb8aea6276244c19,101961,None,select_applications,None,101961,None,None
40,2022-12-20 15:06:22.628796,5f315855cb8aea6276244c19,101961,None,select_applications,None,101961,None,None
41,2022-12-20 15:06:35.147972,5f315855cb8aea6276244c19,101961,None,select_applications,None,101961,None,None
42,2022-12-20 15:06:35.152468,5f315855cb8aea6276244c19,101961,None,select_reject_application,unfair,"[{'attribute': '105625_Age', 'value': '0.025'}, {'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '106647_Housing situation', 'value': '0.047'}, {'attribute': '106647_Occupation Type', 'value': '0.053'}, {'attribute': '101961_Housing situation', 'value': '0.042'}, {'attribute': '106647_Installments', 'value': '0.063'}, {'attribute': '101961_Occupation Type', 'value': '0.056'}, {'attribute': '106647_Years in current employment', 'value': '0.062'}, {'attribute': '101961_Income', 'value': '0.063'}, {'attribute': '106647_Income type', 'value': '0.061'}]",0,0
43,2022-12-20 15:06:40.890390,5f315855cb8aea6276244c19,101961,None,select_applications,None,101961,None,None
44,2022-12-20 15:07:07.800306,5f315855cb8aea6276244c19,0,None,apply_refine_search,Occupation Type,,,
45,2022-12-20 15:07:12.281391,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
46,2022-12-20 15:07:16.553725,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
47,2022-12-20 15:07:21.682207,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
48,2022-12-20 15:07:25.469148,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
49,2022-12-20 15:07:27.719461,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
50,2022-12-20 15:07:30.055524,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
51,2022-12-20 15:07:41.274162,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
52,2022-12-20 15:07:43.395395,5f315855cb8aea6276244c19,100001,None,select_reject_application,unfair,"[{'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '101961_Housing situation', 'value': '0.042'}, {'attribute': '106647_Installments', 'value': '0.063'}, {'attribute': '106647_Years in current employment', 'value': '0.062'}, {'attribute': '101961_Income', 'value': '0.063'}, {'attribute': '100001_Occupation Type', 'value': '0.073'}, {'attribute': '105625_Age', 'value': '0.025'}, {'attribute': '100001_Years in current employment', 'value': '0.062'}, {'attribute': '106647_Housing situation', 'value': '0.047'}, {'attribute': '106647_Occupation Type', 'value': '0.053'}, {'attribute': '100001_Age', 'value': '0.045'}, {'attribute': '100001_Installments', 'value': '0.061'}, {'attribute': '101961_Occupation Type', 'value': '0.056'}, {'attribute': '106647_Income type', 'value': '0.061'}, {'attribute': '100001_Income type', 'value': '0.05'}]",0,0
53,2022-12-20 15:07:43.394484,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
54,2022-12-20 15:07:47.911553,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
55,2022-12-20 15:07:54.988406,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
56,2022-12-20 15:07:55.307070,5f315855cb8aea6276244c19,100001,None,select_applications,None,100001,None,None
57,2022-12-20 15:07:57.631900,5f315855cb8aea6276244c19,100001,None,similar_application,,102701,,
58,2022-12-20 15:07:58.157575,5f315855cb8aea6276244c19,100001,None,similar_application,,102701,,
59,2022-12-20 15:07:58.346245,5f315855cb8aea6276244c19,100001,None,similar_application,,102701,,
60,2022-12-20 15:07:59.318223,5f315855cb8aea6276244c19,100001,None,similar_application,,102701,,
61,2022-12-20 15:07:59.549425,5f315855cb8aea6276244c19,100001,None,similar_application,,102701,,
62,2022-12-20 15:08:21.809302,5f315855cb8aea6276244c19,0,None,apply_refine_search,Income,,,
63,2022-12-20 15:08:28.043478,5f315855cb8aea6276244c19,100013,None,select_applications,None,100013,None,None
64,2022-12-20 15:08:41.335018,5f315855cb8aea6276244c19,100013,None,select_applications,None,100013,None,None
65,2022-12-20 15:08:43.186960,5f315855cb8aea6276244c19,100013,None,select_applications,None,100013,None,None
66,2022-12-20 15:09:07.777629,5f315855cb8aea6276244c19,100013,None,select_applications,None,100013,None,None
67,2022-12-20 15:09:07.779927,5f315855cb8aea6276244c19,100013,None,select_applications,None,100013,None,None
68,2022-12-20 15:09:07.984057,5f315855cb8aea6276244c19,100013,None,select_reject_application,fair,"[{'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '101961_Housing situation', 'value': '0.042'}, {'attribute': '106647_Installments', 'value': '0.063'}, {'attribute': '106647_Years in current employment', 'value': '0.062'}, {'attribute': '101961_Income', 'value': '0.063'}, {'attribute': '100001_Occupation Type', 'value': '0.073'}, {'attribute': '100013_Years in current employment', 'value': '0.056'}, {'attribute': '100013_Income type', 'value': '0.054'}, {'attribute': '105625_Age', 'value': '0.025'}, {'attribute': '100001_Years in current employment', 'value': '0.062'}, {'attribute': '106647_Housing situation', 'value': '0.047'}, {'attribute': '106647_Occupation Type', 'value': '0.053'}, {'attribute': '100001_Age', 'value': '0.045'}, {'attribute': '100001_Installments', 'value': '0.061'}, {'attribute': '101961_Occupation Type', 'value': '0.056'}, {'attribute': '106647_Income type', 'value': '0.061'}, {'attribute': '100001_Income type', 'value': '0.05'}]",0,0
69,2022-12-20 15:09:11.516706,5f315855cb8aea6276244c19,100013,None,select_applications,None,100013,None,None
70,2022-12-20 15:09:26.529309,5f315855cb8aea6276244c19,0,None,apply_refine_search,Income,>250K,,
71,2022-12-20 15:09:27.628398,5f315855cb8aea6276244c19,0,None,apply_refine_search,Income,>250K,,
72,2022-12-20 15:09:28.433495,5f315855cb8aea6276244c19,0,None,apply_refine_search,Income,>250K,,
73,2022-12-20 15:09:33.460610,5f315855cb8aea6276244c19,100170,None,select_applications,None,100170,None,None
74,2022-12-20 15:09:47.100577,5f315855cb8aea6276244c19,100170,None,select_applications,None,100170,None,None
75,2022-12-20 15:09:50.000267,5f315855cb8aea6276244c19,100170,None,select_applications,None,100170,None,None
76,2022-12-20 15:10:11.153932,5f315855cb8aea6276244c19,100170,None,select_applications,None,100170,None,None
77,2022-12-20 15:10:18.214168,5f315855cb8aea6276244c19,100170,None,select_applications,None,100170,None,None
78,2022-12-20 15:10:18.215399,5f315855cb8aea6276244c19,100170,None,select_reject_application,unfair,"[{'attribute': '100170_Income type', 'value': '0.051'}, {'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '100170_Years in current employment', 'value': '0.042'}, {'attribute': '101961_Housing situation', 'value': '0.042'}, {'attribute': '106647_Installments', 'value': '0.063'}, {'attribute': '106647_Years in current employment', 'value': '0.062'}, {'attribute': '101961_Income', 'value': '0.063'}, {'attribute': '100001_Occupation Type', 'value': '0.073'}, {'attribute': '100013_Years in current employment', 'value': '0.056'}, {'attribute': '100013_Income type', 'value': '0.054'}, {'attribute': '100170_Income', 'value': '0.052'}, {'attribute': '105625_Age', 'value': '0.025'}, {'attribute': '100001_Years in current employment', 'value': '0.062'}, {'attribute': '106647_Housing situation', 'value': '0.047'}, {'attribute': '106647_Occupation Type', 'value': '0.053'}, {'attribute': '100001_Age', 'value': '0.045'}, {'attribute': '100001_Installments', 'value': '0.061'}, {'attribute': '101961_Occupation Type', 'value': '0.056'}, {'attribute': '106647_Income type', 'value': '0.061'}, {'attribute': '100001_Income type', 'value': '0.05'}]",0,0
79,2022-12-20 15:10:27.153975,5f315855cb8aea6276244c19,100170,None,select_applications,None,100170,None,None
80,2022-12-20 15:10:42.741970,5f315855cb8aea6276244c19,0,None,apply_refine_search,Age,>60,,
81,2022-12-20 15:10:58.905543,5f315855cb8aea6276244c19,101478,None,select_applications,None,101478,None,None
82,2022-12-20 15:11:06.151629,5f315855cb8aea6276244c19,101478,None,select_applications,None,101478,None,None
83,2022-12-20 15:11:06.157294,5f315855cb8aea6276244c19,101478,None,select_reject_application,fair,"[{'attribute': '100170_Income type', 'value': '0.051'}, {'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '100170_Years in current employment', 'value': '0.042'}, {'attribute': '101961_Housing situation', 'value': '0.042'}, {'attribute': '106647_Installments', 'value': '0.063'}, {'attribute': '106647_Years in current employment', 'value': '0.062'}, {'attribute': '101961_Income', 'value': '0.063'}, {'attribute': '100001_Occupation Type', 'value': '0.073'}, {'attribute': '100013_Years in current employment', 'value': '0.056'}, {'attribute': '100013_Income type', 'value': '0.054'}, {'attribute': '100170_Income', 'value': '0.052'}, {'attribute': '105625_Age', 'value': '0.025'}, {'attribute': '100001_Years in current employment', 'value': '0.062'}, {'attribute': '106647_Housing situation', 'value': '0.047'}, {'attribute': '106647_Occupation Type', 'value': '0.053'}, {'attribute': '100001_Age', 'value': '0.045'}, {'attribute': '100001_Installments', 'value': '0.061'}, {'attribute': '101961_Occupation Type', 'value': '0.056'}, {'attribute': '106647_Income type', 'value': '0.061'}, {'attribute': '100001_Income type', 'value': '0.05'}]",0,0
84,2022-12-20 15:11:42.234071,5f315855cb8aea6276244c19,101478,None,select_applications,None,101478,None,None
85,2022-12-20 15:11:46.339611,5f315855cb8aea6276244c19,101478,None,select_applications,None,101478,None,None
86,2022-12-20 15:12:08.481434,5f315855cb8aea6276244c19,0,None,apply_refine_search,Loan Credit amount,,,
87,2022-12-20 15:12:21.846728,5f315855cb8aea6276244c19,100038,None,select_applications,None,100038,None,None
88,2022-12-20 15:12:28.386823,5f315855cb8aea6276244c19,100038,None,select_applications,None,100038,None,None
89,2022-12-20 15:12:32.446950,5f315855cb8aea6276244c19,100038,None,select_applications,None,100038,None,None
90,2022-12-20 15:12:53.199484,5f315855cb8aea6276244c19,100038,None,select_applications,None,100038,None,None
91,2022-12-20 15:12:58.246163,5f315855cb8aea6276244c19,100038,None,select_applications,None,100038,None,None
92,2022-12-20 15:12:58.251535,5f315855cb8aea6276244c19,100038,None,select_reject_application,fair,"[{'attribute': '100170_Income type', 'value': '0.051'}, {'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '100170_Years in current employment', 'value': '0.042'}, {'attribute': '101961_Housing situation', 'value': '0.042'}, {'attribute': '106647_Installments', 'value': '0.063'}, {'attribute': '106647_Years in current employment', 'value': '0.062'}, {'attribute': '101961_Income', 'value': '0.063'}, {'attribute': '100001_Occupation Type', 'value': '0.073'}, {'attribute': '100013_Years in current employment', 'value': '0.056'}, {'attribute': '100013_Income type', 'value': '0.054'}, {'attribute': '100170_Income', 'value': '0.052'}, {'attribute': '105625_Age', 'value': '0.025'}, {'attribute': '100001_Years in current employment', 'value': '0.062'}, {'attribute': '106647_Housing situation', 'value': '0.047'}, {'attribute': '106647_Occupation Type', 'value': '0.053'}, {'attribute': '100001_Age', 'value': '0.045'}, {'attribute': '100001_Installments', 'value': '0.061'}, {'attribute': '101961_Occupation Type', 'value': '0.056'}, {'attribute': '106647_Income type', 'value': '0.061'}, {'attribute': '100001_Income type', 'value': '0.05'}, {'attribute': '101478_Occupation Type', 'value': '0.049'}]",0,0
93,2022-12-20 15:13:02.836357,5f315855cb8aea6276244c19,100038,None,select_applications,None,100038,None,None
94,2022-12-20 15:13:17.056768,5f315855cb8aea6276244c19,0,None,apply_refine_search,Income,,,
95,2022-12-20 15:13:23.736814,5f315855cb8aea6276244c19,100005,None,select_applications,None,100005,None,None
96,2022-12-20 15:13:26.647117,5f315855cb8aea6276244c19,100005,None,select_applications,None,100005,None,None
97,2022-12-20 15:13:28.558698,5f315855cb8aea6276244c19,100005,None,select_applications,None,100005,None,None
98,2022-12-20 15:13:54.399808,5f315855cb8aea6276244c19,100005,None,select_applications,None,100005,None,None
99,2022-12-20 15:13:54.403142,5f315855cb8aea6276244c19,100005,None,select_reject_application,unfair,"[{'attribute': '100170_Income type', 'value': '0.051'}, {'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '100170_Years in current employment', 'value': '0.042'}, {'attribute': '101961_Housing situation', 'value': '0.042'}, {'attribute': '106647_Installments', 'value': '0.063'}, {'attribute': '106647_Years in current employment', 'value': '0.062'}, {'attribute': '101961_Income', 'value': '0.063'}, {'attribute': '100001_Occupation Type', 'value': '0.073'}, {'attribute': '100013_Years in current employment', 'value': '0.056'}, {'attribute': '100013_Income type', 'value': '0.054'}, {'attribute': '100170_Income', 'value': '0.052'}, {'attribute': '105625_Age', 'value': '0.025'}, {'attribute': '100001_Years in current employment', 'value': '0.062'}, {'attribute': '106647_Housing situation', 'value': '0.047'}, {'attribute': '106647_Occupation Type', 'value': '0.053'}, {'attribute': '100001_Age', 'value': '0.045'}, {'attribute': '100001_Installments', 'value': '0.061'}, {'attribute': '101961_Occupation Type', 'value': '0.056'}, {'attribute': '106647_Income type', 'value': '0.061'}, {'attribute': '100001_Income type', 'value': '0.05'}, {'attribute': '101478_Occupation Type', 'value': '0.049'}]",0,0
100,2022-12-20 15:14:00.816236,5f315855cb8aea6276244c19,100005,None,select_applications,None,100005,None,None
101,2022-12-20 15:14:06.960042,5f315855cb8aea6276244c19,0,None,Clicked-on-Causal-Graph-Node,Node Value,Number of family members,None,None
102,2022-12-20 15:14:28.969924,5f315855cb8aea6276244c19,100028,None,select_applications,None,100028,None,None
103,2022-12-20 15:15:03.019802,5f315855cb8aea6276244c19,100028,None,select_reject_application,fair,"[{'attribute': '100170_Income type', 'value': '0.051'}, {'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '100170_Years in current employment', 'value': '0.042'}, {'attribute': '101961_Housing situation', 'value': '0.042'}, {'attribute': '106647_Installments', 'value': '0.063'}, {'attribute': '106647_Years in current employment', 'value': '0.062'}, {'attribute': '101961_Income', 'value': '0.063'}, {'attribute': '100001_Occupation Type', 'value': '0.073'}, {'attribute': '100013_Years in current employment', 'value': '0.056'}, {'attribute': '100013_Income type', 'value': '0.054'}, {'attribute': '100170_Income', 'value': '0.052'}, {'attribute': '105625_Age', 'value': '0.025'}, {'attribute': '100001_Years in current employment', 'value': '0.062'}, {'attribute': '106647_Housing situation', 'value': '0.047'}, {'attribute': '106647_Occupation Type', 'value': '0.053'}, {'attribute': '100001_Age', 'value': '0.045'}, {'attribute': '100001_Installments', 'value': '0.061'}, {'attribute': '101961_Occupation Type', 'value': '0.056'}, {'attribute': '106647_Income type', 'value': '0.061'}, {'attribute': '100001_Income type', 'value': '0.05'}, {'attribute': '101478_Occupation Type', 'value': '0.049'}]",0,0
104,2022-12-20 15:15:03.023484,5f315855cb8aea6276244c19,100028,None,select_applications,None,100028,None,None
105,2022-12-20 15:15:15.815702,5f315855cb8aea6276244c19,100028,None,select_applications,None,100028,None,None
106,2022-12-20 15:15:23.551823,5f315855cb8aea6276244c19,100042,None,select_applications,None,100042,None,None
107,2022-12-20 15:15:28.462930,5f315855cb8aea6276244c19,100042,None,select_applications,None,100042,None,None
108,2022-12-20 15:15:48.536728,5f315855cb8aea6276244c19,100042,None,select_applications,None,100042,None,None
109,2022-12-20 15:15:48.535579,5f315855cb8aea6276244c19,100042,None,select_reject_application,fair,"[{'attribute': '100170_Income type', 'value': '0.051'}, {'attribute': '106647_Income', 'value': '0.058'}, {'attribute': '100170_Years in current employment', 'value': '0.042'}, {'attribute': '101961_Housing situation', 'value': '0.042'}, {'attribute': '106647_Installments', 'value': '0.063'}, {'attribute': '106647_Years in current employment', 'value': '0.062'}, {'attribute': '101961_Income', 'value': '0.063'}, {'attribute': '100001_Occupation Type', 'value': '0.073'}, {'attribute': '100013_Years in current employment', 'value': '0.056'}, {'attribute': '100013_Income type', 'value': '0.054'}, {'attribute': '100042_Installments', 'value': '0.069'}, {'attribute': '100170_Income', 'value': '0.052'}, {'attribute': '105625_Age', 'value': '0.025'}, {'attribute': '100001_Years in current employment', 'value': '0.062'}, {'attribute': '106647_Housing situation', 'value': '0.047'}, {'attribute': '106647_Occupation Type', 'value': '0.053'}, {'attribute': '100001_Age', 'value': '0.045'}, {'attribute': '100001_Installments', 'value': '0.061'}, {'attribute': '101961_Occupation Type', 'value': '0.056'}, {'attribute': '106647_Income type', 'value': '0.061'}, {'attribute': '100001_Income type', 'value': '0.05'}, {'attribute': '101478_Occupation Type', 'value': '0.049'}]",0,0
110,2022-12-20 15:15:50.849295,5f315855cb8aea6276244c19,100042,None,select_applications,None,100042,None,None
