serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 15:30:20.391641,6047ff03cb24e712c17514b7,,,Login,,,,
2,2022-12-20 15:35:50.786231,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
3,2022-12-20 15:35:57.341661,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
4,2022-12-20 15:35:58.070848,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
5,2022-12-20 15:35:58.626563,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
6,2022-12-20 15:35:59.301100,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
7,2022-12-20 15:35:59.630635,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
8,2022-12-20 15:36:01.919309,6047ff03cb24e712c17514b7,106401,None,select_applications,None,106401,None,None
9,2022-12-20 15:36:04.086989,6047ff03cb24e712c17514b7,106401,None,select_applications,None,106401,None,None
10,2022-12-20 15:36:04.777362,6047ff03cb24e712c17514b7,106401,None,select_applications,None,106401,None,None
11,2022-12-20 15:36:07.721553,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
12,2022-12-20 15:36:49.223667,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
13,2022-12-20 15:36:53.862018,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
14,2022-12-20 15:36:57.674330,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
15,2022-12-20 15:36:59.281853,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
16,2022-12-20 15:37:03.749375,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
17,2022-12-20 15:37:06.470847,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
18,2022-12-20 15:37:15.461202,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
19,2022-12-20 15:37:26.157796,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
20,2022-12-20 15:37:28.054469,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
21,2022-12-20 15:37:31.654923,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
22,2022-12-20 15:37:33.261531,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
23,2022-12-20 15:37:38.287751,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
24,2022-12-20 15:37:40.369892,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
25,2022-12-20 15:37:43.079101,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
26,2022-12-20 15:37:45.234896,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
27,2022-12-20 15:37:47.791933,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
28,2022-12-20 15:37:49.425664,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
29,2022-12-20 15:37:51.292981,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
30,2022-12-20 15:37:53.946876,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
31,2022-12-20 15:37:54.739995,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
32,2022-12-20 15:37:55.752840,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
33,2022-12-20 15:38:01.190832,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
34,2022-12-20 15:38:04.095468,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
35,2022-12-20 15:38:08.173266,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
36,2022-12-20 15:38:11.675215,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
37,2022-12-20 15:38:13.753819,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
38,2022-12-20 15:38:21.663737,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
39,2022-12-20 15:38:25.151048,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
40,2022-12-20 15:38:25.730955,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
41,2022-12-20 15:38:26.787696,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
42,2022-12-20 15:38:28.129952,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
43,2022-12-20 15:38:29.145674,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
44,2022-12-20 15:38:29.960944,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
45,2022-12-20 15:38:31.834621,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
46,2022-12-20 15:38:34.374890,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
47,2022-12-20 15:38:36.305631,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
48,2022-12-20 15:38:39.057669,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
49,2022-12-20 15:38:39.151073,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
50,2022-12-20 15:38:41.859384,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
51,2022-12-20 15:38:43.529446,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
52,2022-12-20 15:38:46.796383,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
53,2022-12-20 15:38:49.294114,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
54,2022-12-20 15:38:57.135371,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
55,2022-12-20 15:38:59.904245,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
56,2022-12-20 15:39:06.272739,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
57,2022-12-20 15:39:08.693048,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
58,2022-12-20 15:39:12.259197,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
59,2022-12-20 15:39:14.577034,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
60,2022-12-20 15:39:18.174737,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
61,2022-12-20 15:39:19.632579,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
62,2022-12-20 15:39:22.509414,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
63,2022-12-20 15:39:24.861055,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
64,2022-12-20 15:39:25.923608,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
65,2022-12-20 15:39:27.296403,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
66,2022-12-20 15:39:28.595497,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
67,2022-12-20 15:39:29.430311,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
68,2022-12-20 15:39:35.927847,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
69,2022-12-20 15:39:39.042998,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
70,2022-12-20 15:39:39.625414,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
71,2022-12-20 15:39:49.438393,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
72,2022-12-20 15:39:54.501631,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
73,2022-12-20 15:39:55.863890,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
74,2022-12-20 15:39:57.405768,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
75,2022-12-20 15:39:58.343664,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
76,2022-12-20 15:39:58.356055,6047ff03cb24e712c17514b7,106647,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0.049'}, {'attribute': '106647_Owns Car', 'value': '0.019'}, {'attribute': '106647_Has Phone', 'value': '0.007'}, {'attribute': '106647_Years in current employment', 'value': '0.049'}, {'attribute': '106647_Has email', 'value': '0.02'}, {'attribute': '106647_Number of Credit Bureau enquiries 1 day before application', 'value': '0.02'}, {'attribute': '106647_Has Work Phone', 'value': '0.005'}, {'attribute': '106647_Mobile reachable', 'value': '0.024'}, {'attribute': '106647_Housing situation', 'value': '0.031'}, {'attribute': '106647_Gender', 'value': '0.048'}, {'attribute': '106647_Work address in Registration city', 'value': '0.051'}, {'attribute': '106647_Age', 'value': '0.04'}, {'attribute': '106647_Years since changing phone', 'value': '0'}, {'attribute': ""106647_Region's Rating"", 'value': '0.02'}, {'attribute': '106647_Loan annuity', 'value': '0.03'}, {'attribute': '106647_Goods Price', 'value': '0.025'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.039'}, {'attribute': '106647_Application Hour', 'value': '0'}, {'attribute': '106647_Income', 'value': '0.067'}, {'attribute': '106647_Accompanied while applying', 'value': '0.036'}, {'attribute': '106647_Number of Credit Bureau enquiries 3 month before application', 'value': '0.013'}, {'attribute': '106647_Contact city in work city', 'value': '0.007'}, {'attribute': '106647_Highest education level', 'value': '0.05'}, {'attribute': '106647_Region & City Rating', 'value': '0.044'}, {'attribute': '106647_Contact city in Registration city', 'value': '0.032'}, {'attribute': '106647_Number of Credit Bureau enquiries 1 hour before application', 'value': '0.014'}, {'attribute': '106647_Number of times social circle defaulted on loan for 60 days', 'value': '0.016'}, {'attribute': '106647_Family status', 'value': '0.038'}, {'attribute': '106647_Number of children', 'value': '0.035'}, {'attribute': '106647_Number of family members', 'value': '0.032'}, {'attribute': '106647_Application Day', 'value': '0'}, {'attribute': '106647_Occupation Type', 'value': '0.029'}, {'attribute': '106647_Loan Credit amount ', 'value': '0.026'}, {'attribute': '106647_Income type', 'value': '0.045'}, {'attribute': '106647_Years since changing  identity document', 'value': '0.005'}]",0,0
77,2022-12-20 15:39:59.387841,6047ff03cb24e712c17514b7,106647,None,select_applications,None,106647,None,None
78,2022-12-20 15:40:17.597562,6047ff03cb24e712c17514b7,0,None,apply_refine_search,Income,>250K,,
79,2022-12-20 15:40:24.435346,6047ff03cb24e712c17514b7,106488,None,select_applications,None,106488,None,None
80,2022-12-20 15:40:43.224958,6047ff03cb24e712c17514b7,0,None,Clicked-on-Causal-Graph-Node,Node Value,Number of family members,None,None
81,2022-12-20 15:40:48.918659,6047ff03cb24e712c17514b7,0,None,Clicked-on-Causal-Graph-Node,Node Value,Application Hour,None,None
82,2022-12-20 15:40:48.922224,6047ff03cb24e712c17514b7,0,None,Clicked-on-Causal-Graph-Node,Node Value,Application Hour,None,None
83,2022-12-20 15:40:48.926077,6047ff03cb24e712c17514b7,0,None,Clicked-on-Causal-Graph-Node,Node Value,Application Hour,None,None
84,2022-12-20 15:41:01.933469,6047ff03cb24e712c17514b7,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '24', 'risk_rate': '50'}",None,None
85,2022-12-20 15:41:21.254298,6047ff03cb24e712c17514b7,0,None,apply_refine_search,Income,>250K,,
86,2022-12-20 15:41:23.398971,6047ff03cb24e712c17514b7,103570,None,select_applications,None,103570,None,None
87,2022-12-20 15:41:24.787328,6047ff03cb24e712c17514b7,103570,None,select_applications,None,103570,None,None
88,2022-12-20 15:41:24.794212,6047ff03cb24e712c17514b7,103570,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0.049'}, {'attribute': '106647_Owns Car', 'value': '0.019'}, {'attribute': '106647_Has Phone', 'value': '0.007'}, {'attribute': '106647_Years in current employment', 'value': '0.049'}, {'attribute': '106647_Has email', 'value': '0.02'}, {'attribute': '106647_Number of Credit Bureau enquiries 1 day before application', 'value': '0.02'}, {'attribute': '106647_Has Work Phone', 'value': '0.005'}, {'attribute': '106647_Mobile reachable', 'value': '0.024'}, {'attribute': '106647_Housing situation', 'value': '0.031'}, {'attribute': '106647_Gender', 'value': '0.048'}, {'attribute': '106647_Work address in Registration city', 'value': '0.051'}, {'attribute': '106647_Age', 'value': '0.04'}, {'attribute': '106647_Years since changing phone', 'value': '0'}, {'attribute': ""106647_Region's Rating"", 'value': '0.02'}, {'attribute': '106647_Loan annuity', 'value': '0.03'}, {'attribute': '106647_Goods Price', 'value': '0.025'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.039'}, {'attribute': '106647_Application Hour', 'value': '0'}, {'attribute': '106647_Income', 'value': '0.067'}, {'attribute': '106647_Accompanied while applying', 'value': '0.036'}, {'attribute': '106647_Number of Credit Bureau enquiries 3 month before application', 'value': '0.013'}, {'attribute': '106647_Contact city in work city', 'value': '0.007'}, {'attribute': '106647_Highest education level', 'value': '0.05'}, {'attribute': '106647_Region & City Rating', 'value': '0.044'}, {'attribute': '106647_Contact city in Registration city', 'value': '0.032'}, {'attribute': '106647_Number of Credit Bureau enquiries 1 hour before application', 'value': '0.014'}, {'attribute': '106647_Number of times social circle defaulted on loan for 60 days', 'value': '0.016'}, {'attribute': '106647_Family status', 'value': '0.038'}, {'attribute': '106647_Number of children', 'value': '0.035'}, {'attribute': '106647_Number of family members', 'value': '0.032'}, {'attribute': '106647_Application Day', 'value': '0'}, {'attribute': '106647_Occupation Type', 'value': '0.029'}, {'attribute': '106647_Loan Credit amount ', 'value': '0.026'}, {'attribute': '106647_Income type', 'value': '0.045'}, {'attribute': '106647_Years since changing  identity document', 'value': '0.005'}]",0,0
89,2022-12-20 15:41:30.407415,6047ff03cb24e712c17514b7,103570,None,select_applications,None,103570,None,None
90,2022-12-20 15:41:47.289288,6047ff03cb24e712c17514b7,0,None,apply_refine_search,Income,>250K,,
91,2022-12-20 15:41:50.288509,6047ff03cb24e712c17514b7,106488,None,select_applications,None,106488,None,None
92,2022-12-20 15:41:55.018024,6047ff03cb24e712c17514b7,106488,None,select_applications,None,106488,None,None
93,2022-12-20 15:41:56.239762,6047ff03cb24e712c17514b7,106488,None,select_applications,None,106488,None,None
94,2022-12-20 15:41:56.247723,6047ff03cb24e712c17514b7,106488,None,select_applications,None,106488,None,None
