serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 16:14:27.342619,606c6e9f7e86c0264ab3d7d8,,,Login,,,,
2,2022-12-20 16:26:24.248960,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
3,2022-12-20 16:27:04.071348,606c6e9f7e86c0264ab3d7d8,106647,None,similar_application,,103840,,
4,2022-12-20 16:27:51.209784,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
5,2022-12-20 16:28:02.623693,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
6,2022-12-20 16:28:11.126545,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
7,2022-12-20 16:28:29.605454,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
8,2022-12-20 16:28:48.526940,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
9,2022-12-20 16:28:55.973639,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
10,2022-12-20 16:28:58.934498,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
11,2022-12-20 16:29:05.413893,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
12,2022-12-20 16:29:12.621698,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
13,2022-12-20 16:29:14.796701,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
14,2022-12-20 16:29:20.789570,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
15,2022-12-20 16:29:25.116927,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
16,2022-12-20 16:29:27.204413,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
17,2022-12-20 16:29:40.132334,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
18,2022-12-20 16:29:48.588712,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
19,2022-12-20 16:29:49.675727,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
20,2022-12-20 16:29:59.684256,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
21,2022-12-20 16:30:03.107757,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
22,2022-12-20 16:30:06.916213,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
23,2022-12-20 16:30:09.386855,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
24,2022-12-20 16:30:11.211799,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
25,2022-12-20 16:30:13.475808,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
26,2022-12-20 16:30:18.787739,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
27,2022-12-20 16:30:21.922278,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
28,2022-12-20 16:30:23.682951,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
29,2022-12-20 16:30:26.954783,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
30,2022-12-20 16:30:29.907802,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
31,2022-12-20 16:30:35.867154,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
32,2022-12-20 16:30:39.242768,606c6e9f7e86c0264ab3d7d8,106647,None,select_applications,None,106647,None,None
