serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:57:27.882383,6088a7e22d5b98ef3f813a22,,,Login,,,,
2,2022-12-20 15:06:21.942661,6088a7e22d5b98ef3f813a22,0,None,apply_refine_search,Age,,,
3,2022-12-20 15:06:36.193680,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
4,2022-12-20 15:07:02.020264,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
5,2022-12-20 15:07:03.003303,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
6,2022-12-20 15:07:21.565694,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
7,2022-12-20 15:07:29.051032,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
8,2022-12-20 15:08:08.295013,6088a7e22d5b98ef3f813a22,0,None,apply_refine_search,Gender,,,
9,2022-12-20 15:08:12.116869,6088a7e22d5b98ef3f813a22,101107,None,select_applications,None,101107,None,None
10,2022-12-20 15:08:18.714478,6088a7e22d5b98ef3f813a22,101107,None,select_applications,None,101107,None,None
11,2022-12-20 15:08:22.711863,6088a7e22d5b98ef3f813a22,101107,None,select_applications,None,101107,None,None
12,2022-12-20 15:08:27.826901,6088a7e22d5b98ef3f813a22,101107,None,select_applications,None,101107,None,None
13,2022-12-20 15:08:27.857119,6088a7e22d5b98ef3f813a22,101107,None,select_applications,None,101107,None,None
14,2022-12-20 15:08:28.078412,6088a7e22d5b98ef3f813a22,101107,None,select_reject_application,unfair,"[{'attribute': '106647_Years in current employment', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0'}]",0,0
15,2022-12-20 15:08:32.265251,6088a7e22d5b98ef3f813a22,101107,None,select_applications,None,101107,None,None
16,2022-12-20 15:08:44.554235,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
17,2022-12-20 15:08:53.555535,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
18,2022-12-20 15:08:55.395753,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
19,2022-12-20 15:08:58.119224,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
20,2022-12-20 15:08:59.987424,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
21,2022-12-20 15:09:01.691106,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
22,2022-12-20 15:09:02.851894,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
23,2022-12-20 15:09:02.850520,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
24,2022-12-20 15:09:02.854376,6088a7e22d5b98ef3f813a22,106647,None,select_reject_application,unfair,"[{'attribute': '106647_Years in current employment', 'value': '0.038'}, {'attribute': '106647_Gender', 'value': '0'}, {'attribute': '106647_Owns Car', 'value': '0'}]",0,0
25,2022-12-20 15:09:05.530479,6088a7e22d5b98ef3f813a22,106647,None,select_applications,None,106647,None,None
26,2022-12-20 15:09:58.191190,6088a7e22d5b98ef3f813a22,103046,None,select_applications,None,103046,None,None
27,2022-12-20 15:10:02.710705,6088a7e22d5b98ef3f813a22,103046,None,select_applications,None,103046,None,None
28,2022-12-20 15:10:04.998808,6088a7e22d5b98ef3f813a22,103046,None,select_applications,None,103046,None,None
29,2022-12-20 15:10:11.139331,6088a7e22d5b98ef3f813a22,103046,None,select_reject_application,unfair,"[{'attribute': '106647_Years in current employment', 'value': '0.038'}, {'attribute': '103046_Gender', 'value': '0'}, {'attribute': '106647_Gender', 'value': '0'}, {'attribute': '106647_Owns Car', 'value': '0'}, {'attribute': '103046_Owns Car', 'value': '0'}]",0,0
30,2022-12-20 15:10:11.144529,6088a7e22d5b98ef3f813a22,103046,None,select_applications,None,103046,None,None
31,2022-12-20 15:10:11.152516,6088a7e22d5b98ef3f813a22,103046,None,select_applications,None,103046,None,None
32,2022-12-20 15:10:22.083436,6088a7e22d5b98ef3f813a22,106401,None,select_applications,None,106401,None,None
33,2022-12-20 15:10:48.270963,6088a7e22d5b98ef3f813a22,106401,None,select_applications,None,106401,None,None
34,2022-12-20 15:10:48.273279,6088a7e22d5b98ef3f813a22,106401,None,select_reject_application,fair,"[{'attribute': '106647_Years in current employment', 'value': '0.038'}, {'attribute': '103046_Gender', 'value': '0'}, {'attribute': '106647_Gender', 'value': '0'}, {'attribute': '106647_Owns Car', 'value': '0'}, {'attribute': '103046_Owns Car', 'value': '0'}]",0,0
