serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:37:52.556237,608aa18a3c2dfd212a1a77a9,,,Login,,,,
2,2022-12-20 14:41:41.964950,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:41:59.884738,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:42:07.549756,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:42:08.250876,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:42:09.171772,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
7,2022-12-20 14:42:09.837849,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
8,2022-12-20 14:42:13.276422,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:42:14.798144,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
10,2022-12-20 14:42:20.635479,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
11,2022-12-20 14:42:25.225047,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
12,2022-12-20 14:42:33.204571,608aa18a3c2dfd212a1a77a9,100001,None,similar_application,,105738,,
13,2022-12-20 14:42:46.644399,608aa18a3c2dfd212a1a77a9,0,None,apply_refine_search,Owns Car,,,
14,2022-12-20 14:42:50.717164,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
15,2022-12-20 14:42:53.529084,608aa18a3c2dfd212a1a77a9,0,None,apply_refine_search,,,,
16,2022-12-20 14:42:57.734094,608aa18a3c2dfd212a1a77a9,0,None,apply_refine_search,,,,
17,2022-12-20 14:42:58.637631,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
18,2022-12-20 14:43:07.060740,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
19,2022-12-20 14:43:07.739689,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
20,2022-12-20 14:43:09.468029,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
21,2022-12-20 14:43:09.798035,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
22,2022-12-20 14:43:11.498048,608aa18a3c2dfd212a1a77a9,106647,None,select_applications,None,106647,None,None
