serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:37:53.487119,608aa72c95a49d6f70deb05e,,,Login,,,,
2,2022-12-20 14:39:38.350337,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:39:49.823525,608aa72c95a49d6f70deb05e,0,None,Clicked-on-Causal-Graph-Node,Node Value,Mobile reachable,None,None
4,2022-12-20 14:40:18.936184,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:40:49.002714,608aa72c95a49d6f70deb05e,106401,None,select_applications,None,106401,None,None
6,2022-12-20 14:40:50.379708,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
7,2022-12-20 14:40:53.185538,608aa72c95a49d6f70deb05e,0,None,apply_refine_search,Owns Car,,,
8,2022-12-20 14:41:01.445307,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:41:07.702736,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
10,2022-12-20 14:41:07.841109,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
11,2022-12-20 14:41:11.101234,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
12,2022-12-20 14:41:21.507104,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
13,2022-12-20 14:41:27.839328,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
14,2022-12-20 14:41:32.180738,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
15,2022-12-20 14:41:34.913657,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
16,2022-12-20 14:41:40.515866,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
17,2022-12-20 14:41:47.442292,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
18,2022-12-20 14:41:51.964225,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
19,2022-12-20 14:41:52.824387,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
20,2022-12-20 14:42:08.496831,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
21,2022-12-20 14:42:11.027924,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
22,2022-12-20 14:42:15.912733,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
23,2022-12-20 14:42:21.184973,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
24,2022-12-20 14:42:24.016262,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
25,2022-12-20 14:42:39.831544,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
26,2022-12-20 14:42:42.807464,608aa72c95a49d6f70deb05e,106647,None,select_applications,None,106647,None,None
