serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:43:44.323906,608ac15b0fd53965a32e5384,,,Login,,,,
2,2022-12-20 14:52:19.037806,608ac15b0fd53965a32e5384,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:52:35.402817,608ac15b0fd53965a32e5384,105760,None,select_applications,None,105760,None,None
4,2022-12-20 14:52:45.399292,608ac15b0fd53965a32e5384,0,None,apply_refine_search,,,,
5,2022-12-20 14:52:50.072816,608ac15b0fd53965a32e5384,0,None,apply_refine_search,Age,,,
6,2022-12-20 14:52:51.697721,608ac15b0fd53965a32e5384,0,None,apply_refine_search,,,,
7,2022-12-20 14:52:54.123192,608ac15b0fd53965a32e5384,0,None,apply_refine_search,Contact address located in Registration region,,,
8,2022-12-20 14:53:48.465376,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
9,2022-12-20 14:53:50.679622,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
10,2022-12-20 14:53:50.875979,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
11,2022-12-20 14:53:50.995149,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
12,2022-12-20 14:53:51.087033,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
13,2022-12-20 14:54:05.405984,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
14,2022-12-20 14:54:05.410640,608ac15b0fd53965a32e5384,101440,None,select_reject_application,unfair,"[{'attribute': '101440_Owns Car', 'value': '0.073'}]",0,0
15,2022-12-20 14:54:06.181459,608ac15b0fd53965a32e5384,101440,None,select_reject_application,fair,"[{'attribute': '101440_Owns Car', 'value': '0.073'}]",0,0
16,2022-12-20 14:54:06.183642,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
17,2022-12-20 14:54:30.775542,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
18,2022-12-20 14:54:31.291384,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
19,2022-12-20 14:54:32.178696,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
20,2022-12-20 14:54:38.623514,608ac15b0fd53965a32e5384,101440,None,select_applications,None,101440,None,None
21,2022-12-20 14:54:51.661675,608ac15b0fd53965a32e5384,101367,None,select_applications,None,101367,None,None
