serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:35:26.110803,60dc5726c777d9a0e550d1ca,,,Login,,,,
2,2022-12-20 14:40:16.558311,60dc5726c777d9a0e550d1ca,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:40:48.513218,60dc5726c777d9a0e550d1ca,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:40:48.520637,60dc5726c777d9a0e550d1ca,106647,None,select_reject_application,fair,[],0,0
5,2022-12-20 14:40:52.557556,60dc5726c777d9a0e550d1ca,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:41:15.980112,60dc5726c777d9a0e550d1ca,106401,None,select_applications,None,106401,None,None
7,2022-12-20 14:41:24.274058,60dc5726c777d9a0e550d1ca,106401,None,select_applications,None,106401,None,None
8,2022-12-20 14:41:24.276872,60dc5726c777d9a0e550d1ca,106401,None,select_applications,None,106401,None,None
9,2022-12-20 14:41:24.442295,60dc5726c777d9a0e550d1ca,106401,None,select_reject_application,fair,[],0,0
10,2022-12-20 14:41:25.271746,60dc5726c777d9a0e550d1ca,106401,None,select_applications,None,106401,None,None
11,2022-12-20 14:41:29.771745,60dc5726c777d9a0e550d1ca,106488,None,select_applications,None,106488,None,None
12,2022-12-20 14:41:56.883734,60dc5726c777d9a0e550d1ca,106488,None,select_applications,None,106488,None,None
13,2022-12-20 14:41:56.885210,60dc5726c777d9a0e550d1ca,106488,None,select_applications,None,106488,None,None
14,2022-12-20 14:41:56.891372,60dc5726c777d9a0e550d1ca,106488,None,select_reject_application,fair,[],0,0
15,2022-12-20 14:41:57.533520,60dc5726c777d9a0e550d1ca,106488,None,select_applications,None,106488,None,None
16,2022-12-20 14:42:15.977197,60dc5726c777d9a0e550d1ca,0,None,Applications_Prediction_Confidence,None,ascend,,
17,2022-12-20 14:42:58.021238,60dc5726c777d9a0e550d1ca,0,None,Applications_Prediction_Confidence,None,ascend,,
18,2022-12-20 14:43:04.339743,60dc5726c777d9a0e550d1ca,106488,None,select_applications,None,106488,None,None
19,2022-12-20 14:43:08.903177,60dc5726c777d9a0e550d1ca,106488,None,select_applications,None,106488,None,None
20,2022-12-20 14:43:09.231263,60dc5726c777d9a0e550d1ca,106488,None,select_applications,None,106488,None,None
21,2022-12-20 14:43:11.063838,60dc5726c777d9a0e550d1ca,106488,None,select_applications,None,106488,None,None
22,2022-12-20 14:43:15.173595,60dc5726c777d9a0e550d1ca,106488,None,select_applications,None,106488,None,None
23,2022-12-20 14:43:15.552754,60dc5726c777d9a0e550d1ca,106488,None,select_applications,None,106488,None,None
24,2022-12-20 14:43:24.484098,60dc5726c777d9a0e550d1ca,0,None,apply_refine_search,Income,,,
25,2022-12-20 14:43:45.790162,60dc5726c777d9a0e550d1ca,0,None,apply_refine_search,Housing situation,With parents,,
26,2022-12-20 14:43:55.461844,60dc5726c777d9a0e550d1ca,102450,None,select_applications,None,102450,None,None
27,2022-12-20 14:43:58.267403,60dc5726c777d9a0e550d1ca,102450,None,select_applications,None,102450,None,None
28,2022-12-20 14:43:58.264827,60dc5726c777d9a0e550d1ca,102450,None,select_applications,None,102450,None,None
29,2022-12-20 14:43:58.438848,60dc5726c777d9a0e550d1ca,102450,None,select_reject_application,fair,[],0,0
30,2022-12-20 14:43:59.551442,60dc5726c777d9a0e550d1ca,102450,None,select_applications,None,102450,None,None
31,2022-12-20 14:43:59.974627,60dc5726c777d9a0e550d1ca,102450,None,select_applications,None,102450,None,None
32,2022-12-20 14:44:01.072659,60dc5726c777d9a0e550d1ca,102450,None,select_applications,None,102450,None,None
33,2022-12-20 14:44:02.726228,60dc5726c777d9a0e550d1ca,102450,None,select_applications,None,102450,None,None
