serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:43:51.172431,60f724fd8ec131e82a00b129,,,Login,,,,
2,2022-12-20 14:47:30.503047,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
3,2022-12-20 14:47:45.714577,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '13', 'risk_rate': '31'}",None,None
4,2022-12-20 14:48:20.294836,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '30', 'risk_rate': '47'}",None,None
5,2022-12-20 14:48:29.758138,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '14', 'risk_rate': '50'}",None,None
6,2022-12-20 14:48:41.118441,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '100'}",None,None
7,2022-12-20 14:48:50.966523,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '17', 'risk_rate': '94'}",None,None
8,2022-12-20 14:49:00.885621,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '15', 'risk_rate': '93'}",None,None
9,2022-12-20 14:49:06.671820,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '23', 'risk_rate': '87'}",None,None
10,2022-12-20 14:49:11.448663,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '91'}",None,None
11,2022-12-20 14:49:18.778404,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '23', 'risk_rate': '91'}",None,None
12,2022-12-20 14:50:07.770643,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '24', 'risk_rate': '92'}",None,None
13,2022-12-20 14:50:14.541411,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '91'}",None,None
14,2022-12-20 14:50:27.710660,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '13', 'risk_rate': '85'}",None,None
15,2022-12-20 14:50:34.676827,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '47', 'risk_rate': '83'}",None,None
16,2022-12-20 14:50:40.990117,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '47', 'risk_rate': '83'}",None,None
17,2022-12-20 14:50:46.372659,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '37', 'risk_rate': '81'}",None,None
18,2022-12-20 14:50:53.626377,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '14', 'risk_rate': '79'}",None,None
19,2022-12-20 14:51:00.691547,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '15', 'risk_rate': '93'}",None,None
20,2022-12-20 14:51:04.603025,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '12', 'risk_rate': '92'}",None,None
21,2022-12-20 14:51:09.662837,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '33', 'risk_rate': '82'}",None,None
22,2022-12-20 14:51:13.669919,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '48', 'risk_rate': '83'}",None,None
23,2022-12-20 14:51:19.671136,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '47', 'risk_rate': '83'}",None,None
24,2022-12-20 14:51:23.923023,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '30', 'risk_rate': '83'}",None,None
25,2022-12-20 14:51:28.992108,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '139', 'risk_rate': '84'}",None,None
26,2022-12-20 14:51:32.534192,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '88', 'risk_rate': '84'}",None,None
27,2022-12-20 14:51:35.213057,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '70', 'risk_rate': '84'}",None,None
28,2022-12-20 14:51:39.312092,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '91', 'risk_rate': '85'}",None,None
29,2022-12-20 14:51:42.354281,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '23', 'risk_rate': '87'}",None,None
30,2022-12-20 14:51:46.473095,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '91'}",None,None
31,2022-12-20 14:51:49.290111,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '23', 'risk_rate': '91'}",None,None
32,2022-12-20 14:51:51.992549,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '24', 'risk_rate': '92'}",None,None
33,2022-12-20 14:52:02.951383,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '145', 'risk_rate': '72'}",None,None
34,2022-12-20 14:52:05.973207,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '77', 'risk_rate': '73'}",None,None
35,2022-12-20 14:52:10.957834,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '73'}",None,None
36,2022-12-20 14:52:13.502920,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '16', 'risk_rate': '75'}",None,None
37,2022-12-20 14:52:22.151360,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '73'}",None,None
38,2022-12-20 14:52:24.991632,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '16', 'risk_rate': '75'}",None,None
39,2022-12-20 14:52:29.030931,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '16', 'risk_rate': '75'}",None,None
40,2022-12-20 14:52:34.391082,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '37', 'risk_rate': '81'}",None,None
41,2022-12-20 14:52:38.682673,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '80'}",None,None
42,2022-12-20 14:52:42.731624,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '14', 'risk_rate': '79'}",None,None
43,2022-12-20 14:52:50.971297,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '14', 'risk_rate': '79'}",None,None
44,2022-12-20 14:52:55.274363,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '23', 'risk_rate': '78'}",None,None
45,2022-12-20 14:52:57.899797,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '26', 'risk_rate': '77'}",None,None
46,2022-12-20 14:53:02.233138,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '26', 'risk_rate': '77'}",None,None
47,2022-12-20 14:53:08.464923,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '25', 'risk_rate': '76'}",None,None
48,2022-12-20 14:53:12.298944,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '17', 'risk_rate': '76'}",None,None
49,2022-12-20 14:53:16.747299,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '75'}",None,None
50,2022-12-20 14:53:20.854628,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '12', 'risk_rate': '75'}",None,None
51,2022-12-20 14:53:25.378304,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '73'}",None,None
52,2022-12-20 14:53:51.079605,60f724fd8ec131e82a00b129,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '12', 'risk_rate': '50'}",None,None
