serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:38:18.533389,60fbdc84b5cf124b05ece11b,,,Login,,,,
2,2022-12-20 14:41:21.319263,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Accompanied while applying,,,
3,2022-12-20 14:41:30.145666,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Age,,,
4,2022-12-20 14:42:16.377157,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Application Day,MONDAY,,
5,2022-12-20 14:42:22.328165,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Contact address located in Registration region,MONDAY,,
6,2022-12-20 14:42:27.102996,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Contact city in work city,MONDAY,,
7,2022-12-20 14:42:30.445202,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Contact city in work city,Same,,
8,2022-12-20 14:42:51.309053,60fbdc84b5cf124b05ece11b,100001,None,select_applications,None,100001,None,None
9,2022-12-20 14:42:57.335193,60fbdc84b5cf124b05ece11b,100001,None,select_applications,None,100001,None,None
10,2022-12-20 14:43:01.402582,60fbdc84b5cf124b05ece11b,100001,None,select_applications,None,100001,None,None
11,2022-12-20 14:43:11.425665,60fbdc84b5cf124b05ece11b,100001,None,select_applications,None,100001,None,None
12,2022-12-20 14:43:16.994927,60fbdc84b5cf124b05ece11b,100001,None,select_applications,None,100001,None,None
13,2022-12-20 14:43:29.612706,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Age,26-40,,
14,2022-12-20 14:43:31.817407,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Age,26-40,,
15,2022-12-20 14:43:34.639219,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
16,2022-12-20 14:43:35.664673,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
17,2022-12-20 14:43:36.775994,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
18,2022-12-20 14:43:38.783932,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
19,2022-12-20 14:43:40.839995,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
20,2022-12-20 14:43:41.839692,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
21,2022-12-20 14:43:42.704165,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
22,2022-12-20 14:43:42.887006,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
23,2022-12-20 14:43:43.560509,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
24,2022-12-20 14:43:48.388138,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
25,2022-12-20 14:43:50.957653,60fbdc84b5cf124b05ece11b,0,None,Applications_Prediction_Confidence,None,ascend,,
26,2022-12-20 14:43:52.407421,60fbdc84b5cf124b05ece11b,100065,None,select_applications,None,100065,None,None
27,2022-12-20 14:44:02.530126,60fbdc84b5cf124b05ece11b,100065,None,similar_application,,105227,,
28,2022-12-20 14:44:05.712005,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Age,18-25,,
29,2022-12-20 14:44:31.154591,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Family status,18-25,,
30,2022-12-20 14:44:34.505252,60fbdc84b5cf124b05ece11b,106401,None,select_applications,None,106401,None,None
31,2022-12-20 14:44:39.473076,60fbdc84b5cf124b05ece11b,106401,None,select_applications,None,106401,None,None
32,2022-12-20 14:44:43.417398,60fbdc84b5cf124b05ece11b,106401,None,select_applications,None,106401,None,None
33,2022-12-20 14:44:46.529155,60fbdc84b5cf124b05ece11b,101367,None,select_applications,None,101367,None,None
34,2022-12-20 14:44:48.411552,60fbdc84b5cf124b05ece11b,106401,None,select_applications,None,106401,None,None
35,2022-12-20 14:44:49.827310,60fbdc84b5cf124b05ece11b,101367,None,select_applications,None,101367,None,None
36,2022-12-20 14:44:50.826572,60fbdc84b5cf124b05ece11b,100241,None,select_applications,None,100241,None,None
37,2022-12-20 14:44:51.632674,60fbdc84b5cf124b05ece11b,105231,None,select_applications,None,105231,None,None
38,2022-12-20 14:44:53.179217,60fbdc84b5cf124b05ece11b,105067,None,select_applications,None,105067,None,None
39,2022-12-20 14:45:12.847630,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Accompanied while applying,Unaccompanied,,
40,2022-12-20 14:45:16.367800,60fbdc84b5cf124b05ece11b,0,None,apply_refine_search,Accompanied while applying,Unaccompanied,,
