serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:36:41.351566,6103ec2bf88328284fd894bc,,,Login,,,,
2,2022-12-20 14:43:48.443034,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
3,2022-12-20 14:43:54.550050,6103ec2bf88328284fd894bc,106401,None,select_applications,None,106401,None,None
4,2022-12-20 14:43:55.265756,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:44:21.389387,6103ec2bf88328284fd894bc,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
6,2022-12-20 14:44:33.972469,6103ec2bf88328284fd894bc,0,None,apply_refine_search,Income,,,
7,2022-12-20 14:44:36.896973,6103ec2bf88328284fd894bc,0,None,apply_refine_search,,,,
8,2022-12-20 14:44:37.736642,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:44:42.309342,6103ec2bf88328284fd894bc,106401,None,select_applications,None,106401,None,None
10,2022-12-20 14:44:43.262273,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
11,2022-12-20 14:44:44.173113,6103ec2bf88328284fd894bc,106401,None,select_applications,None,106401,None,None
12,2022-12-20 14:44:44.883038,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
13,2022-12-20 14:46:06.345600,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
14,2022-12-20 14:46:12.984548,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
15,2022-12-20 14:46:12.985312,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
16,2022-12-20 14:46:12.986046,6103ec2bf88328284fd894bc,106647,None,select_reject_application,fair,[],0,0
17,2022-12-20 14:46:35.812502,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
18,2022-12-20 14:46:46.452642,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
19,2022-12-20 14:46:47.506476,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
20,2022-12-20 14:46:51.359249,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
21,2022-12-20 14:46:54.088674,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
22,2022-12-20 14:47:00.926594,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
23,2022-12-20 14:47:02.171998,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
24,2022-12-20 14:47:09.545355,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
25,2022-12-20 14:47:22.153530,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
26,2022-12-20 14:47:22.808829,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
27,2022-12-20 14:47:24.731020,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
28,2022-12-20 14:47:27.099313,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
29,2022-12-20 14:47:29.033105,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
30,2022-12-20 14:47:30.994671,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
31,2022-12-20 14:47:36.103419,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
32,2022-12-20 14:47:38.101301,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
33,2022-12-20 14:47:48.443982,6103ec2bf88328284fd894bc,106647,None,select_applications,None,106647,None,None
34,2022-12-20 14:47:50.158043,6103ec2bf88328284fd894bc,106401,None,select_applications,None,106401,None,None
35,2022-12-20 14:47:56.059730,6103ec2bf88328284fd894bc,106401,None,select_applications,None,106401,None,None
36,2022-12-20 14:48:02.358328,6103ec2bf88328284fd894bc,106401,None,select_applications,None,106401,None,None
37,2022-12-20 14:48:08.870100,6103ec2bf88328284fd894bc,106261,None,select_applications,None,106261,None,None
38,2022-12-20 14:48:10.072200,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
39,2022-12-20 14:48:13.935364,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
40,2022-12-20 14:48:41.156444,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
41,2022-12-20 14:48:42.018324,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
42,2022-12-20 14:48:46.990404,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
43,2022-12-20 14:48:47.242014,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
44,2022-12-20 14:48:48.616524,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
45,2022-12-20 14:48:48.867554,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
46,2022-12-20 14:48:49.256579,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
47,2022-12-20 14:48:49.698628,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
48,2022-12-20 14:48:54.593671,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
49,2022-12-20 14:48:54.927701,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
50,2022-12-20 14:48:57.427372,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
51,2022-12-20 14:49:09.828912,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
52,2022-12-20 14:49:09.836922,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
53,2022-12-20 14:49:09.884800,6103ec2bf88328284fd894bc,106258,None,select_reject_application,fair,"[{'attribute': '106258_Application Day', 'value': '0.004'}, {'attribute': '106647_Owns Property', 'value': '0.042'}, {'attribute': '106647_Income', 'value': '0.026'}, {'attribute': '106647_Accompanied while applying', 'value': '0.004'}, {'attribute': '106647_Contact city in work city', 'value': '0.007'}, {'attribute': '106647_Owns Car', 'value': '0.042'}, {'attribute': '106647_Years since changing registration', 'value': '0.024'}, {'attribute': '106258_Income', 'value': '0.026'}, {'attribute': '106647_Highest education level', 'value': '0.055'}, {'attribute': '106647_Mobile reachable', 'value': '0.026'}, {'attribute': '106258_Number of children', 'value': '0.033'}, {'attribute': '106647_Number of children', 'value': '0.027'}, {'attribute': '106647_Number of family members', 'value': '0.032'}, {'attribute': '106647_Application Day', 'value': '0.001'}, {'attribute': '106258_Number of family members', 'value': '0.033'}, {'attribute': '106258_Owns Car', 'value': '0.073'}, {'attribute': '106647_Loan Credit amount ', 'value': '0.027'}, {'attribute': '106647_Application Hour', 'value': '0.006'}]",0,0
54,2022-12-20 14:49:12.026094,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
55,2022-12-20 14:49:12.366553,6103ec2bf88328284fd894bc,106258,None,select_applications,None,106258,None,None
56,2022-12-20 14:49:17.677090,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
57,2022-12-20 14:49:28.956403,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
58,2022-12-20 14:49:30.315000,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
59,2022-12-20 14:49:31.003008,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
60,2022-12-20 14:49:31.646421,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
61,2022-12-20 14:49:46.952930,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
62,2022-12-20 14:49:53.264598,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
63,2022-12-20 14:50:03.427047,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
64,2022-12-20 14:50:04.034960,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
65,2022-12-20 14:50:06.750990,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
66,2022-12-20 14:50:08.182499,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
67,2022-12-20 14:50:16.085013,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
68,2022-12-20 14:50:17.422417,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
69,2022-12-20 14:50:18.528590,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
70,2022-12-20 14:50:20.707182,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
71,2022-12-20 14:50:20.705416,6103ec2bf88328284fd894bc,100001,None,select_applications,None,100001,None,None
