serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:37:28.464688,61065060bc55a8b70bc64d05,,,Login,,,,
2,2022-12-20 14:40:30.571699,61065060bc55a8b70bc64d05,0,None,apply_refine_search,Age,,,
3,2022-12-20 14:40:33.661230,61065060bc55a8b70bc64d05,0,None,apply_refine_search,Contact address located in work region,,,
4,2022-12-20 14:40:39.513412,61065060bc55a8b70bc64d05,0,None,apply_refine_search,Contact address located in Registration region,Different,,
5,2022-12-20 14:41:12.493279,61065060bc55a8b70bc64d05,0,None,apply_refine_search,Age,18-25,,
6,2022-12-20 14:41:21.729658,61065060bc55a8b70bc64d05,102092,None,select_applications,None,102092,None,None
7,2022-12-20 14:41:29.965584,61065060bc55a8b70bc64d05,102092,None,select_applications,None,102092,None,None
8,2022-12-20 14:41:34.716974,61065060bc55a8b70bc64d05,102092,None,select_applications,None,102092,None,None
9,2022-12-20 14:41:37.714698,61065060bc55a8b70bc64d05,102092,None,select_applications,None,102092,None,None
10,2022-12-20 14:41:42.629724,61065060bc55a8b70bc64d05,102092,None,select_applications,None,102092,None,None
11,2022-12-20 14:42:07.732254,61065060bc55a8b70bc64d05,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
12,2022-12-20 14:42:11.036230,61065060bc55a8b70bc64d05,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '90', 'risk_rate': '47'}",None,None
13,2022-12-20 14:42:22.538029,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
14,2022-12-20 14:42:25.257676,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
15,2022-12-20 14:42:25.261367,61065060bc55a8b70bc64d05,106647,None,select_reject_application,fair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
16,2022-12-20 14:42:25.631308,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
17,2022-12-20 14:42:25.635359,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
18,2022-12-20 14:42:25.637533,61065060bc55a8b70bc64d05,106647,None,select_reject_application,unfair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
19,2022-12-20 14:42:28.767798,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
20,2022-12-20 14:42:28.766944,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
21,2022-12-20 14:42:28.771124,61065060bc55a8b70bc64d05,106647,None,select_reject_application,fair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
22,2022-12-20 14:42:39.047796,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
23,2022-12-20 14:42:39.048838,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
24,2022-12-20 14:42:39.050819,61065060bc55a8b70bc64d05,106647,None,select_reject_application,unfair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
25,2022-12-20 14:42:53.703157,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
26,2022-12-20 14:42:53.704416,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
27,2022-12-20 14:42:53.707516,61065060bc55a8b70bc64d05,106647,None,select_reject_application,fair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
28,2022-12-20 14:42:56.651951,61065060bc55a8b70bc64d05,106647,None,select_applications,None,106647,None,None
29,2022-12-20 14:43:09.511038,61065060bc55a8b70bc64d05,106401,None,select_applications,None,106401,None,None
30,2022-12-20 14:43:18.376134,61065060bc55a8b70bc64d05,106401,None,select_applications,None,106401,None,None
31,2022-12-20 14:43:18.375175,61065060bc55a8b70bc64d05,106401,None,select_applications,None,106401,None,None
32,2022-12-20 14:43:18.380613,61065060bc55a8b70bc64d05,106401,None,select_reject_application,fair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
33,2022-12-20 14:43:19.861813,61065060bc55a8b70bc64d05,106401,None,select_applications,None,106401,None,None
34,2022-12-20 14:43:36.374991,61065060bc55a8b70bc64d05,0,None,Applications_Prediction_Confidence,None,ascend,,
35,2022-12-20 14:43:52.134986,61065060bc55a8b70bc64d05,100001,None,select_applications,None,100001,None,None
36,2022-12-20 14:43:53.913262,61065060bc55a8b70bc64d05,100001,None,select_reject_application,fair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
37,2022-12-20 14:43:53.915061,61065060bc55a8b70bc64d05,100001,None,select_applications,None,100001,None,None
38,2022-12-20 14:43:58.540922,61065060bc55a8b70bc64d05,100001,None,select_applications,None,100001,None,None
39,2022-12-20 14:44:07.349684,61065060bc55a8b70bc64d05,100013,None,select_applications,None,100013,None,None
40,2022-12-20 14:44:09.070765,61065060bc55a8b70bc64d05,100013,None,select_applications,None,100013,None,None
41,2022-12-20 14:44:09.072987,61065060bc55a8b70bc64d05,100013,None,select_applications,None,100013,None,None
42,2022-12-20 14:44:09.077117,61065060bc55a8b70bc64d05,100013,None,select_reject_application,fair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
43,2022-12-20 14:44:10.710137,61065060bc55a8b70bc64d05,100013,None,select_applications,None,100013,None,None
44,2022-12-20 14:44:34.998549,61065060bc55a8b70bc64d05,100005,None,select_applications,None,100005,None,None
45,2022-12-20 14:44:39.985067,61065060bc55a8b70bc64d05,100005,None,select_applications,None,100005,None,None
46,2022-12-20 14:44:39.986485,61065060bc55a8b70bc64d05,100005,None,select_reject_application,unfair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
47,2022-12-20 14:44:49.291015,61065060bc55a8b70bc64d05,100005,None,select_applications,None,100005,None,None
48,2022-12-20 14:44:49.292628,61065060bc55a8b70bc64d05,100005,None,select_applications,None,100005,None,None
49,2022-12-20 14:44:49.297198,61065060bc55a8b70bc64d05,100005,None,select_reject_application,fair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
50,2022-12-20 14:44:51.212605,61065060bc55a8b70bc64d05,100005,None,select_applications,None,100005,None,None
51,2022-12-20 14:44:51.220408,61065060bc55a8b70bc64d05,100005,None,select_reject_application,unfair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
52,2022-12-20 14:44:56.958422,61065060bc55a8b70bc64d05,100005,None,select_applications,None,100005,None,None
53,2022-12-20 14:44:56.961864,61065060bc55a8b70bc64d05,100005,None,select_reject_application,fair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
54,2022-12-20 14:44:57.833698,61065060bc55a8b70bc64d05,100005,None,select_applications,None,100005,None,None
55,2022-12-20 14:45:00.714445,61065060bc55a8b70bc64d05,100028,None,select_applications,None,100028,None,None
56,2022-12-20 14:45:02.124769,61065060bc55a8b70bc64d05,100028,None,select_applications,None,100028,None,None
57,2022-12-20 14:45:02.127745,61065060bc55a8b70bc64d05,100028,None,select_applications,None,100028,None,None
58,2022-12-20 14:45:02.131676,61065060bc55a8b70bc64d05,100028,None,select_reject_application,fair,"[{'attribute': '102092_Owns Car', 'value': '0.024'}, {'attribute': '102092_Highest education level', 'value': '0.046'}, {'attribute': '102092_Gender', 'value': '0'}]",0,0
59,2022-12-20 14:45:03.390538,61065060bc55a8b70bc64d05,100028,None,select_applications,None,100028,None,None
60,2022-12-20 14:45:10.145993,61065060bc55a8b70bc64d05,100038,None,select_applications,None,100038,None,None
61,2022-12-20 14:45:29.660230,61065060bc55a8b70bc64d05,100038,None,select_applications,None,100038,None,None
