serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:37:58.771857,61138add299713969a18677d,,,Login,,,,
2,2022-12-20 14:41:48.756213,61138add299713969a18677d,100038,None,select_applications,None,100038,None,None
3,2022-12-20 14:41:53.778847,61138add299713969a18677d,100038,None,select_applications,None,100038,None,None
4,2022-12-20 14:41:56.974722,61138add299713969a18677d,100001,None,select_applications,None,100001,None,None
5,2022-12-20 14:42:07.460803,61138add299713969a18677d,100001,None,select_applications,None,100001,None,None
6,2022-12-20 14:42:09.050804,61138add299713969a18677d,100001,None,select_applications,None,100001,None,None
7,2022-12-20 14:42:11.408601,61138add299713969a18677d,100001,None,select_applications,None,100001,None,None
8,2022-12-20 14:42:14.253850,61138add299713969a18677d,100001,None,select_applications,None,100001,None,None
9,2022-12-20 14:42:14.452463,61138add299713969a18677d,100001,None,select_applications,None,100001,None,None
10,2022-12-20 14:42:14.648679,61138add299713969a18677d,100001,None,select_reject_application,fair,[],0,0
11,2022-12-20 14:42:18.777722,61138add299713969a18677d,100001,None,select_applications,None,100001,None,None
12,2022-12-20 14:42:23.763196,61138add299713969a18677d,100001,None,select_applications,None,100001,None,None
13,2022-12-20 14:42:28.316280,61138add299713969a18677d,100001,None,select_applications,None,100001,None,None
14,2022-12-20 14:42:37.566535,61138add299713969a18677d,100005,None,select_applications,None,100005,None,None
15,2022-12-20 14:42:44.853488,61138add299713969a18677d,100005,None,select_applications,None,100005,None,None
16,2022-12-20 14:42:44.860418,61138add299713969a18677d,100005,None,select_reject_application,fair,[],0,0
17,2022-12-20 14:42:49.816400,61138add299713969a18677d,100005,None,select_applications,None,100005,None,None
18,2022-12-20 14:43:18.918666,61138add299713969a18677d,100013,None,select_applications,None,100013,None,None
19,2022-12-20 14:43:22.318590,61138add299713969a18677d,100013,None,select_applications,None,100013,None,None
20,2022-12-20 14:43:22.663950,61138add299713969a18677d,100013,None,select_reject_application,fair,[],0,0
21,2022-12-20 14:43:28.103235,61138add299713969a18677d,100013,None,select_applications,None,100013,None,None
22,2022-12-20 14:43:41.767195,61138add299713969a18677d,100028,None,select_applications,None,100028,None,None
23,2022-12-20 14:43:46.197363,61138add299713969a18677d,100028,None,select_applications,None,100028,None,None
24,2022-12-20 14:43:46.199729,61138add299713969a18677d,100028,None,select_applications,None,100028,None,None
25,2022-12-20 14:43:46.254294,61138add299713969a18677d,100028,None,select_reject_application,fair,[],0,0
26,2022-12-20 14:43:52.268580,61138add299713969a18677d,100028,None,select_applications,None,100028,None,None
27,2022-12-20 14:43:59.173927,61138add299713969a18677d,100038,None,select_applications,None,100038,None,None
28,2022-12-20 14:44:21.214755,61138add299713969a18677d,100038,None,select_applications,None,100038,None,None
29,2022-12-20 14:44:21.222403,61138add299713969a18677d,100038,None,select_reject_application,unfair,[],0,0
30,2022-12-20 14:44:24.897256,61138add299713969a18677d,100038,None,select_applications,None,100038,None,None
31,2022-12-20 14:44:37.403422,61138add299713969a18677d,100042,None,select_applications,None,100042,None,None
32,2022-12-20 14:45:10.502491,61138add299713969a18677d,100042,None,select_applications,None,100042,None,None
33,2022-12-20 14:45:10.505687,61138add299713969a18677d,100042,None,select_applications,None,100042,None,None
34,2022-12-20 14:45:10.744385,61138add299713969a18677d,100042,None,select_reject_application,fair,[],0,0
35,2022-12-20 14:45:14.910988,61138add299713969a18677d,100042,None,select_applications,None,100042,None,None
36,2022-12-20 14:45:28.594662,61138add299713969a18677d,100057,None,select_applications,None,100057,None,None
37,2022-12-20 14:46:24.972503,61138add299713969a18677d,100057,None,select_applications,None,100057,None,None
38,2022-12-20 14:46:24.976626,61138add299713969a18677d,100057,None,select_reject_application,unfair,[],0,0
39,2022-12-20 14:46:28.779595,61138add299713969a18677d,100057,None,select_applications,None,100057,None,None
40,2022-12-20 14:47:02.841672,61138add299713969a18677d,100065,None,select_applications,None,100065,None,None
41,2022-12-20 14:47:49.697516,61138add299713969a18677d,100065,None,select_applications,None,100065,None,None
42,2022-12-20 14:48:03.133386,61138add299713969a18677d,100065,None,select_applications,None,100065,None,None
43,2022-12-20 14:48:05.673667,61138add299713969a18677d,100065,None,select_applications,None,100065,None,None
44,2022-12-20 14:48:05.873099,61138add299713969a18677d,100065,None,select_reject_application,fair,[],0,0
45,2022-12-20 14:48:12.079307,61138add299713969a18677d,100065,None,select_applications,None,100065,None,None
46,2022-12-20 14:48:23.752561,61138add299713969a18677d,100066,None,select_applications,None,100066,None,None
47,2022-12-20 14:48:51.814501,61138add299713969a18677d,100066,None,select_applications,None,100066,None,None
48,2022-12-20 14:48:51.818742,61138add299713969a18677d,100066,None,select_reject_application,fair,[],0,0
49,2022-12-20 14:48:54.817109,61138add299713969a18677d,100066,None,select_applications,None,100066,None,None
50,2022-12-20 14:49:08.514085,61138add299713969a18677d,100067,None,select_applications,None,100067,None,None
51,2022-12-20 14:49:42.195523,61138add299713969a18677d,100067,None,select_applications,None,100067,None,None
52,2022-12-20 14:49:42.201238,61138add299713969a18677d,100067,None,select_reject_application,unfair,[],0,0
53,2022-12-20 14:49:46.437133,61138add299713969a18677d,100067,None,select_applications,None,100067,None,None
54,2022-12-20 14:49:58.584694,61138add299713969a18677d,100074,None,select_applications,None,100074,None,None
55,2022-12-20 14:50:21.419126,61138add299713969a18677d,100074,None,select_applications,None,100074,None,None
56,2022-12-20 14:50:21.424788,61138add299713969a18677d,100074,None,select_reject_application,unfair,[],0,0
57,2022-12-20 14:50:29.195420,61138add299713969a18677d,100074,None,select_applications,None,100074,None,None
58,2022-12-20 14:50:42.611279,61138add299713969a18677d,100090,None,select_applications,None,100090,None,None
59,2022-12-20 14:50:58.393444,61138add299713969a18677d,100090,None,select_applications,None,100090,None,None
60,2022-12-20 14:50:58.409153,61138add299713969a18677d,100090,None,select_reject_application,unfair,[],0,0
61,2022-12-20 14:51:07.741262,61138add299713969a18677d,100090,None,select_applications,None,100090,None,None
62,2022-12-20 14:51:26.575768,61138add299713969a18677d,100091,None,select_applications,None,100091,None,None
63,2022-12-20 14:52:28.434230,61138add299713969a18677d,100091,None,select_applications,None,100091,None,None
64,2022-12-20 14:52:28.438246,61138add299713969a18677d,100091,None,select_applications,None,100091,None,None
65,2022-12-20 14:52:28.592205,61138add299713969a18677d,100091,None,select_reject_application,fair,[],0,0
66,2022-12-20 14:52:33.483048,61138add299713969a18677d,100091,None,select_applications,None,100091,None,None
67,2022-12-20 14:52:49.713901,61138add299713969a18677d,100092,None,select_applications,None,100092,None,None
68,2022-12-20 14:52:58.633648,61138add299713969a18677d,100092,None,select_applications,None,100092,None,None
69,2022-12-20 14:52:58.637179,61138add299713969a18677d,100092,None,select_applications,None,100092,None,None
70,2022-12-20 14:52:58.642699,61138add299713969a18677d,100092,None,select_reject_application,fair,[],0,0
71,2022-12-20 14:53:23.893774,61138add299713969a18677d,100092,None,select_applications,None,100092,None,None
72,2022-12-20 14:53:23.899169,61138add299713969a18677d,100092,None,select_reject_application,unfair,[],0,0
73,2022-12-20 14:53:29.404041,61138add299713969a18677d,100092,None,select_applications,None,100092,None,None
74,2022-12-20 14:53:46.775382,61138add299713969a18677d,100106,None,select_applications,None,100106,None,None
75,2022-12-20 14:54:20.136179,61138add299713969a18677d,100106,None,select_applications,None,100106,None,None
76,2022-12-20 14:54:20.820544,61138add299713969a18677d,100106,None,select_applications,None,100106,None,None
77,2022-12-20 14:54:22.981285,61138add299713969a18677d,100106,None,select_applications,None,100106,None,None
78,2022-12-20 14:54:23.002920,61138add299713969a18677d,100106,None,select_reject_application,unfair,[],0,0
79,2022-12-20 14:54:29.409761,61138add299713969a18677d,100106,None,select_applications,None,100106,None,None
80,2022-12-20 14:54:42.781403,61138add299713969a18677d,100107,None,select_applications,None,100107,None,None
81,2022-12-20 14:55:15.217535,61138add299713969a18677d,100107,None,select_applications,None,100107,None,None
82,2022-12-20 14:55:15.235203,61138add299713969a18677d,100107,None,select_applications,None,100107,None,None
83,2022-12-20 14:55:15.237521,61138add299713969a18677d,100107,None,select_reject_application,fair,[],0,0
84,2022-12-20 14:55:19.924027,61138add299713969a18677d,100107,None,select_applications,None,100107,None,None
85,2022-12-20 14:55:32.772535,61138add299713969a18677d,100109,None,select_applications,None,100109,None,None
86,2022-12-20 14:56:04.693394,61138add299713969a18677d,100109,None,select_applications,None,100109,None,None
87,2022-12-20 14:56:04.701660,61138add299713969a18677d,100109,None,select_reject_application,fair,[],0,0
88,2022-12-20 14:56:09.380822,61138add299713969a18677d,100109,None,select_applications,None,100109,None,None
89,2022-12-20 14:56:25.814180,61138add299713969a18677d,100117,None,select_applications,None,100117,None,None
90,2022-12-20 14:56:45.736410,61138add299713969a18677d,100117,None,select_applications,None,100117,None,None
91,2022-12-20 14:56:45.739874,61138add299713969a18677d,100117,None,select_reject_application,unfair,[],0,0
92,2022-12-20 14:56:57.179914,61138add299713969a18677d,100117,None,select_applications,None,100117,None,None
93,2022-12-20 14:57:13.751832,61138add299713969a18677d,100128,None,select_applications,None,100128,None,None
94,2022-12-20 14:57:49.785274,61138add299713969a18677d,100128,None,select_applications,None,100128,None,None
95,2022-12-20 14:57:49.791483,61138add299713969a18677d,100128,None,select_applications,None,100128,None,None
96,2022-12-20 14:57:49.804005,61138add299713969a18677d,100128,None,select_reject_application,unfair,[],0,0
97,2022-12-20 14:57:56.445056,61138add299713969a18677d,100128,None,select_applications,None,100128,None,None
98,2022-12-20 14:58:12.282623,61138add299713969a18677d,100141,None,select_applications,None,100141,None,None
99,2022-12-20 14:58:36.953785,61138add299713969a18677d,100141,None,select_applications,None,100141,None,None
100,2022-12-20 14:58:37.026382,61138add299713969a18677d,100141,None,select_applications,None,100141,None,None
101,2022-12-20 14:58:37.033653,61138add299713969a18677d,100141,None,select_reject_application,fair,[],0,0
102,2022-12-20 14:58:41.117103,61138add299713969a18677d,100141,None,select_applications,None,100141,None,None
103,2022-12-20 14:58:55.831525,61138add299713969a18677d,100150,None,select_applications,None,100150,None,None
104,2022-12-20 14:59:15.874923,61138add299713969a18677d,100150,None,select_applications,None,100150,None,None
105,2022-12-20 14:59:15.953559,61138add299713969a18677d,100150,None,select_reject_application,fair,[],0,0
106,2022-12-20 14:59:20.517672,61138add299713969a18677d,100150,None,select_applications,None,100150,None,None
107,2022-12-20 14:59:34.720420,61138add299713969a18677d,100168,None,select_applications,None,100168,None,None
108,2022-12-20 14:59:50.180257,61138add299713969a18677d,100168,None,select_applications,None,100168,None,None
109,2022-12-20 14:59:50.186274,61138add299713969a18677d,100168,None,select_reject_application,fair,[],0,0
110,2022-12-20 14:59:53.956679,61138add299713969a18677d,100168,None,select_applications,None,100168,None,None
111,2022-12-20 15:00:23.333073,61138add299713969a18677d,100169,None,select_applications,None,100169,None,None
112,2022-12-20 15:00:26.800032,61138add299713969a18677d,100169,None,select_applications,None,100169,None,None
113,2022-12-20 15:00:26.805528,61138add299713969a18677d,100169,None,select_reject_application,fair,[],0,0
114,2022-12-20 15:00:30.241493,61138add299713969a18677d,100169,None,select_applications,None,100169,None,None
115,2022-12-20 15:00:30.295909,61138add299713969a18677d,100169,None,select_reject_application,unfair,[],0,0
116,2022-12-20 15:00:38.441282,61138add299713969a18677d,100169,None,select_applications,None,100169,None,None
