serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:37:43.446383,6131460946d0022f68082db6,,,Login,,,,
2,2022-12-20 14:37:43.674070,6131460946d0022f68082db6,,,Login,,,,
3,2022-12-20 14:44:11.555872,6131460946d0022f68082db6,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:44:30.200787,6131460946d0022f68082db6,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:44:58.513961,6131460946d0022f68082db6,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:45:00.465067,6131460946d0022f68082db6,106647,None,select_applications,None,106647,None,None
7,2022-12-20 14:45:03.949397,6131460946d0022f68082db6,106647,None,select_applications,None,106647,None,None
8,2022-12-20 14:45:05.349788,6131460946d0022f68082db6,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:45:08.659324,6131460946d0022f68082db6,106647,None,select_applications,None,106647,None,None
10,2022-12-20 14:45:08.663852,6131460946d0022f68082db6,106647,None,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}]",0,0
11,2022-12-20 14:45:12.079351,6131460946d0022f68082db6,106647,None,select_applications,None,106647,None,None
12,2022-12-20 14:45:13.594763,6131460946d0022f68082db6,106647,None,select_applications,None,106647,None,None
13,2022-12-20 14:45:24.189809,6131460946d0022f68082db6,106647,None,select_applications,None,106647,None,None
14,2022-12-20 14:45:38.704404,6131460946d0022f68082db6,106401,None,select_applications,None,106401,None,None
15,2022-12-20 14:45:53.960840,6131460946d0022f68082db6,106401,None,select_applications,None,106401,None,None
16,2022-12-20 14:46:12.812632,6131460946d0022f68082db6,106401,None,select_applications,None,106401,None,None
17,2022-12-20 14:46:19.767729,6131460946d0022f68082db6,106401,None,select_applications,None,106401,None,None
18,2022-12-20 14:47:00.164435,6131460946d0022f68082db6,106401,None,select_applications,None,106401,None,None
19,2022-12-20 14:47:00.638492,6131460946d0022f68082db6,106401,None,select_applications,None,106401,None,None
20,2022-12-20 14:47:01.350944,6131460946d0022f68082db6,106401,None,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}, {'attribute': '106401_Has Work Phone', 'value': '0.005'}, {'attribute': '106401_Occupation Type', 'value': '0.027'}]",0,0
21,2022-12-20 14:47:04.055790,6131460946d0022f68082db6,106401,None,select_applications,None,106401,None,None
22,2022-12-20 14:47:25.039001,6131460946d0022f68082db6,106488,None,select_applications,None,106488,None,None
23,2022-12-20 14:47:33.773441,6131460946d0022f68082db6,106488,None,select_applications,None,106488,None,None
24,2022-12-20 14:47:53.870514,6131460946d0022f68082db6,106488,None,select_applications,None,106488,None,None
25,2022-12-20 14:47:53.907507,6131460946d0022f68082db6,106488,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}, {'attribute': '106401_Has Work Phone', 'value': '0.005'}, {'attribute': '106401_Occupation Type', 'value': '0.027'}]",0,0
26,2022-12-20 14:47:59.265678,6131460946d0022f68082db6,106488,None,select_applications,None,106488,None,None
27,2022-12-20 14:48:10.453908,6131460946d0022f68082db6,101367,None,select_applications,None,101367,None,None
28,2022-12-20 14:49:04.325025,6131460946d0022f68082db6,101367,None,select_applications,None,101367,None,None
29,2022-12-20 14:49:04.345454,6131460946d0022f68082db6,101367,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}, {'attribute': '106401_Has Work Phone', 'value': '0.005'}, {'attribute': '106401_Occupation Type', 'value': '0.027'}]",0,0
30,2022-12-20 14:49:07.995857,6131460946d0022f68082db6,101367,None,select_applications,None,101367,None,None
31,2022-12-20 14:49:27.036633,6131460946d0022f68082db6,0,None,apply_refine_search,Highest education level,,,
32,2022-12-20 14:49:31.625305,6131460946d0022f68082db6,0,None,apply_refine_search,,,,
33,2022-12-20 14:49:36.583704,6131460946d0022f68082db6,100241,None,select_applications,None,100241,None,None
34,2022-12-20 14:49:56.019940,6131460946d0022f68082db6,100241,None,select_applications,None,100241,None,None
35,2022-12-20 14:49:57.013569,6131460946d0022f68082db6,100241,None,select_applications,None,100241,None,None
36,2022-12-20 14:50:21.955065,6131460946d0022f68082db6,100241,None,select_applications,None,100241,None,None
37,2022-12-20 14:50:21.959545,6131460946d0022f68082db6,100241,None,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}, {'attribute': '106401_Has Work Phone', 'value': '0.005'}, {'attribute': '106401_Occupation Type', 'value': '0.027'}, {'attribute': '100241_Number of children', 'value': '0.034'}]",0,0
38,2022-12-20 14:50:23.964493,6131460946d0022f68082db6,100241,None,select_applications,None,100241,None,None
39,2022-12-20 14:50:39.818204,6131460946d0022f68082db6,106802,None,select_applications,None,106802,None,None
40,2022-12-20 14:51:16.695144,6131460946d0022f68082db6,106802,None,select_applications,None,106802,None,None
41,2022-12-20 14:51:28.103720,6131460946d0022f68082db6,106802,None,select_applications,None,106802,None,None
42,2022-12-20 14:51:37.375014,6131460946d0022f68082db6,106802,None,select_applications,None,106802,None,None
43,2022-12-20 14:51:38.173069,6131460946d0022f68082db6,106802,None,select_applications,None,106802,None,None
44,2022-12-20 14:51:38.278524,6131460946d0022f68082db6,106802,None,select_applications,None,106802,None,None
45,2022-12-20 14:51:38.292552,6131460946d0022f68082db6,106802,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}, {'attribute': '106401_Has Work Phone', 'value': '0.005'}, {'attribute': '106401_Occupation Type', 'value': '0.027'}, {'attribute': '100241_Number of children', 'value': '0.034'}]",0,0
46,2022-12-20 14:51:41.511246,6131460946d0022f68082db6,106802,None,select_applications,None,106802,None,None
47,2022-12-20 14:51:48.386321,6131460946d0022f68082db6,105035,None,select_applications,None,105035,None,None
48,2022-12-20 14:52:33.286198,6131460946d0022f68082db6,105035,None,select_applications,None,105035,None,None
49,2022-12-20 14:52:33.288025,6131460946d0022f68082db6,105035,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}, {'attribute': '106401_Has Work Phone', 'value': '0.005'}, {'attribute': '106401_Occupation Type', 'value': '0.027'}, {'attribute': '100241_Number of children', 'value': '0.034'}]",0,0
50,2022-12-20 14:52:34.220264,6131460946d0022f68082db6,105035,None,select_applications,None,105035,None,None
51,2022-12-20 14:52:34.237053,6131460946d0022f68082db6,105035,None,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}, {'attribute': '106401_Has Work Phone', 'value': '0.005'}, {'attribute': '106401_Occupation Type', 'value': '0.027'}, {'attribute': '100241_Number of children', 'value': '0.034'}]",0,0
52,2022-12-20 14:52:36.648624,6131460946d0022f68082db6,105035,None,select_applications,None,105035,None,None
53,2022-12-20 14:52:43.971125,6131460946d0022f68082db6,104860,None,select_applications,None,104860,None,None
54,2022-12-20 14:52:59.894869,6131460946d0022f68082db6,104860,None,select_applications,None,104860,None,None
55,2022-12-20 14:52:59.896769,6131460946d0022f68082db6,104860,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}, {'attribute': '106401_Has Work Phone', 'value': '0.005'}, {'attribute': '106401_Occupation Type', 'value': '0.027'}, {'attribute': '100241_Number of children', 'value': '0.034'}]",0,0
56,2022-12-20 14:53:02.500048,6131460946d0022f68082db6,104860,None,select_applications,None,104860,None,None
57,2022-12-20 14:53:08.470238,6131460946d0022f68082db6,103570,None,select_applications,None,103570,None,None
58,2022-12-20 14:53:43.659061,6131460946d0022f68082db6,103570,None,select_applications,None,103570,None,None
59,2022-12-20 14:53:43.661773,6131460946d0022f68082db6,103570,None,select_reject_application,unfair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}, {'attribute': '106401_Has Work Phone', 'value': '0.005'}, {'attribute': '106401_Occupation Type', 'value': '0.027'}, {'attribute': '100241_Number of children', 'value': '0.034'}]",0,0
60,2022-12-20 14:53:46.055268,6131460946d0022f68082db6,103570,None,select_applications,None,103570,None,None
61,2022-12-20 14:53:52.475324,6131460946d0022f68082db6,100445,None,select_applications,None,100445,None,None
62,2022-12-20 14:54:34.574544,6131460946d0022f68082db6,100445,None,select_applications,None,100445,None,None
63,2022-12-20 14:54:34.576729,6131460946d0022f68082db6,100445,None,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.046'}, {'attribute': '106401_Has Work Phone', 'value': '0.005'}, {'attribute': '106401_Occupation Type', 'value': '0.027'}, {'attribute': '100241_Number of children', 'value': '0.034'}]",0,0
64,2022-12-20 14:54:36.179923,6131460946d0022f68082db6,100445,None,select_applications,None,100445,None,None
65,2022-12-20 14:54:43.024945,6131460946d0022f68082db6,100278,None,select_applications,None,100278,None,None
66,2022-12-20 14:54:54.734575,6131460946d0022f68082db6,100278,None,select_applications,None,100278,None,None
67,2022-12-20 14:55:02.055213,6131460946d0022f68082db6,100278,None,select_applications,None,100278,None,None
