serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:40:51.230838,61320a26c3013321c8d54600,,,Login,,,,
2,2022-12-20 14:43:12.983697,61320a26c3013321c8d54600,0,None,apply_refine_search,Age,26-40,,
3,2022-12-20 14:43:20.134754,61320a26c3013321c8d54600,106647,None,select_applications,None,106647,None,None
4,2022-12-20 14:43:40.711617,61320a26c3013321c8d54600,106647,None,select_applications,None,106647,None,None
5,2022-12-20 14:43:55.210869,61320a26c3013321c8d54600,106647,None,select_applications,None,106647,None,None
6,2022-12-20 14:43:57.934043,61320a26c3013321c8d54600,106647,None,select_reject_application,fair,[],0,0
7,2022-12-20 14:43:57.938456,61320a26c3013321c8d54600,106647,None,select_applications,None,106647,None,None
8,2022-12-20 14:44:07.049146,61320a26c3013321c8d54600,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:44:08.645271,61320a26c3013321c8d54600,106647,None,select_applications,None,106647,None,None
10,2022-12-20 14:44:17.103511,61320a26c3013321c8d54600,106401,None,select_applications,None,106401,None,None
11,2022-12-20 14:44:51.437385,61320a26c3013321c8d54600,106401,None,select_applications,None,106401,None,None
12,2022-12-20 14:45:00.254153,61320a26c3013321c8d54600,106401,None,select_applications,None,106401,None,None
13,2022-12-20 14:45:02.282116,61320a26c3013321c8d54600,106401,None,select_applications,None,106401,None,None
14,2022-12-20 14:45:02.290572,61320a26c3013321c8d54600,106401,None,select_applications,None,106401,None,None
15,2022-12-20 14:45:02.471951,61320a26c3013321c8d54600,106401,None,select_reject_application,fair,[],0,0
16,2022-12-20 14:45:03.808747,61320a26c3013321c8d54600,106401,None,select_applications,None,106401,None,None
17,2022-12-20 14:45:25.727546,61320a26c3013321c8d54600,106401,None,select_applications,None,106401,None,None
18,2022-12-20 14:45:30.059216,61320a26c3013321c8d54600,106401,None,select_applications,None,106401,None,None
19,2022-12-20 14:45:31.501073,61320a26c3013321c8d54600,106401,None,select_applications,None,106401,None,None
20,2022-12-20 14:47:37.621309,61320a26c3013321c8d54600,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '24', 'risk_rate': '50'}",None,None
21,2022-12-20 14:48:02.714762,61320a26c3013321c8d54600,106488,None,select_applications,None,106488,None,None
22,2022-12-20 14:48:12.815692,61320a26c3013321c8d54600,106488,None,select_applications,None,106488,None,None
23,2022-12-20 14:48:12.837258,61320a26c3013321c8d54600,106488,None,select_reject_application,fair,[],0,0
24,2022-12-20 14:48:13.987312,61320a26c3013321c8d54600,106488,None,select_applications,None,106488,None,None
25,2022-12-20 14:48:18.810010,61320a26c3013321c8d54600,106488,None,select_applications,None,106488,None,None
26,2022-12-20 14:48:22.518341,61320a26c3013321c8d54600,106488,None,select_applications,None,106488,None,None
27,2022-12-20 14:48:30.932850,61320a26c3013321c8d54600,101367,None,select_applications,None,101367,None,None
28,2022-12-20 14:48:50.556858,61320a26c3013321c8d54600,101367,None,select_applications,None,101367,None,None
29,2022-12-20 14:48:50.589363,61320a26c3013321c8d54600,101367,None,select_reject_application,fair,[],0,0
30,2022-12-20 14:48:52.879041,61320a26c3013321c8d54600,101367,None,select_applications,None,101367,None,None
31,2022-12-20 14:48:58.715720,61320a26c3013321c8d54600,100241,None,select_applications,None,100241,None,None
32,2022-12-20 14:49:03.996967,61320a26c3013321c8d54600,100241,None,select_applications,None,100241,None,None
33,2022-12-20 14:49:04.002154,61320a26c3013321c8d54600,100241,None,select_reject_application,fair,[],0,0
34,2022-12-20 14:49:07.413989,61320a26c3013321c8d54600,100241,None,select_applications,None,100241,None,None
35,2022-12-20 14:49:15.212470,61320a26c3013321c8d54600,106802,None,select_applications,None,106802,None,None
36,2022-12-20 14:49:35.009020,61320a26c3013321c8d54600,106802,None,select_applications,None,106802,None,None
37,2022-12-20 14:49:35.069841,61320a26c3013321c8d54600,106802,None,select_reject_application,unfair,[],0,0
38,2022-12-20 14:49:38.138849,61320a26c3013321c8d54600,106802,None,select_applications,None,106802,None,None
39,2022-12-20 14:49:47.738605,61320a26c3013321c8d54600,105035,None,select_applications,None,105035,None,None
40,2022-12-20 14:50:05.365370,61320a26c3013321c8d54600,105035,None,select_applications,None,105035,None,None
41,2022-12-20 14:50:06.522665,61320a26c3013321c8d54600,105035,None,select_applications,None,105035,None,None
42,2022-12-20 14:50:07.872758,61320a26c3013321c8d54600,105035,None,select_applications,None,105035,None,None
43,2022-12-20 14:50:08.249589,61320a26c3013321c8d54600,105035,None,select_reject_application,fair,[],0,0
44,2022-12-20 14:50:11.209214,61320a26c3013321c8d54600,105035,None,select_applications,None,105035,None,None
45,2022-12-20 14:50:25.316516,61320a26c3013321c8d54600,104860,None,select_applications,None,104860,None,None
46,2022-12-20 14:50:31.120527,61320a26c3013321c8d54600,104860,None,select_reject_application,fair,[],0,0
47,2022-12-20 14:50:31.137200,61320a26c3013321c8d54600,104860,None,select_applications,None,104860,None,None
48,2022-12-20 14:50:35.565403,61320a26c3013321c8d54600,104860,None,select_applications,None,104860,None,None
49,2022-12-20 14:50:45.493310,61320a26c3013321c8d54600,103570,None,select_applications,None,103570,None,None
50,2022-12-20 14:50:58.493046,61320a26c3013321c8d54600,103570,None,select_reject_application,fair,[],0,0
51,2022-12-20 14:50:58.495043,61320a26c3013321c8d54600,103570,None,select_applications,None,103570,None,None
52,2022-12-20 14:50:59.977609,61320a26c3013321c8d54600,103570,None,select_applications,None,103570,None,None
53,2022-12-20 14:51:09.220305,61320a26c3013321c8d54600,100445,None,select_applications,None,100445,None,None
54,2022-12-20 14:51:15.686435,61320a26c3013321c8d54600,100445,None,select_applications,None,100445,None,None
55,2022-12-20 14:51:15.851862,61320a26c3013321c8d54600,100445,None,select_reject_application,fair,[],0,0
56,2022-12-20 14:51:18.567079,61320a26c3013321c8d54600,100445,None,select_applications,None,100445,None,None
57,2022-12-20 14:51:50.213739,61320a26c3013321c8d54600,0,None,Applications_Prediction_Confidence,None,ascend,,
58,2022-12-20 14:51:57.413466,61320a26c3013321c8d54600,0,None,Applications_Prediction_Confidence,None,ascend,,
59,2022-12-20 14:52:21.404626,61320a26c3013321c8d54600,103206,None,select_applications,None,103206,None,None
60,2022-12-20 14:52:30.157274,61320a26c3013321c8d54600,103206,None,select_applications,None,103206,None,None
61,2022-12-20 14:52:30.223708,61320a26c3013321c8d54600,103206,None,select_reject_application,fair,[],0,0
62,2022-12-20 14:52:32.730032,61320a26c3013321c8d54600,103206,None,select_applications,None,103206,None,None
