serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:40:05.193533,613a98d6fcbac0ce210ec3e6,,,Login,,,,
2,2022-12-20 14:46:12.528534,613a98d6fcbac0ce210ec3e6,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
3,2022-12-20 14:46:36.800985,613a98d6fcbac0ce210ec3e6,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '100'}",None,None
4,2022-12-20 14:46:46.645930,613a98d6fcbac0ce210ec3e6,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
5,2022-12-20 14:46:46.714122,613a98d6fcbac0ce210ec3e6,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '13', 'risk_rate': '31'}",None,None
6,2022-12-20 14:46:48.519188,613a98d6fcbac0ce210ec3e6,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '19', 'risk_rate': '47'}",None,None
7,2022-12-20 14:46:50.405613,613a98d6fcbac0ce210ec3e6,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '36'}",None,None
8,2022-12-20 14:46:50.839028,613a98d6fcbac0ce210ec3e6,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '13', 'risk_rate': '31'}",None,None
9,2022-12-20 14:46:53.150561,613a98d6fcbac0ce210ec3e6,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '36'}",None,None
10,2022-12-20 14:46:55.088555,613a98d6fcbac0ce210ec3e6,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '13', 'risk_rate': '31'}",None,None
11,2022-12-20 14:46:58.794599,613a98d6fcbac0ce210ec3e6,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '14', 'risk_rate': '50'}",None,None
12,2022-12-20 14:47:58.731385,613a98d6fcbac0ce210ec3e6,100001,None,select_applications,None,100001,None,None
13,2022-12-20 14:48:04.123404,613a98d6fcbac0ce210ec3e6,100001,None,select_applications,None,100001,None,None
14,2022-12-20 14:48:07.373134,613a98d6fcbac0ce210ec3e6,100001,None,select_applications,None,100001,None,None
15,2022-12-20 14:48:07.684924,613a98d6fcbac0ce210ec3e6,100001,None,select_reject_application,fair,"[{'attribute': '100001_Owns Car', 'value': '0.073'}]",0,0
16,2022-12-20 14:48:10.336887,613a98d6fcbac0ce210ec3e6,100001,None,select_applications,None,100001,None,None
17,2022-12-20 14:48:34.818938,613a98d6fcbac0ce210ec3e6,100005,None,select_applications,None,100005,None,None
18,2022-12-20 14:49:27.455026,613a98d6fcbac0ce210ec3e6,100005,None,select_applications,None,100005,None,None
19,2022-12-20 14:49:31.171637,613a98d6fcbac0ce210ec3e6,100005,None,select_applications,None,100005,None,None
20,2022-12-20 14:49:32.020972,613a98d6fcbac0ce210ec3e6,100005,None,select_applications,None,100005,None,None
21,2022-12-20 14:49:32.181413,613a98d6fcbac0ce210ec3e6,100005,None,select_applications,None,100005,None,None
22,2022-12-20 14:49:32.342662,613a98d6fcbac0ce210ec3e6,100005,None,select_reject_application,fair,"[{'attribute': '100001_Owns Car', 'value': '0.073'}]",0,0
23,2022-12-20 14:49:34.284824,613a98d6fcbac0ce210ec3e6,100005,None,select_applications,None,100005,None,None
24,2022-12-20 14:49:42.693379,613a98d6fcbac0ce210ec3e6,100013,None,select_applications,None,100013,None,None
25,2022-12-20 14:50:13.800341,613a98d6fcbac0ce210ec3e6,100013,None,select_applications,None,100013,None,None
26,2022-12-20 14:50:40.830769,613a98d6fcbac0ce210ec3e6,100013,None,select_applications,None,100013,None,None
27,2022-12-20 14:50:41.616579,613a98d6fcbac0ce210ec3e6,100013,None,select_applications,None,100013,None,None
28,2022-12-20 14:50:42.828566,613a98d6fcbac0ce210ec3e6,100013,None,select_applications,None,100013,None,None
29,2022-12-20 14:50:42.829486,613a98d6fcbac0ce210ec3e6,100013,None,select_reject_application,fair,"[{'attribute': '100001_Owns Car', 'value': '0.073'}]",0,0
30,2022-12-20 14:50:42.836506,613a98d6fcbac0ce210ec3e6,100013,None,select_applications,None,100013,None,None
31,2022-12-20 14:50:45.136868,613a98d6fcbac0ce210ec3e6,100013,None,select_applications,None,100013,None,None
32,2022-12-20 14:50:51.181538,613a98d6fcbac0ce210ec3e6,0,None,Applications_Prediction_Confidence,None,ascend,,
33,2022-12-20 14:50:51.700339,613a98d6fcbac0ce210ec3e6,0,None,Applications_Prediction_Confidence,None,ascend,,
