serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 16:27:22.759720,614b55e22ff3944a165736bb,,,Login,,,,
2,2022-12-20 16:29:33.683979,614b55e22ff3944a165736bb,106647,None,select_applications,None,106647,None,None
3,2022-12-20 16:30:54.355354,614b55e22ff3944a165736bb,106647,None,select_applications,None,106647,None,None
4,2022-12-20 16:30:58.686216,614b55e22ff3944a165736bb,106647,None,select_applications,None,106647,None,None
5,2022-12-20 16:31:00.329905,614b55e22ff3944a165736bb,106647,None,select_applications,None,106647,None,None
6,2022-12-20 16:31:06.333725,614b55e22ff3944a165736bb,106647,None,select_applications,None,106647,None,None
7,2022-12-20 16:31:06.341516,614b55e22ff3944a165736bb,106647,None,select_reject_application,fair,[],0,0
8,2022-12-20 16:31:13.732394,614b55e22ff3944a165736bb,106647,None,select_applications,None,106647,None,None
9,2022-12-20 16:31:22.272365,614b55e22ff3944a165736bb,106401,None,select_applications,None,106401,None,None
10,2022-12-20 16:31:36.636481,614b55e22ff3944a165736bb,106401,None,select_applications,None,106401,None,None
11,2022-12-20 16:31:36.646275,614b55e22ff3944a165736bb,106401,None,select_reject_application,unfair,[],0,0
12,2022-12-20 16:31:41.132326,614b55e22ff3944a165736bb,106401,None,select_applications,None,106401,None,None
13,2022-12-20 16:31:52.662366,614b55e22ff3944a165736bb,101367,None,select_applications,None,101367,None,None
14,2022-12-20 16:32:14.402757,614b55e22ff3944a165736bb,101367,None,select_applications,None,101367,None,None
15,2022-12-20 16:32:14.409234,614b55e22ff3944a165736bb,101367,None,select_applications,None,101367,None,None
16,2022-12-20 16:32:14.467969,614b55e22ff3944a165736bb,101367,None,select_reject_application,fair,[],0,0
17,2022-12-20 16:32:26.880738,614b55e22ff3944a165736bb,101367,None,select_applications,None,101367,None,None
18,2022-12-20 16:32:29.153679,614b55e22ff3944a165736bb,101367,None,select_applications,None,101367,None,None
19,2022-12-20 16:32:46.151385,614b55e22ff3944a165736bb,106488,None,select_applications,None,106488,None,None
20,2022-12-20 16:33:09.440491,614b55e22ff3944a165736bb,106488,None,select_applications,None,106488,None,None
21,2022-12-20 16:33:09.451406,614b55e22ff3944a165736bb,106488,None,select_reject_application,unfair,"[{'attribute': '101367_Income type', 'value': '0.02'}]",0,0
