serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:48:52.578973,61516f157092b66018472a2f,,,Login,,,,
2,2022-12-20 14:50:20.035085,61516f157092b66018472a2f,0,None,apply_refine_search,Application Day,TUESDAY,,
3,2022-12-20 14:51:10.912807,61516f157092b66018472a2f,0,None,Clicked-on-Causal-Graph-Node,Node Value,Contact address located in Registration region,None,None
4,2022-12-20 14:51:39.864589,61516f157092b66018472a2f,0,None,apply_refine_search,Number of family members,,,
5,2022-12-20 14:51:41.223418,61516f157092b66018472a2f,0,None,apply_refine_search,,,,
6,2022-12-20 14:51:43.815748,61516f157092b66018472a2f,0,None,apply_refine_search,Has Phone,,,
7,2022-12-20 14:51:45.252056,61516f157092b66018472a2f,0,None,apply_refine_search,,,,
8,2022-12-20 14:51:55.992304,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:52:04.449208,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
10,2022-12-20 14:52:16.095982,61516f157092b66018472a2f,0,None,Applications_Prediction_Confidence,None,ascend,,
11,2022-12-20 14:52:21.605439,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
12,2022-12-20 14:52:34.502225,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
13,2022-12-20 14:52:42.511496,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
14,2022-12-20 14:52:44.487019,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
15,2022-12-20 14:52:49.046756,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
16,2022-12-20 14:52:53.234151,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
17,2022-12-20 14:52:56.871832,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
18,2022-12-20 14:53:19.048980,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
19,2022-12-20 14:53:27.399618,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
20,2022-12-20 14:53:28.319565,61516f157092b66018472a2f,106401,None,select_applications,None,106401,None,None
21,2022-12-20 14:53:30.470708,61516f157092b66018472a2f,106647,None,select_applications,None,106647,None,None
22,2022-12-20 14:53:31.398086,61516f157092b66018472a2f,106401,None,select_applications,None,106401,None,None
23,2022-12-20 14:53:40.616041,61516f157092b66018472a2f,106225,None,select_applications,None,106225,None,None
24,2022-12-20 14:53:44.992501,61516f157092b66018472a2f,106225,None,select_applications,None,106225,None,None
25,2022-12-20 14:53:49.614271,61516f157092b66018472a2f,106225,None,select_applications,None,106225,None,None
26,2022-12-20 14:53:53.902783,61516f157092b66018472a2f,106225,None,select_applications,None,106225,None,None
27,2022-12-20 14:53:56.672059,61516f157092b66018472a2f,106225,None,select_applications,None,106225,None,None
28,2022-12-20 14:54:12.952900,61516f157092b66018472a2f,0,None,apply_refine_search,Age,,,
29,2022-12-20 14:54:18.806865,61516f157092b66018472a2f,106217,None,select_applications,None,106217,None,None
30,2022-12-20 14:54:35.823270,61516f157092b66018472a2f,106295,None,select_applications,None,106295,None,None
31,2022-12-20 14:54:38.492966,61516f157092b66018472a2f,106295,None,similar_application,,103000,,
32,2022-12-20 14:54:41.816773,61516f157092b66018472a2f,106295,None,select_applications,None,106295,None,None
33,2022-12-20 14:54:55.374480,61516f157092b66018472a2f,106295,None,select_applications,None,106295,None,None
34,2022-12-20 14:55:00.669799,61516f157092b66018472a2f,0,None,Clicked-on-Causal-Graph-Node,Node Value,Goods Price,None,None
35,2022-12-20 14:55:16.057908,61516f157092b66018472a2f,100013,None,select_applications,None,100013,None,None
36,2022-12-20 14:55:21.198148,61516f157092b66018472a2f,100013,None,select_applications,None,100013,None,None
37,2022-12-20 14:55:27.984368,61516f157092b66018472a2f,100107,None,select_applications,None,100107,None,None
38,2022-12-20 14:55:44.916358,61516f157092b66018472a2f,100107,None,select_applications,None,100107,None,None
39,2022-12-20 14:55:46.903931,61516f157092b66018472a2f,100107,None,select_applications,None,100107,None,None
40,2022-12-20 14:55:50.822951,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
41,2022-12-20 14:55:53.020684,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
42,2022-12-20 14:55:54.676665,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
43,2022-12-20 14:55:57.662002,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
44,2022-12-20 14:56:05.404421,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
45,2022-12-20 14:56:07.604518,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
46,2022-12-20 14:56:09.795038,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
47,2022-12-20 14:56:23.620526,61516f157092b66018472a2f,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '100'}",None,None
48,2022-12-20 14:56:29.593657,61516f157092b66018472a2f,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '14', 'risk_rate': '50'}",None,None
49,2022-12-20 14:56:33.194324,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
50,2022-12-20 14:56:36.277008,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
51,2022-12-20 14:56:39.502483,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
52,2022-12-20 14:56:42.046173,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
53,2022-12-20 14:56:46.119567,61516f157092b66018472a2f,100074,None,select_applications,None,100074,None,None
54,2022-12-20 14:56:52.173637,61516f157092b66018472a2f,100074,None,select_applications,None,100074,None,None
55,2022-12-20 14:56:55.070492,61516f157092b66018472a2f,100074,None,select_applications,None,100074,None,None
56,2022-12-20 14:56:56.886151,61516f157092b66018472a2f,100074,None,select_applications,None,100074,None,None
57,2022-12-20 14:56:59.169302,61516f157092b66018472a2f,100074,None,select_applications,None,100074,None,None
58,2022-12-20 14:57:05.909087,61516f157092b66018472a2f,0,None,apply_refine_search,Gender,,,
59,2022-12-20 14:57:08.891799,61516f157092b66018472a2f,0,None,apply_refine_search,,,,
60,2022-12-20 14:57:14.253646,61516f157092b66018472a2f,100256,None,select_applications,None,100256,None,None
61,2022-12-20 14:57:19.500860,61516f157092b66018472a2f,100256,None,select_applications,None,100256,None,None
62,2022-12-20 14:57:24.109010,61516f157092b66018472a2f,100256,None,select_applications,None,100256,None,None
63,2022-12-20 14:57:29.045774,61516f157092b66018472a2f,100256,None,select_applications,None,100256,None,None
64,2022-12-20 14:57:29.968271,61516f157092b66018472a2f,100256,None,select_applications,None,100256,None,None
65,2022-12-20 14:57:35.253080,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
66,2022-12-20 14:57:38.257223,61516f157092b66018472a2f,100001,None,select_reject_application,fair,"[{'attribute': '106647_Has Phone', 'value': '0.073'}, {'attribute': '100001_Gender', 'value': '0.067'}, {'attribute': '100256_Has Mobile', 'value': '0.029'}, {'attribute': '100001_Owns Car', 'value': '0.034'}, {'attribute': '106647_Housing situation', 'value': '0.027'}, {'attribute': '106647_Age', 'value': '0.049'}, {'attribute': '100074_Contact city in Registration city', 'value': '0.058'}, {'attribute': '106225_Has Phone', 'value': '0.073'}, {'attribute': '106647_Loan Credit amount ', 'value': '0.034'}, {'attribute': '100256_Age', 'value': '0.055'}, {'attribute': '100256_Housing situation', 'value': '0.059'}, {'attribute': '106225_Age', 'value': '0.06'}, {'attribute': '106647_Goods Price', 'value': '0.034'}, {'attribute': '100074_Gender', 'value': '0.063'}, {'attribute': '100107_Years since changing registration', 'value': '0.038'}]",0,0
67,2022-12-20 14:57:38.252836,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
68,2022-12-20 14:57:39.235604,61516f157092b66018472a2f,100001,None,select_reject_application,unfair,"[{'attribute': '106647_Has Phone', 'value': '0.073'}, {'attribute': '100001_Gender', 'value': '0.067'}, {'attribute': '100256_Has Mobile', 'value': '0.029'}, {'attribute': '100001_Owns Car', 'value': '0.034'}, {'attribute': '106647_Housing situation', 'value': '0.027'}, {'attribute': '106647_Age', 'value': '0.049'}, {'attribute': '100074_Contact city in Registration city', 'value': '0.058'}, {'attribute': '106225_Has Phone', 'value': '0.073'}, {'attribute': '106647_Loan Credit amount ', 'value': '0.034'}, {'attribute': '100256_Age', 'value': '0.055'}, {'attribute': '100256_Housing situation', 'value': '0.059'}, {'attribute': '106225_Age', 'value': '0.06'}, {'attribute': '106647_Goods Price', 'value': '0.034'}, {'attribute': '100074_Gender', 'value': '0.063'}, {'attribute': '100107_Years since changing registration', 'value': '0.038'}]",0,0
69,2022-12-20 14:57:39.236174,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
70,2022-12-20 14:57:39.764198,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
71,2022-12-20 14:57:40.238551,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
72,2022-12-20 14:57:40.239579,61516f157092b66018472a2f,100001,None,select_reject_application,fair,"[{'attribute': '106647_Has Phone', 'value': '0.073'}, {'attribute': '100001_Gender', 'value': '0.067'}, {'attribute': '100256_Has Mobile', 'value': '0.029'}, {'attribute': '100001_Owns Car', 'value': '0.034'}, {'attribute': '106647_Housing situation', 'value': '0.027'}, {'attribute': '106647_Age', 'value': '0.049'}, {'attribute': '100074_Contact city in Registration city', 'value': '0.058'}, {'attribute': '106225_Has Phone', 'value': '0.073'}, {'attribute': '106647_Loan Credit amount ', 'value': '0.034'}, {'attribute': '100256_Age', 'value': '0.055'}, {'attribute': '100256_Housing situation', 'value': '0.059'}, {'attribute': '106225_Age', 'value': '0.06'}, {'attribute': '106647_Goods Price', 'value': '0.034'}, {'attribute': '100074_Gender', 'value': '0.063'}, {'attribute': '100107_Years since changing registration', 'value': '0.038'}]",0,0
73,2022-12-20 14:57:41.109250,61516f157092b66018472a2f,100001,None,select_applications,None,100001,None,None
74,2022-12-20 14:57:44.259889,61516f157092b66018472a2f,100013,None,select_applications,None,100013,None,None
75,2022-12-20 14:57:46.678536,61516f157092b66018472a2f,100013,None,select_applications,None,100013,None,None
76,2022-12-20 14:57:46.681934,61516f157092b66018472a2f,100013,None,select_applications,None,100013,None,None
77,2022-12-20 14:57:46.740716,61516f157092b66018472a2f,100013,None,select_reject_application,fair,"[{'attribute': '106647_Has Phone', 'value': '0.073'}, {'attribute': '100001_Gender', 'value': '0.067'}, {'attribute': '100256_Has Mobile', 'value': '0.029'}, {'attribute': '100001_Owns Car', 'value': '0.034'}, {'attribute': '106647_Housing situation', 'value': '0.027'}, {'attribute': '106647_Age', 'value': '0.049'}, {'attribute': '100074_Contact city in Registration city', 'value': '0.058'}, {'attribute': '106225_Has Phone', 'value': '0.073'}, {'attribute': '106647_Loan Credit amount ', 'value': '0.034'}, {'attribute': '100256_Age', 'value': '0.055'}, {'attribute': '100256_Housing situation', 'value': '0.059'}, {'attribute': '106225_Age', 'value': '0.06'}, {'attribute': '106647_Goods Price', 'value': '0.034'}, {'attribute': '100074_Gender', 'value': '0.063'}, {'attribute': '100107_Years since changing registration', 'value': '0.038'}]",0,0
78,2022-12-20 14:57:49.334038,61516f157092b66018472a2f,100013,None,select_applications,None,100013,None,None
79,2022-12-20 14:58:27.196672,61516f157092b66018472a2f,100067,None,select_applications,None,100067,None,None
80,2022-12-20 14:58:32.584557,61516f157092b66018472a2f,100067,None,select_applications,None,100067,None,None
81,2022-12-20 14:58:32.682882,61516f157092b66018472a2f,100067,None,select_reject_application,fair,"[{'attribute': '106647_Has Phone', 'value': '0.073'}, {'attribute': '100001_Gender', 'value': '0.067'}, {'attribute': '100256_Has Mobile', 'value': '0.029'}, {'attribute': '100001_Owns Car', 'value': '0.034'}, {'attribute': '106647_Housing situation', 'value': '0.027'}, {'attribute': '106647_Age', 'value': '0.049'}, {'attribute': '100074_Contact city in Registration city', 'value': '0.058'}, {'attribute': '106225_Has Phone', 'value': '0.073'}, {'attribute': '106647_Loan Credit amount ', 'value': '0.034'}, {'attribute': '100256_Age', 'value': '0.055'}, {'attribute': '100256_Housing situation', 'value': '0.059'}, {'attribute': '106225_Age', 'value': '0.06'}, {'attribute': '106647_Goods Price', 'value': '0.034'}, {'attribute': '100074_Gender', 'value': '0.063'}, {'attribute': '100107_Years since changing registration', 'value': '0.038'}]",0,0
82,2022-12-20 14:58:34.800423,61516f157092b66018472a2f,100067,None,select_applications,None,100067,None,None
83,2022-12-20 14:58:41.852245,61516f157092b66018472a2f,100446,None,select_applications,None,100446,None,None
84,2022-12-20 14:58:51.469127,61516f157092b66018472a2f,100446,None,select_applications,None,100446,None,None
85,2022-12-20 14:58:54.069063,61516f157092b66018472a2f,100005,None,select_applications,None,100005,None,None
86,2022-12-20 14:58:56.842894,61516f157092b66018472a2f,100005,None,select_reject_application,unfair,"[{'attribute': '106647_Has Phone', 'value': '0.073'}, {'attribute': '100001_Gender', 'value': '0.067'}, {'attribute': '100256_Has Mobile', 'value': '0.029'}, {'attribute': '100001_Owns Car', 'value': '0.034'}, {'attribute': '106647_Housing situation', 'value': '0.027'}, {'attribute': '106647_Age', 'value': '0.049'}, {'attribute': '100074_Contact city in Registration city', 'value': '0.058'}, {'attribute': '106225_Has Phone', 'value': '0.073'}, {'attribute': '106647_Loan Credit amount ', 'value': '0.034'}, {'attribute': '100256_Age', 'value': '0.055'}, {'attribute': '100256_Housing situation', 'value': '0.059'}, {'attribute': '106225_Age', 'value': '0.06'}, {'attribute': '106647_Goods Price', 'value': '0.034'}, {'attribute': '100074_Gender', 'value': '0.063'}, {'attribute': '100107_Years since changing registration', 'value': '0.038'}]",0,0
87,2022-12-20 14:58:56.844253,61516f157092b66018472a2f,100005,None,select_applications,None,100005,None,None
88,2022-12-20 14:59:06.282471,61516f157092b66018472a2f,100005,None,select_applications,None,100005,None,None
