serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:35:54.660256,6151f4af8af3c53428216391,,,Login,,,,
2,2022-12-20 14:45:02.148300,6151f4af8af3c53428216391,0,None,apply_refine_search,Occupation Type,IT staff,,
3,2022-12-20 14:45:18.081597,6151f4af8af3c53428216391,103940,None,select_applications,None,103940,None,None
4,2022-12-20 14:45:38.867172,6151f4af8af3c53428216391,103940,None,select_applications,None,103940,None,None
5,2022-12-20 14:45:38.871712,6151f4af8af3c53428216391,103940,None,select_reject_application,fair,[],0,0
6,2022-12-20 14:45:45.569234,6151f4af8af3c53428216391,103940,None,select_applications,None,103940,None,None
7,2022-12-20 14:46:55.872934,6151f4af8af3c53428216391,106647,None,select_applications,None,106647,None,None
8,2022-12-20 14:46:59.286727,6151f4af8af3c53428216391,106647,None,select_applications,None,106647,None,None
9,2022-12-20 14:46:59.289757,6151f4af8af3c53428216391,106647,None,select_reject_application,fair,[],0,0
10,2022-12-20 14:47:01.451019,6151f4af8af3c53428216391,106647,None,select_applications,None,106647,None,None
11,2022-12-20 14:47:31.440916,6151f4af8af3c53428216391,0,None,apply_refine_search,Age,,,
12,2022-12-20 14:48:05.296653,6151f4af8af3c53428216391,106401,None,select_applications,None,106401,None,None
13,2022-12-20 14:48:22.366194,6151f4af8af3c53428216391,106401,None,select_applications,None,106401,None,None
14,2022-12-20 14:49:00.693167,6151f4af8af3c53428216391,0,None,apply_refine_search,Owns Property,,,
15,2022-12-20 14:49:20.523655,6151f4af8af3c53428216391,106488,None,select_applications,None,106488,None,None
16,2022-12-20 14:49:26.583966,6151f4af8af3c53428216391,106488,None,select_applications,None,106488,None,None
17,2022-12-20 14:49:42.701086,6151f4af8af3c53428216391,106488,None,select_applications,None,106488,None,None
18,2022-12-20 14:50:07.796284,6151f4af8af3c53428216391,106488,None,select_applications,None,106488,None,None
19,2022-12-20 14:50:35.272595,6151f4af8af3c53428216391,0,None,apply_refine_search,Owns Car,,,
20,2022-12-20 14:50:39.188621,6151f4af8af3c53428216391,100001,None,similar_application,,104394,,
21,2022-12-20 14:50:41.246474,6151f4af8af3c53428216391,100001,None,similar_application,,104473,,
22,2022-12-20 14:50:47.497795,6151f4af8af3c53428216391,100241,None,select_applications,None,100241,None,None
23,2022-12-20 14:51:05.518162,6151f4af8af3c53428216391,100241,None,select_applications,None,100241,None,None
24,2022-12-20 14:51:30.113752,6151f4af8af3c53428216391,100278,None,select_applications,None,100278,None,None
25,2022-12-20 14:51:34.853187,6151f4af8af3c53428216391,100278,None,select_applications,None,100278,None,None
26,2022-12-20 14:51:37.236659,6151f4af8af3c53428216391,100278,None,select_applications,None,100278,None,None
27,2022-12-20 14:51:37.237609,6151f4af8af3c53428216391,100278,None,select_reject_application,unfair,"[{'attribute': '106488_Owns Car', 'value': '0.051'}, {'attribute': '106488_Installments', 'value': '0.051'}]",0,0
28,2022-12-20 14:51:48.046976,6151f4af8af3c53428216391,100278,None,select_applications,None,100278,None,None
29,2022-12-20 14:52:16.688839,6151f4af8af3c53428216391,0,None,apply_refine_search,Owns Property,,,
30,2022-12-20 14:52:24.065332,6151f4af8af3c53428216391,0,None,apply_refine_search,,,,
31,2022-12-20 14:52:35.283974,6151f4af8af3c53428216391,103102,None,select_applications,None,103102,None,None
32,2022-12-20 14:53:06.600269,6151f4af8af3c53428216391,103102,None,select_applications,None,103102,None,None
33,2022-12-20 14:53:15.797376,6151f4af8af3c53428216391,103102,None,select_applications,None,103102,None,None
34,2022-12-20 14:53:22.466331,6151f4af8af3c53428216391,103102,None,select_applications,None,103102,None,None
35,2022-12-20 14:54:04.652933,6151f4af8af3c53428216391,103102,None,select_applications,None,103102,None,None
36,2022-12-20 14:54:17.333968,6151f4af8af3c53428216391,100445,None,select_applications,None,100445,None,None
37,2022-12-20 14:54:53.142335,6151f4af8af3c53428216391,100445,None,select_applications,None,100445,None,None
38,2022-12-20 14:55:04.044373,6151f4af8af3c53428216391,100445,None,select_applications,None,100445,None,None
