serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:42:52.337816,616093ab4117242c856402c6,,,Login,,,,
2,2022-12-20 14:45:24.187943,616093ab4117242c856402c6,,,Login,,,,
3,2022-12-20 14:48:36.714007,616093ab4117242c856402c6,0,None,apply_refine_search,,,,
4,2022-12-20 14:48:45.094894,616093ab4117242c856402c6,0,None,apply_refine_search,,,,
5,2022-12-20 14:49:52.070176,616093ab4117242c856402c6,0,None,apply_refine_search,Employer organization,Buisness Entity,,
6,2022-12-20 14:49:59.341786,616093ab4117242c856402c6,0,None,apply_refine_search,Employer organization,Buisness Entity,,
7,2022-12-20 14:50:21.833627,616093ab4117242c856402c6,100001,None,similar_application,,101211,,
8,2022-12-20 14:50:25.876455,616093ab4117242c856402c6,100001,None,similar_application,,106320,,
9,2022-12-20 14:50:33.336873,616093ab4117242c856402c6,100001,None,similar_application,,102450,,
10,2022-12-20 14:50:37.514374,616093ab4117242c856402c6,0,None,apply_refine_search,Employer organization,Buisness Entity,,
11,2022-12-20 14:50:40.257460,616093ab4117242c856402c6,100770,None,select_applications,None,100770,None,None
12,2022-12-20 14:50:52.705167,616093ab4117242c856402c6,0,None,Applications_Prediction_Confidence,None,ascend,,
13,2022-12-20 14:50:59.576658,616093ab4117242c856402c6,0,None,Applications_Prediction_Confidence,None,ascend,,
14,2022-12-20 14:52:21.821491,616093ab4117242c856402c6,102070,None,select_applications,None,102070,None,None
15,2022-12-20 14:53:57.371873,616093ab4117242c856402c6,102070,None,select_applications,None,102070,None,None
16,2022-12-20 14:54:28.724851,616093ab4117242c856402c6,0,None,apply_refine_search,Housing situation,,,
17,2022-12-20 14:54:39.613403,616093ab4117242c856402c6,0,None,apply_refine_search,Occupation Type,,,
18,2022-12-20 14:54:51.775255,616093ab4117242c856402c6,100001,None,select_applications,None,100001,None,None
19,2022-12-20 14:55:02.966894,616093ab4117242c856402c6,100001,None,select_applications,None,100001,None,None
