serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:55:06.672874,6161bdbff67e4b4621b530e7,,,Login,,,,
2,2022-12-20 15:06:52.492994,6161bdbff67e4b4621b530e7,106647,None,select_applications,None,106647,None,None
3,2022-12-20 15:08:24.586581,6161bdbff67e4b4621b530e7,106647,None,select_applications,None,106647,None,None
4,2022-12-20 15:09:05.059196,6161bdbff67e4b4621b530e7,106647,None,select_applications,None,106647,None,None
5,2022-12-20 15:09:15.429696,6161bdbff67e4b4621b530e7,106647,None,select_applications,None,106647,None,None
6,2022-12-20 15:09:17.501948,6161bdbff67e4b4621b530e7,106647,None,select_applications,None,106647,None,None
7,2022-12-20 15:09:17.503121,6161bdbff67e4b4621b530e7,106647,None,select_reject_application,fair,[],0,0
8,2022-12-20 15:09:21.983280,6161bdbff67e4b4621b530e7,106647,None,select_applications,None,106647,None,None
9,2022-12-20 15:09:26.891722,6161bdbff67e4b4621b530e7,106647,None,select_applications,None,106647,None,None
10,2022-12-20 15:09:36.885013,6161bdbff67e4b4621b530e7,106647,None,select_applications,None,106647,None,None
11,2022-12-20 15:09:48.441404,6161bdbff67e4b4621b530e7,106401,None,select_applications,None,106401,None,None
12,2022-12-20 15:10:39.840599,6161bdbff67e4b4621b530e7,106401,None,select_applications,None,106401,None,None
13,2022-12-20 15:10:39.874506,6161bdbff67e4b4621b530e7,106401,None,select_reject_application,fair,[],0,0
14,2022-12-20 15:10:59.151215,6161bdbff67e4b4621b530e7,106488,None,select_applications,None,106488,None,None
15,2022-12-20 15:11:04.815645,6161bdbff67e4b4621b530e7,106488,None,select_applications,None,106488,None,None
16,2022-12-20 15:12:14.640334,6161bdbff67e4b4621b530e7,106488,None,select_applications,None,106488,None,None
17,2022-12-20 15:12:14.904698,6161bdbff67e4b4621b530e7,106488,None,select_reject_application,fair,[],0,0
18,2022-12-20 15:12:18.253698,6161bdbff67e4b4621b530e7,106488,None,select_applications,None,106488,None,None
19,2022-12-20 15:12:26.320381,6161bdbff67e4b4621b530e7,101367,None,select_applications,None,101367,None,None
20,2022-12-20 15:12:31.023535,6161bdbff67e4b4621b530e7,101367,None,select_applications,None,101367,None,None
21,2022-12-20 15:13:02.622005,6161bdbff67e4b4621b530e7,101367,None,select_applications,None,101367,None,None
22,2022-12-20 15:13:02.623396,6161bdbff67e4b4621b530e7,101367,None,select_applications,None,101367,None,None
23,2022-12-20 15:13:02.824911,6161bdbff67e4b4621b530e7,101367,None,select_reject_application,fair,[],0,0
24,2022-12-20 15:13:04.874690,6161bdbff67e4b4621b530e7,101367,None,select_applications,None,101367,None,None
25,2022-12-20 15:13:14.147093,6161bdbff67e4b4621b530e7,100241,None,select_applications,None,100241,None,None
26,2022-12-20 15:14:14.646145,6161bdbff67e4b4621b530e7,100241,None,select_applications,None,100241,None,None
