serial number,timestamp,ID,App ID,Pattern,Function,Attribute,Value,Lower bound,Upper bound
1,2022-12-20 14:55:33.664779,61687ebcd2a35ffb762d1928,,,Login,,,,
2,2022-12-20 15:13:44.863136,61687ebcd2a35ffb762d1928,0,None,Applications_Prediction_Confidence,None,ascend,,
3,2022-12-20 15:13:54.184286,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
4,2022-12-20 15:14:11.331436,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
5,2022-12-20 15:14:13.177575,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
6,2022-12-20 15:14:39.596636,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
7,2022-12-20 15:14:56.557338,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
8,2022-12-20 15:15:04.354314,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
9,2022-12-20 15:15:15.526010,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
10,2022-12-20 15:15:32.620295,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
11,2022-12-20 15:15:39.798107,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
12,2022-12-20 15:15:44.259053,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
13,2022-12-20 15:15:52.410406,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
14,2022-12-20 15:15:54.699630,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
15,2022-12-20 15:16:09.279664,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
16,2022-12-20 15:16:20.289741,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
17,2022-12-20 15:16:21.692381,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
18,2022-12-20 15:16:25.993707,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
19,2022-12-20 15:16:31.677859,61687ebcd2a35ffb762d1928,106647,None,select_reject_application,fair,"[{'attribute': '106647_Number of family members', 'value': '0.012'}, {'attribute': '106647_Application Day', 'value': '0'}, {'attribute': '106647_Accompanied while applying', 'value': '0'}, {'attribute': '106647_Gender', 'value': '0.002'}, {'attribute': '106647_Income type', 'value': '0.066'}, {'attribute': '106647_Has email', 'value': '0'}, {'attribute': '106647_Number of Credit Bureau enquiries 1 day before application', 'value': '0.052'}, {'attribute': '106647_Highest education level', 'value': '0.014'}, {'attribute': '106647_Family status', 'value': '0.003'}, {'attribute': '106647_Mobile reachable', 'value': '0'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.073'}, {'attribute': '106647_Application Hour', 'value': '0'}]",0,0
20,2022-12-20 15:16:31.680694,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
21,2022-12-20 15:16:33.689385,61687ebcd2a35ffb762d1928,106647,None,select_applications,None,106647,None,None
22,2022-12-20 15:17:43.348247,61687ebcd2a35ffb762d1928,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '20', 'risk_rate': '30'}",None,None
23,2022-12-20 15:18:08.999032,61687ebcd2a35ffb762d1928,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '13', 'risk_rate': '31'}",None,None
24,2022-12-20 15:18:53.159198,61687ebcd2a35ffb762d1928,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '36'}",None,None
25,2022-12-20 15:19:08.521342,61687ebcd2a35ffb762d1928,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '45'}",None,None
26,2022-12-20 15:19:13.417352,61687ebcd2a35ffb762d1928,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '142', 'risk_rate': '48'}",None,None
27,2022-12-20 15:19:18.427141,61687ebcd2a35ffb762d1928,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '14', 'risk_rate': '50'}",None,None
28,2022-12-20 15:19:23.929056,61687ebcd2a35ffb762d1928,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '36'}",None,None
29,2022-12-20 15:19:32.220304,61687ebcd2a35ffb762d1928,0,None,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '24', 'risk_rate': '67'}",None,None
30,2022-12-20 15:19:41.157235,61687ebcd2a35ffb762d1928,106401,None,select_applications,None,106401,None,None
31,2022-12-20 15:19:49.897656,61687ebcd2a35ffb762d1928,106401,None,select_applications,None,106401,None,None
32,2022-12-20 15:19:53.631329,61687ebcd2a35ffb762d1928,106401,None,select_applications,None,106401,None,None
33,2022-12-20 15:19:57.869102,61687ebcd2a35ffb762d1928,106401,None,select_applications,None,106401,None,None
34,2022-12-20 15:20:37.493280,61687ebcd2a35ffb762d1928,106401,None,select_applications,None,106401,None,None
35,2022-12-20 15:20:37.495731,61687ebcd2a35ffb762d1928,106401,None,select_reject_application,fair,"[{'attribute': '106401_Highest education level', 'value': '0'}, {'attribute': '106401_Gender', 'value': '0.003'}, {'attribute': '106647_Accompanied while applying', 'value': '0'}, {'attribute': '106647_Has email', 'value': '0'}, {'attribute': '106647_Number of Credit Bureau enquiries 1 day before application', 'value': '0.052'}, {'attribute': '106647_Highest education level', 'value': '0.014'}, {'attribute': '106647_Family status', 'value': '0.003'}, {'attribute': '106647_Mobile reachable', 'value': '0'}, {'attribute': '106647_Number of family members', 'value': '0.012'}, {'attribute': '106647_Application Day', 'value': '0'}, {'attribute': '106647_Gender', 'value': '0.002'}, {'attribute': '106647_Income type', 'value': '0.066'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.073'}, {'attribute': '106647_Application Hour', 'value': '0'}]",0,0
36,2022-12-20 15:20:41.593414,61687ebcd2a35ffb762d1928,106401,None,select_applications,None,106401,None,None
37,2022-12-20 15:21:24.334365,61687ebcd2a35ffb762d1928,0,None,apply_refine_search,Income,,,
38,2022-12-20 15:22:08.136254,61687ebcd2a35ffb762d1928,101107,None,select_applications,None,101107,None,None
39,2022-12-20 15:22:15.219793,61687ebcd2a35ffb762d1928,101107,None,select_applications,None,101107,None,None
40,2022-12-20 15:22:44.332915,61687ebcd2a35ffb762d1928,101107,None,select_applications,None,101107,None,None
41,2022-12-20 15:22:55.743468,61687ebcd2a35ffb762d1928,101107,None,select_applications,None,101107,None,None
42,2022-12-20 15:23:09.831176,61687ebcd2a35ffb762d1928,103771,None,select_applications,None,103771,None,None
43,2022-12-20 15:23:34.517752,61687ebcd2a35ffb762d1928,103771,None,select_applications,None,103771,None,None
44,2022-12-20 15:23:34.521034,61687ebcd2a35ffb762d1928,103771,None,select_reject_application,unfair,"[{'attribute': '106401_Highest education level', 'value': '0'}, {'attribute': '106401_Gender', 'value': '0.003'}, {'attribute': '101107_Gender', 'value': '0.001'}, {'attribute': '106647_Accompanied while applying', 'value': '0'}, {'attribute': '106647_Has email', 'value': '0'}, {'attribute': '106647_Number of Credit Bureau enquiries 1 day before application', 'value': '0.052'}, {'attribute': '106647_Highest education level', 'value': '0.014'}, {'attribute': '106647_Family status', 'value': '0.003'}, {'attribute': '106647_Mobile reachable', 'value': '0'}, {'attribute': '106647_Number of family members', 'value': '0.012'}, {'attribute': '106647_Application Day', 'value': '0'}, {'attribute': '101107_Family status', 'value': '0.045'}, {'attribute': '106647_Gender', 'value': '0.002'}, {'attribute': '106647_Income type', 'value': '0.066'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.073'}, {'attribute': '106647_Application Hour', 'value': '0'}]",0,0
45,2022-12-20 15:23:36.454972,61687ebcd2a35ffb762d1928,103771,None,select_applications,None,103771,None,None
46,2022-12-20 15:23:54.405778,61687ebcd2a35ffb762d1928,101365,None,select_applications,None,101365,None,None
47,2022-12-20 15:24:01.574338,61687ebcd2a35ffb762d1928,101365,None,select_applications,None,101365,None,None
