Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63a1c7e1c77585f9be61af66,5e909231933994023e8b3c4d,APPROVED,2022-12-20T14:34:09.172000Z,2022-12-20T14:58:15.787000Z,2022-12-21T12:16:28.056000,2022-12-20T14:58:16.773706Z,1447,C8XH12FI,108,21,Male,White,Poland,Poland,Poland,Polish,Yes,Other
63a1c7f896276d70f7b85700,5fe100d9ece28c2fa6e9a5a1,APPROVED,2022-12-20T14:34:32.484000Z,2022-12-20T14:55:49.525000Z,2022-12-21T12:23:02.354000,2022-12-20T14:55:51.336367Z,1278,C8XH12FI,100,20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63a1c7fc3d03efcd4d7c008e,60f5bcf96cd0848f008e3902,APPROVED,2022-12-20T14:34:42.907000Z,2022-12-20T14:56:29.212000Z,2022-12-21T12:37:02.527000,2022-12-20T14:56:40.097799Z,1307,C8XH12FI,134,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
63a1c7ff77bfcf1f0628a44a,6120211d8e1eab16fcb7ad69,APPROVED,2022-12-20T14:34:39.118000Z,2022-12-20T15:21:19.257000Z,2022-12-21T12:52:54.268000,2022-12-20T15:21:49.679337Z,2801,C8XH12FI,138,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
63a1c80c0abcf1b972223ed2,60e0e480c45d13e3fc1aae6b,APPROVED,2022-12-20T14:34:55.954000Z,2022-12-20T15:12:12.926000Z,2022-12-21T12:35:41.756000,2022-12-20T15:12:13.356961Z,2237,C8XH12FI,358,22,Female,White,United Kingdom,Spain,United Kingdom,English,No,Unemployed (and job seeking)
63a1c82003518ddd804842a5,6151f4af8af3c53428216391,APPROVED,2022-12-20T14:35:34.690000Z,2022-12-20T15:03:15.599000Z,2022-12-21T12:57:13.414000,2022-12-20T15:03:16.124924Z,1661,C8XH12FI,139,66,Male,White,South Africa,South Africa,South Africa,English,No,Other
63a1c82177bfcf1f0628a451,6101c49c2727ad36a6c593af,APPROVED,2022-12-20T14:36:13.385000Z,2022-12-20T15:09:17.606000Z,2022-12-21T12:40:04.382000,2022-12-20T15:09:17.977476Z,1985,C8XH12FI,149,23,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Unemployed (and job seeking)
63a1c828d63d91a122f54cda,60dc5726c777d9a0e550d1ca,APPROVED,2022-12-20T14:35:20.572000Z,2022-12-20T14:58:31.702000Z,2022-12-21T12:35:07.519000,2022-12-20T14:58:36.163522Z,1392,C8XH12FI,111,21,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Part-Time
63a1c82a42fb679a4db9bc36,61645edbf8a9840feeb735b6,REJECTED,2022-12-20T14:35:30.472000Z,2022-12-20T14:58:47.949000Z,2023-01-04T10:49:44.805000Z,2022-12-20T14:58:53.864000Z,1398,C8XH12FI,147,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63a1c82da43e1f2539593ef8,60e46e73e4c4216e7dcbe325,APPROVED,2022-12-20T14:35:35.160000Z,2022-12-20T15:02:50.407000Z,2022-12-21T12:36:35.008000,2022-12-20T15:02:50.842376Z,1636,C8XH12FI,158,28,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
