,serial number,timestamp,ID,App ID,Function,Attribute,Value,Lower bound,Upper bound
0,2,2022-12-20 15:12:55.100766,5c48be0496d59b000183e68d,106647,select_applications,None,106647,None,None
1,12,2022-12-20 15:15:51.280650,5c48be0496d59b000183e68d,106647,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.018'}, {'attribute': '106647_Housing situation', 'value': '0.028'}, {'attribute': '106647_Gender', 'value': '0.039'}, {'attribute': '106647_Owns Car', 'value': '0.04'}, {'attribute': '106647_Years in current employment', 'value': '0.037'}, {'attribute': '106647_Number of times social circle were at risk to default on loan for 60 days', 'value': '0.027'}, {'attribute': '106647_Income type', 'value': '0.035'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.044'}]",0.0,0.0
2,14,2022-12-20 15:17:52.604073,5c48be0496d59b000183e68d,104132,select_applications,None,104132,None,None
3,31,2022-12-20 15:21:11.500675,5c48be0496d59b000183e68d,104132,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.018'}, {'attribute': '106647_Owns Car', 'value': '0.04'}, {'attribute': '104132_Owns Car', 'value': '0.038'}, {'attribute': '104132_Income type', 'value': '0.042'}, {'attribute': '106647_Years in current employment', 'value': '0.037'}, {'attribute': '104132_Income', 'value': '0.03'}, {'attribute': '104132_Gender', 'value': '0.039'}, {'attribute': '106647_Housing situation', 'value': '0.028'}, {'attribute': '106647_Gender', 'value': '0.039'}, {'attribute': '106647_Number of times social circle were at risk to default on loan for 60 days', 'value': '0.027'}, {'attribute': '104132_Has Work Phone', 'value': '0.001'}, {'attribute': '106647_Income type', 'value': '0.035'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.044'}, {'attribute': '104132_Years since changing  identity document', 'value': '0.005'}]",0.0,0.0
4,33,2022-12-20 15:21:58.565981,5c48be0496d59b000183e68d,102854,select_applications,None,102854,None,None
5,54,2022-12-20 15:25:40.729953,5c48be0496d59b000183e68d,102854,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.018'}, {'attribute': '106647_Owns Car', 'value': '0.04'}, {'attribute': '104132_Owns Car', 'value': '0.038'}, {'attribute': '104132_Income type', 'value': '0.042'}, {'attribute': '106647_Years in current employment', 'value': '0.037'}, {'attribute': '102854_Application Day', 'value': '0.005'}, {'attribute': '102854_Goods Price', 'value': '0.031'}, {'attribute': '102854_Owns Car', 'value': '0.059'}, {'attribute': '104132_Income', 'value': '0.03'}, {'attribute': '102854_Age', 'value': '0.046'}, {'attribute': '104132_Gender', 'value': '0.039'}, {'attribute': '102854_Has Work Phone', 'value': '0.002'}, {'attribute': '106647_Housing situation', 'value': '0.028'}, {'attribute': '106647_Gender', 'value': '0.039'}, {'attribute': '102854_Years since changing phone', 'value': '0.01'}, {'attribute': '102854_Family status', 'value': '0.027'}, {'attribute': '102854_Owns Property', 'value': '0.02'}, {'attribute': '106647_Number of times social circle were at risk to default on loan for 60 days', 'value': '0.027'}, {'attribute': '104132_Has Work Phone', 'value': '0.001'}, {'attribute': '106647_Income type', 'value': '0.035'}, {'attribute': '102854_Gender', 'value': '0.04'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.044'}, {'attribute': '104132_Years since changing  identity document', 'value': '0.005'}]",0.0,0.0
6,56,2022-12-20 15:26:15.662973,5c48be0496d59b000183e68d,100001,similar_application,None,100792,None,None
7,57,2022-12-20 15:26:27.678311,5c48be0496d59b000183e68d,100150,select_applications,None,100150,None,None
8,58,2022-12-20 15:27:45.754083,5c48be0496d59b000183e68d,100038,select_applications,None,100038,None,None
9,61,2022-12-20 15:28:00.382524,5c48be0496d59b000183e68d,100038,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.018'}, {'attribute': '106647_Owns Car', 'value': '0.04'}, {'attribute': '104132_Owns Car', 'value': '0.038'}, {'attribute': '104132_Income type', 'value': '0.042'}, {'attribute': '106647_Years in current employment', 'value': '0.037'}, {'attribute': '102854_Application Day', 'value': '0.005'}, {'attribute': '102854_Goods Price', 'value': '0.031'}, {'attribute': '102854_Owns Car', 'value': '0.059'}, {'attribute': '104132_Income', 'value': '0.03'}, {'attribute': '102854_Age', 'value': '0.046'}, {'attribute': '104132_Gender', 'value': '0.039'}, {'attribute': '102854_Has Work Phone', 'value': '0.002'}, {'attribute': '106647_Housing situation', 'value': '0.028'}, {'attribute': '106647_Gender', 'value': '0.039'}, {'attribute': '102854_Years since changing phone', 'value': '0.01'}, {'attribute': '102854_Family status', 'value': '0.027'}, {'attribute': '102854_Owns Property', 'value': '0.02'}, {'attribute': '106647_Number of times social circle were at risk to default on loan for 60 days', 'value': '0.027'}, {'attribute': '104132_Has Work Phone', 'value': '0.001'}, {'attribute': '106647_Income type', 'value': '0.035'}, {'attribute': '102854_Gender', 'value': '0.04'}, {'attribute': '100038_Owns Car', 'value': '0.053'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.044'}, {'attribute': '104132_Years since changing  identity document', 'value': '0.005'}]",0.0,0.0
10,75,2022-12-20 15:30:26.186115,5c48be0496d59b000183e68d,100067,select_applications,None,100067,None,None
11,82,2022-12-20 15:31:16.291039,5c48be0496d59b000183e68d,100067,select_reject_application,fair,"[{'attribute': '106647_Owns Property', 'value': '0.018'}, {'attribute': '100038_Number of children', 'value': '0.019'}, {'attribute': '100067_Income', 'value': '0.034'}, {'attribute': '106647_Owns Car', 'value': '0.04'}, {'attribute': '104132_Income type', 'value': '0.042'}, {'attribute': '106647_Years in current employment', 'value': '0.037'}, {'attribute': '102854_Age', 'value': '0.046'}, {'attribute': '102854_Has Work Phone', 'value': '0.002'}, {'attribute': '106647_Housing situation', 'value': '0.028'}, {'attribute': '106647_Gender', 'value': '0.039'}, {'attribute': '102854_Family status', 'value': '0.027'}, {'attribute': '102854_Owns Property', 'value': '0.02'}, {'attribute': '106647_Number of times social circle were at risk to default on loan for 60 days', 'value': '0.027'}, {'attribute': '104132_Has Work Phone', 'value': '0.001'}, {'attribute': '100038_Owns Property', 'value': '0.021'}, {'attribute': '100067_Income type', 'value': '0.037'}, {'attribute': '100038_Owns Car', 'value': '0.053'}, {'attribute': '106647_Number of times social circle defaulted on loan for 30 days', 'value': '0.044'}, {'attribute': '100067_Owns Car', 'value': '0.061'}, {'attribute': '100038_Family status', 'value': '0.023'}, {'attribute': '100067_Gender', 'value': '0.045'}, {'attribute': '104132_Owns Car', 'value': '0.038'}, {'attribute': '100038_Contact city in Registration city', 'value': '0.041'}, {'attribute': '100038_Age', 'value': '0.038'}, {'attribute': '102854_Application Day', 'value': '0.005'}, {'attribute': '100038_Income type', 'value': '0.046'}, {'attribute': '102854_Goods Price', 'value': '0.031'}, {'attribute': '100067_Age', 'value': '0.037'}, {'attribute': '102854_Owns Car', 'value': '0.059'}, {'attribute': '104132_Income', 'value': '0.03'}, {'attribute': '104132_Gender', 'value': '0.039'}, {'attribute': '102854_Years since changing phone', 'value': '0.01'}, {'attribute': '106647_Income type', 'value': '0.035'}, {'attribute': '102854_Gender', 'value': '0.04'}, {'attribute': '100038_Has Work Phone', 'value': '0.005'}, {'attribute': '104132_Years since changing  identity document', 'value': '0.005'}]",0.0,0.0
12,84,2022-12-20 15:32:12.364961,5c48be0496d59b000183e68d,0,Click on Feature Combination Button,None,"{'attribute': 'Installments', 'value': 'Fixed', 'total_count': '11', 'risk_rate': '100'}",None,None
13,2,2022-12-20 14:40:27.000412,5c83f171fff8430001e997b4,106647,select_applications,None,106647,None,None
