Edge_Start,CNT_CHILDREN,Target,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,AGE,YEARS_EMPLOYED,YEARS_REGISTRATION,YEARS_ID_PUBLISH,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,YEARS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,OCCUPATION_TYPE,WEEKDAY_APPR_PROCESS_START,ORGANIZATION_TYPE
CNT_CHILDREN,0,0.00273739,0.002833402,0.001672524,0.002119818,0.002071069,0.002417121,1.221074462,0.002557129,0.003035937,0.00217661,0.002173529,1.465071917,0.002191927,0.002613327,0.003054116,0.002130125,0.239164472,0.002460311,0.001686944,0.002469884,0.00223154,0.002255975,0.00198641,0.002220192,0.004102793,0.00236781,0.001946011,0.002456018,0.002090091,0.002295479,0.002242607,0.002150662,0.002058709,0.002001607,0.002517818,0.002270178,0.002343728,0.002123086,0.002433484,0.002433365,0.003173932,0.0019987,0.002125045,0.004766997,0.002933754,0.002330749,0.002542506,0.002077614,0.37616387
Target,0.00198802,0,0.002384471,0.002856789,0.002350064,0.002387212,0.001850021,0.015726175,0.002215728,0.003532593,0.003052301,0.002251782,0.006423609,0.007247224,0.002150387,0.003272379,0.002084764,0.002219572,0.001859375,0.001916109,0.002153496,0.002049783,0.002044623,0.002420721,0.002222385,0.003694498,0.016019555,0.003063148,0.002226177,0.002007276,0.002106035,0.011909161,0.002145102,0.002217553,0.002069443,0.00215924,0.002422048,0.002522203,0.00227117,0.032377332,0.006468336,0.002123666,0.002233502,0.002513967,0.033520367,0.002034155,0.002068953,0.002363495,0.002199341,0.002436816
AMT_INCOME_TOTAL,0.002916491,0.005215839,0,0.096786931,0.009097989,0.002457714,0.002670588,0.002340704,0.00256449,0.002355737,0.002474433,0.002182662,1.754923105,0.002003682,0.002387371,0.002301234,0.002469566,0.003102238,0.002944888,0.040015962,0.002357161,0.00236007,0.002218585,0.381015182,0.002631003,0.002026408,0.003371895,0.004958805,0.00212031,0.001936959,0.015743135,0.002292459,0.002238375,0.002150469,0.00226715,0.002485718,0.002050734,0.002188588,0.002353954,2.928587437,2.591583252,0.002713734,0.00230422,0.259885699,2.387830734,0.002223925,0.002184555,0.004163777,0.002260315,0.003254182
AMT_CREDIT,0.003157481,0.002464407,0.195076287,0,1.106486678,2.957603455,0.003456248,0.00289283,0.002027378,0.002012688,0.00213828,0.002287255,0.249206096,0.002426138,0.002330509,0.002084124,0.002523633,0.002586712,0.002242933,0.001752987,0.002436603,0.002405138,0.002194244,0.022921508,0.002325678,0.002507097,0.002335855,0.002515022,0.002182469,0.002531266,0.003082695,0.002328092,0.002101219,0.002180364,0.00213545,0.002114047,0.002128695,0.002300424,0.00231715,0.002452227,0.002689814,0.002434243,0.002242909,0.003920991,0.004954283,0.512464523,0.002290733,0.002254778,0.002609443,0.002359694
AMT_ANNUITY,0.002437869,0.002734903,2.793970823,0.12347126,0,0.007910215,0.002355431,0.00238921,0.003014193,0.002866775,0.002243948,0.001961026,0.033264969,0.003038296,0.002179719,0.002387491,0.002174891,0.002095975,0.002515917,0.001992306,0.00196974,0.002044702,0.002619538,0.021012045,0.002258867,0.002476048,0.00221698,0.002491561,0.002288725,0.002929203,0.002412817,0.002485855,0.002168422,0.002261656,0.002558482,0.002194635,0.002334591,0.002204042,0.002211296,0.003380193,0.004173708,0.003485654,0.002153039,0.002638613,0.002978835,0.002774529,0.002286206,0.002188072,0.002592634,0.0025318
AMT_GOODS_PRICE,0.002280789,0.002551992,0.105618134,0.412191331,2.911161423,0,0.002436591,0.003507327,0.002517077,0.002091799,0.002445475,0.002118843,0.005147215,0.002881398,0.002124907,0.002374798,0.00197917,0.002082197,0.00207491,0.002317131,0.002656532,0.002227869,0.002290311,0.002885254,0.002411214,0.002424881,0.00220148,0.002010371,0.00235026,0.001983574,0.002449369,0.002437391,0.00221065,0.00230515,0.001930973,0.002195361,0.002160224,0.002346218,0.00215564,0.002146461,0.003461981,0.002554577,0.002008961,0.002888997,0.010761059,0.046543315,0.002377862,0.002510473,0.002663701,0.0022739
REGION_POPULATION_RELATIVE,0.002329722,0.005540472,0.003749895,0.001457845,0.002702652,0.002111872,0,0.00242689,0.002312602,0.002170152,0.002276814,0.002206728,0.003350743,0.002617041,0.002275439,0.01607243,0.00230027,0.002153182,0.012076919,0.00530188,0.002498448,0.002538892,0.002533607,0.002402432,0.002231191,0.002128135,0.002152543,0.006102842,0.001940846,0.006597108,0.002319973,0.002694615,0.002211746,0.001935481,0.002100423,0.002284555,0.002345562,0.002242731,0.002282481,0.00332106,0.003191609,0.00244159,0.002009796,0.143929109,0.00230044,0.002212737,0.00214571,0.00209941,0.002621364,0.004272673
AGE,0.006348806,2.617699862,0.00234792,0.003810931,0.004634507,0.00221967,0.00226942,0,0.08128836,1.472690701,0.017086701,0.002094702,1.394069433,0.433323026,0.002037185,0.00241201,0.002442498,1.402303338,0.002418567,0.002981569,0.004766474,0.002442105,0.002585405,0.002167839,0.002875899,0.003277173,0.004666573,0.002187862,0.002269921,0.002372239,0.002526978,0.28269124,0.002160892,0.002144785,0.002038304,0.002428581,0.002356212,0.002374327,0.002306201,0.914151073,0.002146578,0.003083852,0.002347536,0.004110842,0.007685852,0.002530477,0.002032941,0.027363297,0.002452293,0.081732735
YEARS_EMPLOYED,0.003646067,0.005008544,0.005211261,0.001834537,0.002457248,0.002459353,0.002032462,0.312965453,0,0.002997665,0.732872546,0.002256327,0.417062581,0.362398505,0.002478078,0.002162243,0.002047805,0.020877277,0.00277554,0.002062561,0.003332175,0.002050672,0.002609903,0.002711538,0.002068249,0.00226538,0.017794374,0.003069607,0.002326681,0.00245665,0.002091308,0.001958498,0.002164461,0.002073111,0.002074543,0.002292697,0.002091882,0.002220029,0.00184215,0.023746107,0.003142746,0.00224,0.002220215,2.633037806,0.003543686,0.004541375,0.002285488,1.747726202,0.002317415,1.448500514
YEARS_REGISTRATION,0.003683573,0.012858788,0.002575163,0.002384873,0.002392796,0.001977003,0.002223491,0.428985417,0.002127077,0,0.005698943,0.002088465,0.024943434,0.002251331,0.002288073,0.004061135,0.002331644,0.003882723,0.002588826,0.002048775,0.002714289,0.00220311,0.002151362,0.001920656,0.002493015,0.003086737,0.003126535,0.002394267,0.00243712,0.002115449,0.002248817,0.004979977,0.002284345,0.002255223,0.002026627,0.002092107,0.00223313,0.002248012,0.002361901,0.002313131,0.002593187,0.00233634,0.00208818,0.002317561,0.002653521,0.002165931,0.002153487,0.003274217,0.002255206,0.002084445
YEARS_ID_PUBLISH,0.001745295,0.008143616,0.001936562,0.00194507,0.002321283,0.002251739,0.00227095,0.003418569,0.002427671,0.003657838,0,0.002123359,0.049475268,0.002754085,0.002214177,0.002220204,0.002142307,0.005905488,0.002413984,0.002257265,0.002743061,0.002175043,0.002157205,0.002439595,0.002361725,0.001945516,0.002174964,0.001964926,0.002292419,0.002199617,0.001969931,0.003134314,0.002222178,0.002270914,0.00273636,0.002253685,0.002096279,0.002253381,0.002005911,0.002514469,0.002039712,0.002231643,0.002129743,0.00327439,0.002247228,0.002309525,0.00198812,0.002094566,0.002181548,0.015217126
