Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id,CMA_DemographicParityRatio,CMA_ConditionalDemographicDisparity,CMA_EqualOpportunityDifference,CMA_AverageOddsDifference,CMA_PredictiveParity
CODE_GENDER,0.7585418552412071,-0.0417861763632599,-0.1434201576267758,-0.1528186594000478,-0.0168478233061638,0.5,0,,,,,,
NAME_FAMILY_STATUS,0.6515947222593553,-0.0416094999448749,-0.2297398229070837,-0.2712077008558474,-0.0388103291695138,0.5,0,,,,,,
AGE,0.4603925498260965,0.0003493183514832,-0.391908342763779,-0.4354947784368526,-0.0686603600854439,0.5,0,,,,,,
REGION_RATING_CLIENT,0.5403375694073369,0.0014480916146679,-0.3357717096432556,-0.3798289037227587,-0.0799624906226555,0.5,0,,,,,,
REGION_RATING_CLIENT_W_CITY,0.5138145514616103,0.000111609798732,-0.3577923018805435,-0.3989024440928576,-0.0836239827271216,0.5,0,,,,,,
OBS_30_CNT_SOCIAL_CIRCLE,0.9069066815572424,-0.005887458379215,-0.0384414036178925,-0.0762066196915387,-0.0252144302497659,0.5,0,,,,,,
DEF_30_CNT_SOCIAL_CIRCLE,0.657945310786142,-0.0206321317770446,-0.1925364774477832,-0.1845971244064881,-0.0361658350127214,0.5,0,,,,,,
OBS_60_CNT_SOCIAL_CIRCLE,0.9213794695652584,-0.0053612743245488,-0.0365542553366579,-0.0578006490381489,-0.0161874573330982,0.5,0,,,,,,
DEF_60_CNT_SOCIAL_CIRCLE,0.6009173304494941,-0.0144993964127682,-0.22030969459728,-0.2121758361077488,-0.0451632301365328,0.5,0,,,,,,
CODE_GENDER,0.7567712876518972,-0.0414559192528772,-0.1484995253955108,-0.1479359019222185,-0.0232931258564184,0.5,1,5c48be0496d59b000183e68d,0.7567712876518972,-0.0414559192528772,-0.1484995253955108,-0.1479359019222185,-0.0232931258564184
NAME_FAMILY_STATUS,0.6488218586732367,-0.0432381758992448,-0.2190829116835326,-0.2854714180620511,-0.0333387787260751,0.5,1,5c48be0496d59b000183e68d,0.6488218586732367,-0.0432381758992448,-0.2190829116835326,-0.2854714180620511,-0.0333387787260751
AGE,0.4419400551877311,0.0002546379439784,-0.4049957925703712,-0.4573379290989673,-0.0614470488185824,0.5,1,5c48be0496d59b000183e68d,0.4419400551877311,0.0002546379439784,-0.4049957925703712,-0.4573379290989673,-0.0614470488185824
REGION_RATING_CLIENT,0.5258540128105346,-0.0037571589255068,-0.3437046329385868,-0.3950575615568731,-0.0771301818158916,0.5,1,5c48be0496d59b000183e68d,0.5258540128105346,-0.0037571589255068,-0.3437046329385868,-0.3950575615568731,-0.0771301818158916
REGION_RATING_CLIENT_W_CITY,0.5012803428668283,-0.0044998441247144,-0.3644592445396618,-0.4121456963742818,-0.0827495272897236,0.5,1,5c48be0496d59b000183e68d,0.5012803428668283,-0.0044998441247144,-0.3644592445396618,-0.4121456963742818,-0.0827495272897236
OBS_30_CNT_SOCIAL_CIRCLE,0.9713535403586878,-0.0040305922237979,-0.0350855679331784,-0.0445087663215264,-0.0280633787949162,0.5,1,5c48be0496d59b000183e68d,0.9713535403586878,-0.0040305922237979,-0.0350855679331784,-0.0445087663215264,-0.0280633787949162
DEF_30_CNT_SOCIAL_CIRCLE,0.6712941289894312,-0.0195065063625578,-0.1879805489077854,-0.1717020364471602,-0.0477986193759087,0.5,1,5c48be0496d59b000183e68d,0.6712941289894312,-0.0195065063625578,-0.1879805489077854,-0.1717020364471602,-0.0477986193759087
OBS_60_CNT_SOCIAL_CIRCLE,0.9758295218936698,-0.0033939221976642,-0.0302216851960921,-0.0320593295803568,-0.0207278375109908,0.5,1,5c48be0496d59b000183e68d,0.9758295218936698,-0.0033939221976642,-0.0302216851960921,-0.0320593295803568,-0.0207278375109908
DEF_60_CNT_SOCIAL_CIRCLE,0.6145381719959196,-0.0137800140296952,-0.2325662667865881,-0.193653290792539,-0.086188886454244,0.5,1,5c48be0496d59b000183e68d,0.6145381719959196,-0.0137800140296952,-0.2325662667865881,-0.193653290792539,-0.086188886454244
CODE_GENDER,0.7515450765851631,-0.0428378824681782,-0.1495376505644745,-0.1562251378002855,-0.0178675033864375,0.5,2,5c48be0496d59b000183e68d,0.7541581821185301,-0.0421469008605277,-0.14901858797999265,-0.15208051986125198,-0.02058031462142795
NAME_FAMILY_STATUS,0.6498754572759589,-0.0465345803164708,-0.2237353380864765,-0.2814162498821416,-0.0494718026679672,0.5,2,5c48be0496d59b000183e68d,0.6493486579745977,-0.0448863781078578,-0.22140912488500455,-0.2834438339720964,-0.041405290697021147
AGE,0.4530805784487802,-0.0010673791539261,-0.4056935339507205,-0.4322356102895522,-0.083637949116791,0.5,2,5c48be0496d59b000183e68d,0.44751031681825565,-0.00040637060497384996,-0.40534466326054586,-0.4447867696942598,-0.07254249896768669
REGION_RATING_CLIENT,0.5242113606814895,-0.0054626660648967,-0.3513591004083388,-0.3814613023168819,-0.080497670157666,0.5,2,5c48be0496d59b000183e68d,0.525032686746012,-0.00460991249520175,-0.3475318666734628,-0.3882594319368775,-0.0788139259867788
REGION_RATING_CLIENT_W_CITY,0.4942838714329782,-0.0062059903044393,-0.3780820594556739,-0.4067860435650352,-0.0847800736674015,0.5,2,5c48be0496d59b000183e68d,0.49778210714990323,-0.00535291721457685,-0.37127065199766784,-0.4094658699696585,-0.08376480047856255
OBS_30_CNT_SOCIAL_CIRCLE,0.9178924389227546,-0.009772920747102,-0.0401015589854458,-0.0576631819358854,-0.0152569875461441,0.5,2,5c48be0496d59b000183e68d,0.9446229896407212,-0.0069017564854499495,-0.0375935634593121,-0.0510859741287059,-0.02166018317053015
DEF_30_CNT_SOCIAL_CIRCLE,0.7029446555422612,-0.0177807299214355,-0.1597595934984682,-0.1572689195702722,-0.0398091987876557,0.5,2,5c48be0496d59b000183e68d,0.6871193922658462,-0.01864361814199665,-0.1738700712031268,-0.1644854780087162,-0.0438039090817822
OBS_60_CNT_SOCIAL_CIRCLE,0.9232953003178516,-0.0093945217556557,-0.0379629834902852,-0.0491745712937527,-0.0055378107734807,0.5,2,5c48be0496d59b000183e68d,0.9495624111057607,-0.00639422197665995,-0.034092334343188646,-0.04061695043705475,-0.01313282414223575
DEF_60_CNT_SOCIAL_CIRCLE,0.637408174940812,-0.0130804328957787,-0.1985430489415275,-0.1878544433889551,-0.0575698817385962,0.5,2,5c48be0496d59b000183e68d,0.6259731734683658,-0.013430223462736951,-0.2155546578640578,-0.19075386709074704,-0.0718793840964201
CODE_GENDER,0.7609700420045494,-0.0411764473851836,-0.1431616548945299,-0.1499841568944357,-0.020083090369557,0.5,3,5c48be0496d59b000183e68d,0.7564288020805366,-0.041823416368746334,-0.14706627695150506,-0.15138173220564657,-0.020414573204137632
NAME_FAMILY_STATUS,0.6617580645715209,-0.0453320368865605,-0.2138437212511499,-0.2611284866063945,-0.0447666571685005,0.5,3,5c48be0496d59b000183e68d,0.6534851268402387,-0.045034931034092035,-0.21888732367371966,-0.2760053848501957,-0.042525746187514264
AGE,0.4605323614083635,0.0009703860025701,-0.4106781662302993,-0.4371684514498501,-0.1007150339918715,0.5,3,5c48be0496d59b000183e68d,0.4518509983482916,5.2548264207466695e-05,-0.40712249758379704,-0.44224733027945656,-0.0819333439757483
REGION_RATING_CLIENT,0.5276020504591933,-0.0004276197888488,-0.3502016208960803,-0.392374295987194,-0.0804501737367029,0.5,3,5c48be0496d59b000183e68d,0.5258891413170724,-0.0032158149264174332,-0.34842178474766866,-0.38963105328698305,-0.07935934190342016
REGION_RATING_CLIENT_W_CITY,0.5035741947295732,-0.0012675223532913,-0.3682101544522758,-0.4110518923493057,-0.0828840272323944,0.5,3,5c48be0496d59b000183e68d,0.49971280300979326,-0.003991118927481666,-0.3702504861492038,-0.40999454409620756,-0.0834712093965065
OBS_30_CNT_SOCIAL_CIRCLE,0.92328003040058,-0.0017852592882231,-0.0440781630643237,-0.0513803607992131,-0.0096845020139327,0.5,3,5c48be0496d59b000183e68d,0.9375086698940075,-0.005196257419707666,-0.03975509666098263,-0.051184103018874966,-0.01766828945166433
DEF_30_CNT_SOCIAL_CIRCLE,0.6794065196934159,-0.0192579718712425,-0.1780936956847211,-0.1721076703211581,-0.0406495468889175,0.5,3,5c48be0496d59b000183e68d,0.6845484347417027,-0.01884840271841193,-0.1752779460303249,-0.16702620877953014,-0.042752455017493966
OBS_60_CNT_SOCIAL_CIRCLE,0.9303565045009912,-0.0016253490581571,-0.0485113316545696,-0.0365710471670728,-0.0090228399051929,0.5,3,5c48be0496d59b000183e68d,0.9431604422375042,-0.004804597670492333,-0.03889866678031564,-0.03926831601372743,-0.0117628293965548
DEF_60_CNT_SOCIAL_CIRCLE,0.6173512206731552,-0.0138491031152691,-0.224121594667847,-0.19788594891229,-0.0740477565098962,0.5,3,5c48be0496d59b000183e68d,0.6230991892032957,-0.013569850013581,-0.21841030346532087,-0.19313122769792804,-0.07260217490091213
CODE_GENDER,0.7691696957475747,-0.0392493842014938,-0.1348912079507531,-0.143412765686648,-0.0189432395858109,0.5,4,5c48be0496d59b000183e68d,0.7596140254972961,-0.0411799083269332,-0.14402250970131708,-0.14938949057589693,-0.02004673979955595
NAME_FAMILY_STATUS,0.6585742976470319,-0.0447168959172515,-0.2024132988168845,-0.267997820885522,-0.0371880027896948,0.5,4,5c48be0496d59b000183e68d,0.6547574195419371,-0.0449554222548819,-0.21476881745951087,-0.2740034938590273,-0.0411913103380594
AGE,0.4444599406913979,-0.0021536917580723,-0.4005946202934263,-0.4456418548554908,-0.0679136419223063,0.5,4,5c48be0496d59b000183e68d,0.45000323393406816,-0.0004990117413624749,-0.40549052826120435,-0.4430959614234651,-0.0784284184623878
