Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id,CMA_DemographicParityRatio,CMA_ConditionalDemographicDisparity,CMA_EqualOpportunityDifference,CMA_AverageOddsDifference,CMA_PredictiveParity
CODE_GENDER,0.7585418552412071,-0.0417861763632599,-0.1434201576267758,-0.1528186594000478,-0.0168478233061638,0.5,0,,,,,,
NAME_FAMILY_STATUS,0.6515947222593553,-0.0416094999448749,-0.2297398229070837,-0.2712077008558474,-0.0388103291695138,0.5,0,,,,,,
AGE,0.4603925498260965,0.0003493183514832,-0.391908342763779,-0.4354947784368526,-0.0686603600854439,0.5,0,,,,,,
REGION_RATING_CLIENT,0.5403375694073369,0.0014480916146679,-0.3357717096432556,-0.3798289037227587,-0.0799624906226555,0.5,0,,,,,,
REGION_RATING_CLIENT_W_CITY,0.5138145514616103,0.000111609798732,-0.3577923018805435,-0.3989024440928576,-0.0836239827271216,0.5,0,,,,,,
OBS_30_CNT_SOCIAL_CIRCLE,0.9069066815572424,-0.005887458379215,-0.0384414036178925,-0.0762066196915387,-0.0252144302497659,0.5,0,,,,,,
DEF_30_CNT_SOCIAL_CIRCLE,0.657945310786142,-0.0206321317770446,-0.1925364774477832,-0.1845971244064881,-0.0361658350127214,0.5,0,,,,,,
OBS_60_CNT_SOCIAL_CIRCLE,0.9213794695652584,-0.0053612743245488,-0.0365542553366579,-0.0578006490381489,-0.0161874573330982,0.5,0,,,,,,
DEF_60_CNT_SOCIAL_CIRCLE,0.6009173304494941,-0.0144993964127682,-0.22030969459728,-0.2121758361077488,-0.0451632301365328,0.5,0,,,,,,
CODE_GENDER,0.7661628220515904,-0.0399933594273556,-0.1388035810969733,-0.1450599528454798,-0.0203236141650882,0.5,0,5c48be0496d59b000183e68d,0.7661628220515904,-0.0399933594273556,-0.1388035810969733,-0.1450599528454798,-0.0203236141650882
NAME_FAMILY_STATUS,0.6669733080472133,-0.047456099509847,-0.2007011844526219,-0.2639416025915149,-0.0414646521125069,0.5,0,5c48be0496d59b000183e68d,0.6669733080472133,-0.047456099509847,-0.2007011844526219,-0.2639416025915149,-0.0414646521125069
AGE,0.4352833188180167,-0.0021682686809156,-0.4073452569880161,-0.4567079033094304,-0.0586923440205698,0.5,0,5c48be0496d59b000183e68d,0.4352833188180167,-0.0021682686809156,-0.4073452569880161,-0.4567079033094304,-0.0586923440205698
REGION_RATING_CLIENT,0.52654082432895,-0.0015754985223895,-0.3502573120611961,-0.3913268727525476,-0.0816698106623551,0.5,0,5c48be0496d59b000183e68d,0.52654082432895,-0.0015754985223895,-0.3502573120611961,-0.3913268727525476,-0.0816698106623551
REGION_RATING_CLIENT_W_CITY,0.4981978660410033,-0.0027685387708269,-0.3751487771809441,-0.4104764346388106,-0.0856838338852726,0.5,0,5c48be0496d59b000183e68d,0.4981978660410033,-0.0027685387708269,-0.3751487771809441,-0.4104764346388106,-0.0856838338852726
OBS_30_CNT_SOCIAL_CIRCLE,0.970899775712302,-0.0042607465857654,-0.0371860071159165,-0.0431836890007814,-0.0267463119404867,0.5,0,5c48be0496d59b000183e68d,0.970899775712302,-0.0042607465857654,-0.0371860071159165,-0.0431836890007814,-0.0267463119404867
DEF_30_CNT_SOCIAL_CIRCLE,0.6748836503795915,-0.0194330689678589,-0.1730082466125506,-0.177007246021477,-0.0278641345483623,0.5,0,5c48be0496d59b000183e68d,0.6748836503795915,-0.0194330689678589,-0.1730082466125506,-0.177007246021477,-0.0278641345483623
OBS_60_CNT_SOCIAL_CIRCLE,0.967539894169505,-0.0034893844975661,-0.0386883474100295,-0.0384730354508853,-0.0241655052600039,0.5,0,5c48be0496d59b000183e68d,0.967539894169505,-0.0034893844975661,-0.0386883474100295,-0.0384730354508853,-0.0241655052600039
DEF_60_CNT_SOCIAL_CIRCLE,0.6420307183420643,-0.0128857985095449,-0.1968754057270325,-0.184727599433572,-0.0612310229793122,0.5,0,5c48be0496d59b000183e68d,0.6420307183420643,-0.0128857985095449,-0.1968754057270325,-0.184727599433572,-0.0612310229793122
CODE_GENDER,0.7672494350810435,-0.0395074429866604,-0.1351056431800908,-0.1459168805684796,-0.0176427552935121,0.5,1,5c48be0496d59b000183e68d,0.7667061285663169,-0.039750401207008,-0.13695461213853205,-0.1454884167069797,-0.018983184729300148
NAME_FAMILY_STATUS,0.6467444206279157,-0.0438949776752644,-0.2275730220791167,-0.2839487445803997,-0.0318072981736693,0.5,1,5c48be0496d59b000183e68d,0.6568588643375646,-0.0456755385925557,-0.2141371032658693,-0.27394517358595727,-0.0366359751430881
AGE,0.4569326645745814,-0.0007235920445999,-0.3934024824950839,-0.4452861469079193,-0.0812069727783743,0.5,1,5c48be0496d59b000183e68d,0.44610799169629906,-0.00144593036275775,-0.40037386974155,-0.45099702510867484,-0.06994965839947205
REGION_RATING_CLIENT,0.5195295387841972,-0.0023100480830448,-0.3633001357354161,-0.3895927029552232,-0.089576515505688,0.5,1,5c48be0496d59b000183e68d,0.5230351815565736,-0.00194277330271715,-0.3567787238983061,-0.3904597878538854,-0.08562316308402154
REGION_RATING_CLIENT_W_CITY,0.4997466545146486,-0.0029619404526231,-0.3766917474807063,-0.4030571495738735,-0.0937070839093144,0.5,1,5c48be0496d59b000183e68d,0.49897226027782593,-0.002865239611725,-0.3759202623308252,-0.40676679210634203,-0.0896954588972935
OBS_30_CNT_SOCIAL_CIRCLE,0.9402691499630912,-0.004482602077242,-0.0245140724615144,-0.0454475689759218,-0.0139714029441249,0.5,1,5c48be0496d59b000183e68d,0.9555844628376966,-0.0043716743315037,-0.03085003978871545,-0.044315628988351605,-0.0203588574423058
DEF_30_CNT_SOCIAL_CIRCLE,0.6376820893214586,-0.0215226984895879,-0.2034078930668719,-0.1962812325197182,-0.0323603921136688,0.5,1,5c48be0496d59b000183e68d,0.6562828698505251,-0.0204778837287234,-0.18820806983971125,-0.1866442392705976,-0.03011226333101555
OBS_60_CNT_SOCIAL_CIRCLE,0.9484860751685488,-0.0038524740224625,-0.0301848285850655,-0.0287301022729895,-0.0076909245911803,0.5,1,5c48be0496d59b000183e68d,0.9580129846690268,-0.0036709292600143,-0.0344365879975475,-0.033601568861937395,-0.0159282149255921
DEF_60_CNT_SOCIAL_CIRCLE,0.5536703065253418,-0.0159727436916342,-0.2573785980630045,-0.2371923238694934,-0.0499366786767163,0.5,1,5c48be0496d59b000183e68d,0.597850512433703,-0.01442927110058955,-0.2271270018950185,-0.2109599616515327,-0.055583850828014245
CODE_GENDER,0.761237382543185,-0.0401375853781677,-0.1425732144194147,-0.1452819610290993,-0.0220827046297397,0.5,2,5c48be0496d59b000183e68d,0.7648832132252729,-0.03987946259739457,-0.13882747956549293,-0.14541959814768624,-0.020016358029446665
NAME_FAMILY_STATUS,0.6537465350562665,-0.0468146801934095,-0.2273832796688132,-0.2497349412002886,-0.0411368089933993,0.5,2,5c48be0496d59b000183e68d,0.6558214212437985,-0.04605525245950697,-0.21855249540018393,-0.26587509612406773,-0.03813625309319183
AGE,0.4375277288800617,0.0002256480098772,-0.4201054870685711,-0.452197944518699,-0.0833954389022809,0.5,2,5c48be0496d59b000183e68d,0.4432479040908866,-0.0008887375718794334,-0.4069510755172237,-0.45139733157868295,-0.07443158523374167
REGION_RATING_CLIENT,0.5240323869299134,-0.002230630034134,-0.340195145618238,-0.3915699733806991,-0.0684923968476205,0.5,2,5c48be0496d59b000183e68d,0.5233675833476868,-0.0020387255465227666,-0.35125086447161674,-0.39082984969615664,-0.07991290767188787
REGION_RATING_CLIENT_W_CITY,0.4973964559127981,-0.0026558280300961,-0.3631793295453369,-0.4104579547632029,-0.0723417059796597,0.5,2,5c48be0496d59b000183e68d,0.49844699215615,-0.0027954357511820334,-0.37167328473566236,-0.40799717965862903,-0.08391087459141557
OBS_30_CNT_SOCIAL_CIRCLE,0.94767143199052,-0.0071803305527115,-0.0448385663290897,-0.0603604097339375,-0.026976019705861,0.5,2,5c48be0496d59b000183e68d,0.9529467858886377,-0.0053078930719063005,-0.0355128819688402,-0.04966388923688023,-0.022564578196824198
DEF_30_CNT_SOCIAL_CIRCLE,0.66294872432019,-0.0197680441707915,-0.1796132885144014,-0.1816408223021854,-0.0271651841099236,0.5,2,5c48be0496d59b000183e68d,0.6585048213404133,-0.0202412705427461,-0.1853431427312746,-0.18497643361446023,-0.029129903590651568
OBS_60_CNT_SOCIAL_CIRCLE,0.9513067172158776,-0.0068301725869193,-0.0438962190257024,-0.0474529392938861,-0.0202668670018867,0.5,2,5c48be0496d59b000183e68d,0.9557775621846437,-0.004724010368982633,-0.0375897983402658,-0.03821869233925363,-0.017374432284356967
DEF_60_CNT_SOCIAL_CIRCLE,0.6460887626460764,-0.012496030185886,-0.1886273325310169,-0.1810683078272535,-0.0567984198696845,0.5,2,5c48be0496d59b000183e68d,0.6139299291711607,-0.013784857462355032,-0.21429377877368463,-0.20099607704343966,-0.05598870717523766
CODE_GENDER,0.7727522956478579,-0.0387284398321304,-0.1317531885837235,-0.1416117912617739,-0.018250399112482,0.5,3,5c48be0496d59b000183e68d,0.7668504838309191,-0.03959170690607853,-0.13705890682005056,-0.14446764642620813,-0.0195748683002055
NAME_FAMILY_STATUS,0.6516629587913878,-0.0471756643663628,-0.2225905588776449,-0.2702606964687556,-0.0403365234732874,0.5,3,5c48be0496d59b000183e68d,0.6547818056306958,-0.04633535543622093,-0.21956201126954916,-0.2669714962102397,-0.038686320688215724
AGE,0.452301892110296,-0.0011367267329414,-0.3956532899421227,-0.4333885809841868,-0.0680627022882183,0.5,3,5c48be0496d59b000183e68d,0.44551140109573895,-0.0009507348621449251,-0.40412662912344843,-0.44689514393005886,-0.07283936449736082
