Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id,CMA_DemographicParityRatio,CMA_ConditionalDemographicDisparity,CMA_EqualOpportunityDifference,CMA_AverageOddsDifference,CMA_PredictiveParity
CODE_GENDER,0.7585418552412071,-0.0417861763632599,-0.1434201576267758,-0.1528186594000478,-0.0168478233061638,0.5,0,,,,,,
NAME_FAMILY_STATUS,0.6515947222593553,-0.0416094999448749,-0.2297398229070837,-0.2712077008558474,-0.0388103291695138,0.5,0,,,,,,
AGE,0.4603925498260965,0.0003493183514832,-0.391908342763779,-0.4354947784368526,-0.0686603600854439,0.5,0,,,,,,
REGION_RATING_CLIENT,0.5403375694073369,0.0014480916146679,-0.3357717096432556,-0.3798289037227587,-0.0799624906226555,0.5,0,,,,,,
REGION_RATING_CLIENT_W_CITY,0.5138145514616103,0.000111609798732,-0.3577923018805435,-0.3989024440928576,-0.0836239827271216,0.5,0,,,,,,
OBS_30_CNT_SOCIAL_CIRCLE,0.9069066815572424,-0.005887458379215,-0.0384414036178925,-0.0762066196915387,-0.0252144302497659,0.5,0,,,,,,
DEF_30_CNT_SOCIAL_CIRCLE,0.657945310786142,-0.0206321317770446,-0.1925364774477832,-0.1845971244064881,-0.0361658350127214,0.5,0,,,,,,
OBS_60_CNT_SOCIAL_CIRCLE,0.9213794695652584,-0.0053612743245488,-0.0365542553366579,-0.0578006490381489,-0.0161874573330982,0.5,0,,,,,,
DEF_60_CNT_SOCIAL_CIRCLE,0.6009173304494941,-0.0144993964127682,-0.22030969459728,-0.2121758361077488,-0.0451632301365328,0.5,0,,,,,,
CODE_GENDER,0.756836932888109,-0.0416490868509156,-0.1421494824207986,-0.1548892184785002,-0.0148265984250014,0.5,1,5c83f171fff8430001e997b4,0.756836932888109,-0.0416490868509156,-0.1421494824207986,-0.1548892184785002,-0.0148265984250014
NAME_FAMILY_STATUS,0.6362981228858179,-0.0465394328783956,-0.2334222150810218,-0.2835022790175907,-0.0367512157382846,0.5,1,5c83f171fff8430001e997b4,0.6362981228858179,-0.0465394328783956,-0.2334222150810218,-0.2835022790175907,-0.0367512157382846
AGE,0.4728407064598965,0.0020187499624815,-0.3946283288357362,-0.4257391028920272,-0.0945367011658735,0.5,1,5c83f171fff8430001e997b4,0.4728407064598965,0.0020187499624815,-0.3946283288357362,-0.4257391028920272,-0.0945367011658735
REGION_RATING_CLIENT,0.5386759180403747,-0.0013168439923639,-0.3362913365313277,-0.3744117116255717,-0.0839858425514928,0.5,1,5c83f171fff8430001e997b4,0.5386759180403747,-0.0013168439923639,-0.3362913365313277,-0.3744117116255717,-0.0839858425514928
REGION_RATING_CLIENT_W_CITY,0.5097811066409745,-0.0025933044258488,-0.3602460472706071,-0.3974450550855916,-0.0867806972189931,0.5,1,5c83f171fff8430001e997b4,0.5097811066409745,-0.0025933044258488,-0.3602460472706071,-0.3974450550855916,-0.0867806972189931
OBS_30_CNT_SOCIAL_CIRCLE,0.9777490631455348,-0.0021631937062431,-0.0141084753918104,-0.0223133995554233,-0.020040466028859,0.5,1,5c83f171fff8430001e997b4,0.9777490631455348,-0.0021631937062431,-0.0141084753918104,-0.0223133995554233,-0.020040466028859
DEF_30_CNT_SOCIAL_CIRCLE,0.7116218157061275,-0.0171811048963545,-0.1782702025287788,-0.1407965175072602,-0.0776464024763344,0.5,1,5c83f171fff8430001e997b4,0.7116218157061275,-0.0171811048963545,-0.1782702025287788,-0.1407965175072602,-0.0776464024763344
OBS_60_CNT_SOCIAL_CIRCLE,0.985229507119706,-0.0015000524026678,-0.0122830159398763,-0.0234323481949544,-0.0222429758597552,0.5,1,5c83f171fff8430001e997b4,0.985229507119706,-0.0015000524026678,-0.0122830159398763,-0.0234323481949544,-0.0222429758597552
DEF_60_CNT_SOCIAL_CIRCLE,0.6429763232621623,-0.0128214037916439,-0.2372891817112212,-0.1698927150522957,-0.1260219244015195,0.5,1,5c83f171fff8430001e997b4,0.6429763232621623,-0.0128214037916439,-0.2372891817112212,-0.1698927150522957,-0.1260219244015195
CODE_GENDER,0.7649510964316888,-0.0403365256373348,-0.1391387874973697,-0.1467737366106477,-0.0190425324977718,0.5,2,5c83f171fff8430001e997b4,0.7608940146598989,-0.0409928062441252,-0.14064413495908415,-0.15083147754457393,-0.0169345654613866
NAME_FAMILY_STATUS,0.6613678796931224,-0.0467972418888807,-0.2197605220791167,-0.2560465886574989,-0.0384603303840767,0.5,2,5c83f171fff8430001e997b4,0.6488330012894701,-0.04666833738363815,-0.22659136858006923,-0.2697744338375448,-0.03760577306118065
AGE,0.4609823555907932,0.0005541907982388,-0.3929194651095828,-0.4352005036786635,-0.0713566339662054,0.5,2,5c83f171fff8430001e997b4,0.4669115310253449,0.0012864703803601501,-0.3937738969726595,-0.43046980328534534,-0.08294666756603944
REGION_RATING_CLIENT,0.5279191991808814,-0.0032783055894704,-0.3454697596973421,-0.3846675834094079,-0.0769450426506066,0.5,2,5c83f171fff8430001e997b4,0.5332975586106281,-0.00229757479091715,-0.3408805481143349,-0.3795396475174898,-0.08046544260104971
REGION_RATING_CLIENT_W_CITY,0.5057834742953573,-0.0038751431089104,-0.3637097525382681,-0.399351645870112,-0.0830384247689649,0.5,2,5c83f171fff8430001e997b4,0.5077822904681659,-0.0032342237673796,-0.3619778999044376,-0.39839835047785177,-0.084909560993979
OBS_30_CNT_SOCIAL_CIRCLE,0.9750941318399804,-0.0010648450929393,-0.0254787010094603,-0.0220906666158865,-0.0150912874423492,0.5,2,5c83f171fff8430001e997b4,0.9764215974927576,-0.0016140193995912,-0.01979358820063535,-0.0222020330856549,-0.0175658767356041
DEF_30_CNT_SOCIAL_CIRCLE,0.7248829995923393,-0.0164716395857179,-0.159714089312083,-0.1375611281070009,-0.0637998791010526,0.5,2,5c83f171fff8430001e997b4,0.7182524076492334,-0.0168263722410362,-0.16899214592043088,-0.13917882280713056,-0.0707231407886935
OBS_60_CNT_SOCIAL_CIRCLE,0.969631173221806,-0.0007769904523207,-0.0243173850787538,-0.0194323494719707,-0.0149303603816621,0.5,2,5c83f171fff8430001e997b4,0.977430340170756,-0.00113852142749425,-0.01830020050931505,-0.02143234883346255,-0.01858666812070865
DEF_60_CNT_SOCIAL_CIRCLE,0.6560127386209613,-0.0124157214522155,-0.2136036363905447,-0.1675021405306222,-0.1025936169551571,0.5,2,5c83f171fff8430001e997b4,0.6494945309415618,-0.0126185626219297,-0.22544640905088295,-0.16869742779145896,-0.1143077706783383
CODE_GENDER,0.7504396860579895,-0.042730664972049,-0.1512190814214514,-0.1545913833370658,-0.0195178354033122,0.5,3,5c83f171fff8430001e997b4,0.7574092384592624,-0.041572092486766465,-0.14416911711320657,-0.15208477947540455,-0.017795655442028466
NAME_FAMILY_STATUS,0.6608330872147513,-0.0457235509388736,-0.2142758164673414,-0.2602668436206706,-0.039202082285857,0.5,3,5c83f171fff8430001e997b4,0.6528330299312305,-0.046353408568716635,-0.22248618454249328,-0.26660523709858674,-0.038137876136072765
AGE,0.453613652457323,0.0016760463850295,-0.3944430680085801,-0.4597317883110989,-0.0634774960804558,0.5,3,5c83f171fff8430001e997b4,0.46247890483600423,0.0014163290485832668,-0.393996953984633,-0.4402237982939299,-0.07645694373751157
REGION_RATING_CLIENT,0.5288531561896048,-0.0008594041484707,-0.3455509366498839,-0.380707758072063,-0.0777010996265809,0.5,3,5c83f171fff8430001e997b4,0.5318160911369536,-0.0018181845767683332,-0.3424373442928512,-0.3799290177023475,-0.07954399494289344
REGION_RATING_CLIENT_W_CITY,0.5019908746224536,-0.0028540359852086,-0.3651509506215005,-0.4022509910784504,-0.0786591736013545,0.5,3,5c83f171fff8430001e997b4,0.5058518185195952,-0.0031074945066559335,-0.36303558347679193,-0.39968256401138463,-0.08282609852977084
OBS_30_CNT_SOCIAL_CIRCLE,0.9557673037085632,-0.0010583559415937,-0.0140128544031513,-0.0372490468147416,-0.0224933976869137,0.5,3,5c83f171fff8430001e997b4,0.9695368328980262,-0.0014287982469253667,-0.017866676934807334,-0.0272177043286838,-0.01920838371937397
DEF_30_CNT_SOCIAL_CIRCLE,0.7398502906634463,-0.0154428705129521,-0.1573933758064406,-0.1232665221395833,-0.0770059126612097,0.5,3,5c83f171fff8430001e997b4,0.7254517019873044,-0.0163652049983415,-0.16512588921576746,-0.1338747225846148,-0.07281739807953223
OBS_60_CNT_SOCIAL_CIRCLE,0.9675036468421934,-0.0005454503641932,-0.011496239240277,-0.0280816530651972,-0.0166595358904186,0.5,3,5c83f171fff8430001e997b4,0.9741214423945684,-0.0009408310730605666,-0.0160322134196357,-0.0236487835773741,-0.017944290710611967
DEF_60_CNT_SOCIAL_CIRCLE,0.708870037024952,-0.0104143433470159,-0.1886465047099652,-0.1298987454473159,-0.1230198310767952,0.5,3,5c83f171fff8430001e997b4,0.6692863663026918,-0.011883822863625099,-0.21317977427057702,-0.1557645336767446,-0.11721179081115728
CODE_GENDER,0.7530963717691822,-0.0419713041042731,-0.1475341198521852,-0.1530580095570362,-0.0184142636919172,0.5,4,5c83f171fff8430001e997b4,0.7563310217867424,-0.041671895391143125,-0.14501036779795123,-0.15232808699581246,-0.01795030750450065
NAME_FAMILY_STATUS,0.6623407436549822,-0.0450927790269381,-0.2026814052437902,-0.2668085898639759,-0.038525772780146,0.5,4,5c83f171fff8430001e997b4,0.6552099583621684,-0.046038251183272,-0.2175349897178175,-0.266656075289934,-0.038234850297091075
AGE,0.4594732497496449,0.0008120765114681,-0.3915516598700495,-0.4416125813706277,-0.0750847293502469,0.5,4,5c83f171fff8430001e997b4,0.4617274910644144,0.001265265914304475,-0.3933856304559871,-0.4405709940631043,-0.0761138901406954
