Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id
CNT_CHILDREN,0.804016545,-0.003428879,0.692342424,0.525367016,0.834548819,0.5,0,
AMT_INCOME_TOTAL,0.727982451,0.014039915,0.17947682,0.207972829,0.029940592,0.5,0,
AMT_CREDIT,0.686900694,0.018383633,0.199318132,0.25535369,0.02817216,0.5,0,
AMT_ANNUITY,0.737549455,0.025973615,0.174584922,0.203829559,0.041054507,0.5,0,
AMT_GOODS_PRICE,0.6373238,0.074489098,0.246967778,0.334092426,0.034997678,0.5,0,
REGION_POPULATION_RELATIVE,0.789321688,0.006365023,0.1293281,0.14441225,0.04176614,0.5,0,
AGE,0.46118633,0.000404587,0.39089722,0.434989217,0.068292386,0.5,0,
YEARS_EMPLOYED,0.556883127,0.138350926,0.36365883,0.422499083,0.086710648,0.5,0,
YEARS_REGISTRATION,0.709423385,0.029894513,0.190267274,0.24038615,0.034020999,0.5,0,
YEARS_ID_PUBLISH,0.694437891,-0.020033914,0.191788493,0.206887667,0.025128965,0.5,0,
FLAG_MOBIL,0.621020701,5.37E-05,0.30831923,,0.166344605,0.5,0,
FLAG_EMP_PHONE,0.744692204,0.077865384,0.15553904,0.221627129,0.010455498,0.5,0,
FLAG_WORK_PHONE,0.845940921,-0.040406219,0.075138928,0.08811892,0.021384165,0.5,0,
FLAG_CONT_MOBILE,0.802450182,0.001141085,0.09419597,0.205597635,0.028849762,0.5,0,
FLAG_PHONE,0.864897487,0.035515791,0.084974062,0.082044184,0.016347959,0.5,0,
FLAG_EMAIL,0.903515344,0.013884382,0.063637344,0.062061458,0.001098644,0.5,0,
CNT_FAM_MEMBERS,0.906033525,-0.021214777,0.050953292,0.067957822,0.076133477,0.5,0,
REGION_RATING_CLIENT,0.540151251,0.001663031,0.335961909,0.380224665,0.079542677,0.5,0,
REGION_RATING_CLIENT_W_CITY,0.513697507,0.000330311,0.357863025,0.399259556,0.083113844,0.5,0,
HOUR_APPR_PROCESS_START,0.795802755,0.001266658,0.139321009,0.123173466,0.028671835,0.5,0,
REG_REGION_NOT_LIVE_REGION,0.989093569,0.00045826,0.016431167,0.015754637,0.026414358,0.5,0,
REG_REGION_NOT_WORK_REGION,0.967453992,-0.003890267,0.020751061,0.012323647,0.013450759,0.5,0,
LIVE_REGION_NOT_WORK_REGION,0.988581758,-0.001124705,0.009133612,0.00752693,0.003422559,0.5,0,
