Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id
CODE_GENDER,0.7585418552412071,-0.04178617636325998,-0.14342015762677585,-0.15281865940004785,-0.016847823306163856,0.5,0,
NAME_FAMILY_STATUS,0.6515947222593553,-0.04160949994487491,-0.22973982290708372,-0.27120770085584744,-0.03881032916951388,0.5,0,
AGE,0.46039254982609656,0.0003493183514832936,-0.39190834276377906,-0.4354947784368526,-0.06866036008544396,0.5,0,
REGION_RATING_CLIENT,0.5403375694073369,0.0014480916146679533,-0.33577170964325564,-0.37982890372275874,-0.07996249062265559,0.5,0,
REGION_RATING_CLIENT_W_CITY,0.5138145514616103,0.00011160979873208134,-0.35779230188054356,-0.3989024440928576,-0.08362398272712168,0.5,0,
OBS_30_CNT_SOCIAL_CIRCLE,0.9069066815572423,-0.0058874583792150395,-0.0384414036178925,-0.07620661969153872,-0.025214430249765996,0.5,0,
DEF_30_CNT_SOCIAL_CIRCLE,0.657945310786142,-0.02063213177704462,-0.19253647744778324,-0.18459712440648812,-0.036165835012721415,0.5,0,
OBS_60_CNT_SOCIAL_CIRCLE,0.9213794695652584,-0.0053612743245488705,-0.036554255336657904,-0.05780064903814899,-0.016187457333098232,0.5,0,
DEF_60_CNT_SOCIAL_CIRCLE,0.6009173304494941,-0.014499396412768201,-0.22030969459728,-0.21217583610774884,-0.045163230136532895,0.5,0,
CODE_GENDER,0.759017650529534,-0.040630906793539354,-0.13973147240993278,-0.15124436850814388,-0.015702704773111753,0.5,1227,612288702a5316519e4e9602
NAME_FAMILY_STATUS,0.626161310613745,-0.04369408416468938,-0.2426750804967801,-0.309727543154522,-0.03555581996651547,0.5,1227,612288702a5316519e4e9602
AGE,0.43383979449479876,0.0008241745754514303,-0.42483387907155307,-0.45862284601649844,-0.08026459048711199,0.5,1227,612288702a5316519e4e9602
REGION_RATING_CLIENT,0.5223526958102045,0.0014093284777507847,-0.36030791550800734,-0.3882698772931188,-0.08931605871021109,0.5,1227,612288702a5316519e4e9602
REGION_RATING_CLIENT_W_CITY,0.49597854240477196,-0.00040249864909692784,-0.38090925713181745,-0.4081351633807121,-0.0928386341533356,0.5,1227,612288702a5316519e4e9602
OBS_30_CNT_SOCIAL_CIRCLE,0.9201427730877666,-0.010154031791426887,-0.06504894309427334,-0.0526084552593864,-0.01870069492207016,0.5,1227,612288702a5316519e4e9602
DEF_30_CNT_SOCIAL_CIRCLE,0.6463155810583814,-0.020794762574952178,-0.19550118443882225,-0.18979050335999326,-0.03193575259692283,0.5,1227,612288702a5316519e4e9602
OBS_60_CNT_SOCIAL_CIRCLE,0.9250497341613698,-0.009295976803610575,-0.05516627907682781,-0.040895207445688975,-0.009065550906555142,0.5,1227,612288702a5316519e4e9602
DEF_60_CNT_SOCIAL_CIRCLE,0.5763447180466819,-0.015004385339567404,-0.23866722411739028,-0.22215791574031665,-0.050319411350864596,0.5,1227,612288702a5316519e4e9602
