Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id
CODE_GENDER,0.7585418552412071,-0.04178617636325998,-0.14342015762677585,-0.15281865940004785,-0.016847823306163856,0.5,0,
NAME_FAMILY_STATUS,0.6515947222593553,-0.04160949994487491,-0.22973982290708372,-0.27120770085584744,-0.03881032916951388,0.5,0,
AGE,0.46039254982609656,0.0003493183514832936,-0.39190834276377906,-0.4354947784368526,-0.06866036008544396,0.5,0,
REGION_RATING_CLIENT,0.5403375694073369,0.0014480916146679533,-0.33577170964325564,-0.37982890372275874,-0.07996249062265559,0.5,0,
REGION_RATING_CLIENT_W_CITY,0.5138145514616103,0.00011160979873208134,-0.35779230188054356,-0.3989024440928576,-0.08362398272712168,0.5,0,
OBS_30_CNT_SOCIAL_CIRCLE,0.9069066815572423,-0.0058874583792150395,-0.0384414036178925,-0.07620661969153872,-0.025214430249765996,0.5,0,
DEF_30_CNT_SOCIAL_CIRCLE,0.657945310786142,-0.02063213177704462,-0.19253647744778324,-0.18459712440648812,-0.036165835012721415,0.5,0,
OBS_60_CNT_SOCIAL_CIRCLE,0.9213794695652584,-0.0053612743245488705,-0.036554255336657904,-0.05780064903814899,-0.016187457333098232,0.5,0,
DEF_60_CNT_SOCIAL_CIRCLE,0.6009173304494941,-0.014499396412768201,-0.22030969459728,-0.21217583610774884,-0.045163230136532895,0.5,0,
CODE_GENDER,0.7590214716325223,-0.041512458860661294,-0.14650884083337,-0.14964763981616744,-0.022384362436355998,0.5,1609,612288702a5316519e4e9602
NAME_FAMILY_STATUS,0.6283348666053358,-0.044319062772191636,-0.25480680772769093,-0.2990347125919284,-0.036136509021152174,0.5,1609,612288702a5316519e4e9602
AGE,0.4614363479445461,-8.615586412039989e-05,-0.3892731749018452,-0.44264725193000387,-0.07303681572342824,0.5,1609,612288702a5316519e4e9602
REGION_RATING_CLIENT,0.5318476355884763,0.001723199437728609,-0.3490186555963958,-0.39192053568134727,-0.08549774476433203,0.5,1609,612288702a5316519e4e9602
REGION_RATING_CLIENT_W_CITY,0.5103717762643742,0.00040218118264048145,-0.36622300880070935,-0.4053790768683279,-0.09226149553855612,0.5,1609,612288702a5316519e4e9602
OBS_30_CNT_SOCIAL_CIRCLE,0.9440861119831195,-0.006764515251109457,-0.029156458445933953,-0.052233047682417266,-0.020207253886010412,0.5,1609,612288702a5316519e4e9602
DEF_30_CNT_SOCIAL_CIRCLE,0.6597452377730277,-0.020432807088455667,-0.1926619702039728,-0.1833973931533322,-0.04020088940357491,0.5,1609,612288702a5316519e4e9602
OBS_60_CNT_SOCIAL_CIRCLE,0.9489643757502345,-0.006108716582704699,-0.027633799139330395,-0.03919846347741748,-0.012864536268791582,0.5,1609,612288702a5316519e4e9602
DEF_60_CNT_SOCIAL_CIRCLE,0.5912247461566174,-0.01478858849550559,-0.2350902673274453,-0.21599578741903042,-0.059290476815467175,0.5,1609,612288702a5316519e4e9602
