Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id
CODE_GENDER,0.7585418552412071,-0.04178617636325998,-0.14342015762677585,-0.15281865940004785,-0.016847823306163856,0.5,0,
NAME_FAMILY_STATUS,0.6515947222593553,-0.04160949994487491,-0.22973982290708372,-0.27120770085584744,-0.03881032916951388,0.5,0,
AGE,0.46039254982609656,0.0003493183514832936,-0.39190834276377906,-0.4354947784368526,-0.06866036008544396,0.5,0,
REGION_RATING_CLIENT,0.5403375694073369,0.0014480916146679533,-0.33577170964325564,-0.37982890372275874,-0.07996249062265559,0.5,0,
REGION_RATING_CLIENT_W_CITY,0.5138145514616103,0.00011160979873208134,-0.35779230188054356,-0.3989024440928576,-0.08362398272712168,0.5,0,
OBS_30_CNT_SOCIAL_CIRCLE,0.9069066815572423,-0.0058874583792150395,-0.0384414036178925,-0.07620661969153872,-0.025214430249765996,0.5,0,
DEF_30_CNT_SOCIAL_CIRCLE,0.657945310786142,-0.02063213177704462,-0.19253647744778324,-0.18459712440648812,-0.036165835012721415,0.5,0,
OBS_60_CNT_SOCIAL_CIRCLE,0.9213794695652584,-0.0053612743245488705,-0.036554255336657904,-0.05780064903814899,-0.016187457333098232,0.5,0,
DEF_60_CNT_SOCIAL_CIRCLE,0.6009173304494941,-0.014499396412768201,-0.22030969459728,-0.21217583610774884,-0.045163230136532895,0.5,0,
CODE_GENDER,0.770467959700998,-0.0383949156700462,-0.13784228979362778,-0.13820178307098024,-0.026835898583792095,0.5,577,612288702a5316519e4e9602
NAME_FAMILY_STATUS,0.68743657049041,-0.04128050039493531,-0.19224931002759893,-0.22911651784437195,-0.042014572591610344,0.5,577,612288702a5316519e4e9602
AGE,0.4613230146450279,-0.0006295328841617069,-0.40231732278016236,-0.41516604449098354,-0.10680737795059425,0.5,577,612288702a5316519e4e9602
REGION_RATING_CLIENT,0.5477624367664209,0.00011349042316323525,-0.3257003399992826,-0.3634036457107218,-0.0899943184088765,0.5,577,612288702a5316519e4e9602
REGION_RATING_CLIENT_W_CITY,0.5248947829989419,-0.0016932473252504166,-0.3402417693876073,-0.3806494063445698,-0.09169643899283153,0.5,577,612288702a5316519e4e9602
OBS_30_CNT_SOCIAL_CIRCLE,0.9556504036828833,-0.004039840389486085,-0.021579018910425463,-0.03775549181014995,-0.0176560121765601,0.5,577,612288702a5316519e4e9602
DEF_30_CNT_SOCIAL_CIRCLE,0.6973299985347464,-0.017715349931119513,-0.1730661955764231,-0.1555400819138243,-0.05837773226584586,0.5,577,612288702a5316519e4e9602
OBS_60_CNT_SOCIAL_CIRCLE,0.9501949887881447,-0.004044408306846431,-0.023810010600309184,-0.03356618103246595,-0.013457379120558,0.5,577,612288702a5316519e4e9602
DEF_60_CNT_SOCIAL_CIRCLE,0.6158883309619617,-0.013552021981381253,-0.22579596496267473,-0.19575297194992144,-0.08188791994612599,0.5,577,612288702a5316519e4e9602
